Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1.8e-05,18.393087,[108  27] ; [17 21],[97.5433526 37.4566474] ; [27.4566474 10.5433526],1
p9,1,0.001423,10.175883,[113  23] ; [23 16],[105.69142857  30.30857143] ; [30.30857143  8.69142857],0
n3,1,0.007805,7.077722,[24  4] ; [6 7],[20.48780488  7.51219512] ; [9.51219512 3.48780488],0
r1,1,0.008473,6.930768,[105  34] ; [21 18],[98.39325843 40.60674157] ; [27.60674157 11.39325843],0
a3,1,0.012924,6.179444,[75 63] ; [12 26],[68.21590909 69.78409091] ; [18.78409091 19.21590909],0
n6,1,0.022823,5.181926,[115  24] ; [25 13],[109.94350282  29.05649718] ; [30.05649718  7.94350282],0
b4,1,0.030894,4.658837,[84 55] ; [16 23],[78.08988764 60.91011236] ; [21.91011236 17.08988764],0
v4,1,0.046957,3.946911,[132   6] ; [33  5],[129.375   8.625] ; [35.625  2.375],0
a6,1,0.047511,3.927191,[88 50] ; [18 21],[82.6440678 55.3559322] ; [23.3559322 15.6440678],0
b5,1,0.065769,3.385571,[77 62] ; [28 11],[81.99438202 57.00561798] ; [23.00561798 15.99438202],0
r4,1,0.066202,3.37477,[123  16] ; [30  9],[119.47752809  19.52247191] ; [33.52247191  5.47752809],0
p8,1,0.072431,3.227047,[71 65] ; [14 25],[66.05714286 69.94285714] ; [18.94285714 20.05714286],0
s8,1,0.076804,3.13127,[49 89] ; [ 8 31],[44.44067797 93.55932203] ; [12.55932203 26.44067797],0
s4,1,0.078305,3.099727,[ 27 110] ; [ 3 36],[ 23.35227273 113.64772727] ; [ 6.64772727 32.35227273],0
b1,1,0.078432,3.097096,[53 86] ; [21 18],[57.78651685 81.21348315] ; [16.21348315 22.78651685],0
s3,1,0.119068,2.429544,[71 64] ; [26 13],[75.25862069 59.74137931] ; [21.74137931 17.25862069],0
b3,1,0.143532,2.139676,[33 52] ; [ 4 15],[30.24038462 54.75961538] ; [ 6.75961538 12.24038462],0
b2,1,0.143532,2.139676,[33 52] ; [ 4 15],[30.24038462 54.75961538] ; [ 6.75961538 12.24038462],0
a2,1,0.164026,1.936709,[ 13 126] ; [ 1 38],[ 10.93258427 128.06741573] ; [ 3.06741573 35.93258427],0
v2,1,0.176848,1.823911,[65 67] ; [14 24],[61.34117647 70.65882353] ; [17.65882353 20.34117647],0
n5,1,0.224214,1.477192,[95 42] ; [23 16],[91.85227273 45.14772727] ; [26.14772727 12.85227273],0
s6,1,0.241639,1.371009,[80 55] ; [19 20],[76.81034483 58.18965517] ; [22.18965517 16.81034483],0
p3,1,0.252771,1.307924,[56 81] ; [12 27],[52.93181818 84.06818182] ; [15.06818182 23.93181818],0
d1,1,0.288608,1.126105,[ 10 129] ; [ 1 38],[  8.58988764 130.41011236] ; [ 2.41011236 36.58988764],0
