Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.242177,[45  5] ; [14 21],[34.70588235 15.29411765] ; [24.29411765 10.70588235],1
s6,1,0.000345,12.808622,[32 17] ; [ 9 26],[23.91666667 25.08333333] ; [17.08333333 17.91666667],1
s8,1,0.002065,9.490602,[17 33] ; [ 2 33],[11.17647059 38.82352941] ; [ 7.82352941 27.17647059],0
v4,1,0.002648,9.035294,[45  4] ; [23 12],[39.66666667  9.33333333] ; [28.33333333  6.66666667],0
p4,1,0.00378,8.386791,[22 28] ; [ 5 30],[15.88235294 34.11764706] ; [11.11764706 23.88235294],0
r2,1,0.004435,8.096535,[47  3] ; [25 10],[42.35294118  7.64705882] ; [29.64705882  5.35294118],0
p11,1,0.008073,7.017225,[37 13] ; [16 19],[31.17647059 18.82352941] ; [21.82352941 13.17647059],0
r3,1,0.009994,6.635957,[42  8] ; [20 14],[36.9047619 13.0952381] ; [25.0952381  8.9047619],0
v2,1,0.010277,6.586287,[19 27] ; [ 5 29],[13.8 32.2] ; [10.2 23.8],0
s7,1,0.037039,4.348637,[17 31] ; [ 5 29],[12.87804878 35.12195122] ; [ 9.12195122 24.87804878],0
u2,1,0.037203,4.341099,[10 15] ; [ 2 16],[ 6.97674419 18.02325581] ; [ 5.02325581 12.97674419],0
v1,1,0.03964,4.233236,[25 24] ; [10 25],[20.41666667 28.58333333] ; [14.58333333 20.41666667],0
s3,1,0.042538,4.113651,[22 24] ; [ 9 26],[17.60493827 28.39506173] ; [13.39506173 21.60493827],0
n6,1,0.043801,4.064208,[40 10] ; [21 14],[35.88235294 14.11764706] ; [25.11764706  9.88235294],0
s2,1,0.057822,3.598792,[17 30] ; [ 6 29],[13.18292683 33.81707317] ; [ 9.81707317 25.18292683],0
b2,1,0.066127,3.376631,[ 7 23] ; [8 8],[ 9.7826087 20.2173913] ; [ 5.2173913 10.7826087],0
b3,1,0.066127,3.376631,[ 7 23] ; [8 8],[ 9.7826087 20.2173913] ; [ 5.2173913 10.7826087],0
a1,1,0.069032,3.305893,[ 1 49] ; [ 4 31],[ 2.94117647 47.05882353] ; [ 2.05882353 32.94117647],0
a5,1,0.086837,2.932056,[28 22] ; [13 22],[24.11764706 25.88235294] ; [16.88235294 18.11764706],0
a7,1,0.086837,2.932056,[28 22] ; [13 22],[24.11764706 25.88235294] ; [16.88235294 18.11764706],0
v3,1,0.087568,2.918526,[16 31] ; [ 6 29],[12.6097561 34.3902439] ; [ 9.3902439 25.6097561],0
b1,1,0.092581,2.828918,[14 36] ; [16 19],[17.64705882 32.35294118] ; [12.35294118 22.64705882],0
a6,1,0.094234,2.800515,[32 18] ; [16 19],[28.23529412 21.76470588] ; [19.76470588 15.23529412],0
u3,1,0.112206,2.522879,[13 12] ; [ 5 13],[10.46511628 14.53488372] ; [ 7.53488372 10.46511628],0
n4,1,0.115127,2.482399,[38 12] ; [21 14],[34.70588235 15.29411765] ; [24.29411765 10.70588235],0
s1,1,0.124844,2.355473,[ 6 43] ; [ 1 34],[ 4.08333333 44.91666667] ; [ 2.91666667 32.08333333],0
d3,1,0.135263,2.231032,[14 36] ; [ 5 30],[11.17647059 38.82352941] ; [ 7.82352941 27.17647059],0
d5,1,0.148483,2.08777,[22 28] ; [10 25],[18.82352941 31.17647059] ; [13.17647059 21.82352941],0
