Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,29.473684,[84 42] ; [36 78],[63. 63.] ; [57. 57.],1
v3,1,1e-05,19.539126,[64 63] ; [26 88],[47.42738589 79.57261411] ; [42.57261411 71.42738589],1
s8,1,0.000632,11.680227,[74 56] ; [42 77],[60.562249 69.437751] ; [55.437751 63.562249],1
a3,1,0.000759,11.338355,[101  30] ; [68 51],[88.556 42.444] ; [80.444 38.556],1
s2,1,0.000869,11.087531,[77 54] ; [44 73],[63.91532258 67.08467742] ; [57.08467742 59.91532258],1
p10,1,0.003916,8.322332,[103  23] ; [78 41],[93.08571429 32.91428571] ; [87.91428571 31.08571429],0
r1,1,0.004013,8.277887,[105  26] ; [76 43],[94.844 36.156] ; [86.156 32.844],0
b3,1,0.005809,7.608696,[48 44] ; [21 48],[39.42857143 52.57142857] ; [29.57142857 39.42857143],0
b2,1,0.005809,7.608696,[48 44] ; [21 48],[39.42857143 52.57142857] ; [29.57142857 39.42857143],0
d4,1,0.008048,7.022718,[107  23] ; [80 38],[98.02419355 31.97580645] ; [88.97580645 29.02419355],0
s5,1,0.017124,5.683581,[56 70] ; [33 79],[47.11764706 78.88235294] ; [41.88235294 70.11764706],0
p9,1,0.01943,5.46243,[109  19] ; [87 32],[101.5708502  26.4291498] ; [94.4291498 24.5708502],0
n5,1,0.021504,5.285439,[103  26] ; [79 39],[95.05263158 33.94736842] ; [86.94736842 31.05263158],0
n4,1,0.043391,4.080094,[105  25] ; [83 36],[98.15261044 31.84738956] ; [89.84738956 29.15261044],0
s3,1,0.054668,3.692173,[83 48] ; [60 57],[75.53629032 55.46370968] ; [67.46370968 49.53629032],0
v4,1,0.060739,3.517097,[123   6] ; [105  13],[119.07692308   9.92307692] ; [108.92307692   9.07692308],0
n1,1,0.0683,3.32342,[17 12] ; [15 26],[13.25714286 15.74285714] ; [18.74285714 22.25714286],0
p7,1,0.077635,3.113733,[87 40] ; [68 50],[80.34693878 46.65306122] ; [74.65306122 43.34693878],0
s6,1,0.081603,3.03268,[87 39] ; [67 48],[80.51452282 45.48547718] ; [73.48547718 41.51452282],0
