Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,4.9e-05,16.487739,[32 36] ; [13 67],[20.67567568 47.32432432] ; [24.32432432 55.67567568],1
d4,1,0.010828,6.49334,[63  7] ; [59 21],[56.93333333 13.06666667] ; [65.06666667 14.93333333],0
v1,1,0.020238,5.391216,[39 30] ; [30 50],[31.95302013 37.04697987] ; [37.04697987 42.95302013],0
a8,1,0.023219,5.152025,[ 6 55] ; [ 1 76],[ 3.0942029 57.9057971] ; [ 3.9057971 73.0942029],0
r1,1,0.030967,4.654773,[58 12] ; [54 26],[52.26666667 17.73333333] ; [59.73333333 20.26666667],0
n1,1,0.032654,4.563831,[ 1 12] ; [11 16],[3.9 9.1] ; [ 8.1 18.9],0
p2,1,0.040777,4.185268,[51 19] ; [69 11],[56. 14.] ; [64. 16.],0
d5,1,0.055217,3.675533,[61  9] ; [59 20],[56.37583893 13.62416107] ; [63.62416107 15.37583893],0
a7,1,0.0928,2.825125,[54 16] ; [51 28],[49.32885906 20.67114094] ; [55.67114094 23.32885906],0
p9,1,0.097483,2.746246,[61  7] ; [63 16],[57.36054422 10.63945578] ; [66.63945578 12.36054422],0
u1,1,0.098508,2.72954,[17 53] ; [11 69],[13.06666667 56.93333333] ; [14.93333333 65.06666667],0
d3,1,0.10654,2.604807,[56 14] ; [54 25],[51.67785235 18.32214765] ; [58.32214765 20.67785235],0
p1,1,0.116763,2.46021,[ 3 67] ; [ 9 71],[ 5.6 64.4] ; [ 6.4 73.6],0
a4,1,0.123247,2.375566,[35 35] ; [30 50],[30.33333333 39.66666667] ; [34.66666667 45.33333333],0
n2,1,0.125383,2.348762,[9 4] ; [24  3],[10.725  2.275] ; [22.275  4.725],0
p10,1,0.145832,2.115314,[59  9] ; [62 18],[55.59459459 12.40540541] ; [65.40540541 14.59459459],0
d1,1,0.152374,2.048319,[44 26] ; [41 39],[39.66666667 30.33333333] ; [45.33333333 34.66666667],0
p8,1,0.227767,1.454749,[31 36] ; [45 35],[34.63945578 32.36054422] ; [41.36054422 38.63945578],0
s1,1,0.230105,1.440213,[ 1 68] ; [ 4 76],[ 2.31543624 66.68456376] ; [ 2.68456376 77.31543624],0
a3,1,0.24716,1.339286,[50 20] ; [50 30],[46.66666667 23.33333333] ; [53.33333333 26.66666667],0
d2,1,0.274165,1.195791,[36 34] ; [34 46],[32.66666667 37.33333333] ; [37.33333333 42.66666667],0
r3,1,0.275203,1.19063,[66  3] ; [72  7],[64.33783784  4.66216216] ; [73.66216216  5.33783784],0
b5,1,0.302716,1.062192,[46 24] ; [46 34],[42.93333333 27.06666667] ; [49.06666667 30.93333333],0
a2,1,0.306658,1.045017,[16 54] ; [13 67],[13.53333333 56.46666667] ; [15.46666667 64.53333333],0
r4,1,0.318203,0.99632,[64  6] ; [69 11],[62.06666667  7.93333333] ; [70.93333333  9.06666667],0
b4,1,0.329602,0.950461,[44 26] ; [44 36],[41.06666667 28.93333333] ; [46.93333333 33.06666667],0
n6,1,0.344724,0.892785,[60  9] ; [65 15],[57.88590604 11.11409396] ; [67.11409396 12.88590604],0
u2,1,0.355226,0.854701,[ 8 12] ; [16 14],[ 9.6 10.4] ; [14.4 15.6],0
u3,1,0.405056,0.693265,[11  9] ; [20 10],[12.4  7.6] ; [18.6 11.4],0
p4,1,0.40856,0.682988,[40 30] ; [51 29],[42.46666667 27.53333333] ; [48.53333333 31.46666667],0
p7,1,0.441969,0.591164,[46 22] ; [48 30],[43.78082192 24.21917808] ; [50.21917808 27.78082192],0
n4,1,0.534015,0.386746,[48 22] ; [51 29],[46.2 23.8] ; [52.8 27.2],0
a1,1,0.5433,0.369458,[ 3 67] ; [ 2 78],[ 2.33333333 67.66666667] ; [ 2.66666667 77.33333333],0
b1,1,0.552864,0.352211,[23 47] ; [30 50],[24.73333333 45.26666667] ; [28.26666667 51.73333333],0
b2,1,0.574034,0.315979,[ 6 27] ; [11 36],[ 7.0125 25.9875] ; [ 9.9875 37.0125],0
b3,1,0.574034,0.315979,[ 6 27] ; [11 36],[ 7.0125 25.9875] ; [ 9.9875 37.0125],0
p5,1,0.587175,0.294778,[ 7 63] ; [ 6 74],[ 6.06666667 63.93333333] ; [ 6.93333333 73.06666667],0
p11,1,0.598038,0.277965,[48 22] ; [58 22],[49.46666667 20.53333333] ; [56.53333333 23.46666667],0
