Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,77.928051,[409 120] ; [ 77 106],[361.08707865 167.91292135] ; [124.91292135  58.08707865],1
d3,1,0.0,61.952924,[413 117] ; [86 97],[370.9256662 159.0743338] ; [128.0743338  54.9256662],1
a2,1,0.0,34.116123,[161 369] ; [ 16 167],[131.57082749 398.42917251] ; [ 45.42917251 137.57082749],1
b5,1,0.0,25.989059,[348 182] ; [ 81 102],[318.89200561 211.10799439] ; [110.10799439  72.89200561],1
u1,1,1e-06,23.672325,[125 405] ; [ 13 170],[102.58064516 427.41935484] ; [ 35.41935484 147.58064516],1
d1,1,0.001453,10.137099,[340 190] ; [93 90],[321.86535764 208.13464236] ; [111.13464236  71.86535764],0
u3,1,0.006832,7.316594,[90 55] ; [21 31],[81.70050761 63.29949239] ; [29.29949239 22.70050761],0
p4,1,0.014128,6.022033,[340 186] ; [99 83],[326.14971751 199.85028249] ; [112.85028249  69.14971751],0
d4,1,0.023266,5.148521,[447  83] ; [140  42],[436.95224719  93.04775281] ; [150.04775281  31.95224719],0
v2,1,0.028271,4.811485,[306 204] ; [90 88],[293.54651163 216.45348837] ; [102.45348837  75.54651163],0
b1,1,0.0388,4.269624,[178 352] ; [ 77 106],[189.55119215 340.44880785] ; [ 65.44880785 117.55119215],0
b4,1,0.040632,4.191285,[321 209] ; [95 88],[309.2286115 220.7713885] ; [106.7713885  76.2286115],0
r1,1,0.059881,3.540673,[454  73] ; [147  36],[446.0943662  80.9056338] ; [154.9056338  28.0943662],0
n5,1,0.064645,3.41402,[417 111] ; [156  27],[425.51898734 102.48101266] ; [147.48101266  35.51898734],0
s5,1,0.072889,3.216723,[180 332] ; [74 99],[189.85109489 322.14890511] ; [ 64.14890511 108.85109489],0
p2,1,0.098388,2.731476,[451  77] ; [146  36],[443.96619718  84.03380282] ; [153.03380282  28.96619718],0
u2,1,0.098729,2.725964,[82 63] ; [22 29],[76.93877551 68.06122449] ; [27.06122449 23.93877551],0
s8,1,0.100307,2.700648,[237 288] ; [95 87],[246.53465347 278.46534653] ; [85.46534653 96.53465347],0
b3,1,0.115378,2.478971,[118 201] ; [53 64],[125.11238532 193.88761468] ; [45.88761468 71.11238532],0
b2,1,0.115378,2.478971,[118 201] ; [53 64],[125.11238532 193.88761468] ; [45.88761468 71.11238532],0
d5,1,0.132196,2.266525,[440  90] ; [142  40],[433.23033708  96.76966292] ; [148.76966292  33.23033708],0
a5,1,0.292463,1.108251,[403 127] ; [132  51],[397.6858345 132.3141655] ; [137.3141655  45.6858345],0
p5,1,0.318437,0.995353,[ 63 463] ; [ 27 155],[ 66.86440678 459.13559322] ; [ 23.13559322 158.86440678],0
v1,1,0.324593,0.97035,[294 224] ; [94 85],[288.35581062 229.64418938] ; [99.64418938 79.35581062],0
p1,1,0.337819,0.918692,[ 50 477] ; [ 13 169],[ 46.82792666 480.17207334] ; [ 16.17207334 165.82792666],0
p12,1,0.36042,0.836429,[ 50 478] ; [ 13 167],[ 46.98305085 481.01694915] ; [ 16.01694915 163.98305085],0
p10,1,0.371825,0.797556,[446  78] ; [149  32],[442.24113475  81.75886525] ; [152.75886525  28.24113475],0
r2,1,0.377345,0.779333,[519   9] ; [176   5],[517.57404795  10.42595205] ; [177.42595205   3.57404795],0
p7,1,0.383277,0.760163,[338 178] ; [125  56],[342.7661406 173.2338594] ; [120.2338594  60.7661406],0
s7,1,0.443758,0.586546,[255 249] ; [96 82],[259.39002933 244.60997067] ; [91.60997067 86.39002933],0
d2,1,0.475446,0.509291,[272 257] ; [88 94],[267.84810127 261.15189873] ; [92.15189873 89.84810127],0
s4,1,0.476278,0.507373,[ 85 434] ; [ 34 148],[ 88.10413695 430.89586305] ; [ 30.89586305 151.10413695],0
s2,1,0.490598,0.475214,[279 245] ; [91 90],[275.0070922 248.9929078] ; [94.9929078 86.0070922],0
r3,1,0.494248,0.467266,[519  10] ; [178   5],[517.85533708  11.14466292] ; [179.14466292   3.85533708],0
s6,1,0.499763,0.45544,[370 148] ; [121  55],[366.48126801 151.51873199] ; [124.51873199  51.48126801],0
n3,1,0.525358,0.403361,[78 24] ; [30 12],[76.5 25.5] ; [31.5 10.5],0
a1,1,0.532335,0.389932,[ 23 507] ; [ 10 173],[ 24.53015428 505.46984572] ; [  8.46984572 174.53015428],0
p9,1,0.537055,0.381025,[455  65] ; [156  26],[452.59259259  67.40740741] ; [158.40740741  23.59259259],0
p11,1,0.599305,0.276046,[431  99] ; [152  31],[433.36605891  96.63394109] ; [149.63394109  33.36605891],0
v4,1,0.605028,0.267478,[519  11] ; [178   5],[518.10659187  11.89340813] ; [178.89340813   4.10659187],0
a8,1,0.636876,0.222852,[ 73 402] ; [ 24 149],[ 71.10339506 403.89660494] ; [ 25.89660494 147.10339506],0
p8,1,0.702447,0.145939,[288 233] ; [96 83],[285.80571429 235.19428571] ; [98.19428571 80.80571429],0
a3,1,0.73809,0.111812,[384 143] ; [131  52],[382.26056338 144.73943662] ; [132.73943662  50.26056338],0
a4,1,0.740475,0.10971,[242 286] ; [86 96],[243.92112676 284.07887324] ; [84.07887324 97.92112676],0
