Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n1,1,0.016827,5.714286,[ 1 13] ; [5 5],[ 3.5 10.5] ; [2.5 7.5],0
p4,1,0.023763,5.111813,[18 21] ; [33 14],[23.12790698 15.87209302] ; [27.87209302 19.12790698],0
u1,1,0.038898,4.265306,[ 7 32] ; [ 2 45],[ 4.08139535 34.91860465] ; [ 4.91860465 42.08139535],0
r1,1,0.046835,3.951296,[24 15] ; [38  9],[28.11627907 10.88372093] ; [33.88372093 13.11627907],0
p11,1,0.047117,3.9412,[23 16] ; [37 10],[27.20930233 11.79069767] ; [32.79069767 14.20930233],0
p6,1,0.04811,3.906132,[ 9 29] ; [20 25],[13.27710843 24.72289157] ; [15.72289157 29.27710843],0
b4,1,0.064877,3.408112,[26 13] ; [22 25],[21.76744186 17.23255814] ; [26.23255814 20.76744186],0
a3,1,0.067136,3.351679,[29 10] ; [26 21],[24.94186047 14.05813953] ; [30.05813953 16.94186047],0
r3,1,0.076909,3.129044,[33  6] ; [45  2],[35.37209302  3.62790698] ; [42.62790698  4.37209302],0
p10,1,0.077827,3.109704,[22 17] ; [35 12],[25.84883721 13.15116279] ; [31.15116279 15.84883721],0
p3,1,0.119182,2.428044,[15 24] ; [26 21],[18.59302326 20.40697674] ; [22.40697674 24.59302326],0
d4,1,0.122787,2.381406,[30  7] ; [31 16],[26.86904762 10.13095238] ; [34.13095238 12.86904762],0
r4,1,0.132355,2.264658,[25 14] ; [37 10],[28.11627907 10.88372093] ; [33.88372093 13.11627907],0
a8,1,0.137703,2.203441,[ 6 28] ; [ 3 41],[ 3.92307692 30.07692308] ; [ 5.07692308 38.92307692],0
d2,1,0.146081,2.112703,[18 20] ; [15 32],[14.75294118 23.24705882] ; [18.24705882 28.75294118],0
v3,1,0.197063,1.664007,[ 6 30] ; [13 32],[ 8.44444444 27.55555556] ; [10.55555556 34.44444444],0
s3,1,0.226641,1.46182,[24 14] ; [23 23],[21.26190476 16.73809524] ; [25.73809524 20.26190476],0
s6,1,0.252783,1.307855,[21 18] ; [31 16],[23.58139535 15.41860465] ; [28.41860465 18.58139535],0
s2,1,0.286261,1.137124,[18 21] ; [16 30],[15.6 23.4] ; [18.4 27.6],0
s7,1,0.293256,1.104611,[16 19] ; [15 29],[13.73417722 21.26582278] ; [17.26582278 26.73417722],0
v4,1,0.302411,1.063531,[33  5] ; [43  3],[34.38095238  3.61904762] ; [41.61904762  4.38095238],0
p2,1,0.302624,1.062595,[29  9] ; [40  7],[30.84705882  7.15294118] ; [38.15294118  8.84705882],0
u2,1,0.362953,0.827651,[9 1] ; [16  5],[8.06451613 1.93548387] ; [16.93548387  4.06451613],0
a4,1,0.396946,0.717559,[15 24] ; [14 33],[13.15116279 25.84883721] ; [15.84883721 31.15116279],0
d5,1,0.398974,0.711416,[26 12] ; [36 11],[27.71764706 10.28235294] ; [34.28235294 12.71764706],0
p1,1,0.40248,0.700903,[ 1 38] ; [ 3 44],[ 1.81395349 37.18604651] ; [ 2.18604651 44.81395349],0
d1,1,0.419125,0.652767,[20 19] ; [20 27],[18.13953488 20.86046512] ; [21.86046512 25.13953488],0
s5,1,0.433985,0.612135,[ 7 31] ; [12 35],[ 8.49411765 29.50588235] ; [10.50588235 36.49411765],0
n2,1,0.504036,0.446429,[12  3] ; [9 1],[12.6  2.4] ; [8.4 1.6],0
s1,1,0.51375,0.426421,[ 3 36] ; [ 2 44],[ 2.29411765 36.70588235] ; [ 2.70588235 43.29411765],0
b5,1,0.52598,0.402151,[24 15] ; [32 15],[25.39534884 13.60465116] ; [30.60465116 16.39534884],0
v1,1,0.537406,0.380369,[14 24] ; [20 26],[15.38095238 22.61904762] ; [18.61904762 27.38095238],0
n5,1,0.593425,0.285027,[20 18] ; [22 25],[18.77647059 19.22352941] ; [23.22352941 23.77647059],0
s8,1,0.633105,0.227874,[13 26] ; [18 29],[14.05813953 24.94186047] ; [16.94186047 30.05813953],0
a7,1,0.670907,0.180543,[24 15] ; [31 16],[24.94186047 14.05813953] ; [30.05813953 16.94186047],0
a2,1,0.678707,0.171584,[ 8 31] ; [ 8 39],[ 7.25581395 31.74418605] ; [ 8.74418605 38.25581395],0
r2,1,0.706371,0.141929,[31  7] ; [36 10],[30.30952381  7.69047619] ; [36.69047619  9.30952381],0
b3,1,0.786029,0.073696,[ 5 19] ; [ 5 23],[ 4.61538462 19.38461538] ; [ 5.38461538 22.61538462],0
b2,1,0.786029,0.073696,[ 5 19] ; [ 5 23],[ 4.61538462 19.38461538] ; [ 5.38461538 22.61538462],0
u3,1,0.788776,0.07177,[6 4] ; [13  7],[6.33333333 3.66666667] ; [12.66666667  7.33333333],0
n4,1,0.797039,0.066142,[21 18] ; [24 23],[20.40697674 18.59302326] ; [24.59302326 22.40697674],0
p5,1,0.812441,0.056301,[ 3 36] ; [ 3 44],[ 2.72093023 36.27906977] ; [ 3.27906977 43.72093023],0
v2,1,0.822572,0.050283,[18 19] ; [22 21],[18.5 18.5] ; [21.5 21.5],0
a1,1,0.848244,0.036619,[ 2 37] ; [ 2 45],[ 1.81395349 37.18604651] ; [ 2.18604651 44.81395349],0
a5,1,0.852875,0.034392,[24 15] ; [28 19],[23.58139535 15.41860465] ; [28.41860465 18.58139535],0
n3,1,0.855702,0.033069,[11  4] ; [7 3],[10.8  4.2] ; [7.2 2.8],0
s4,1,0.886771,0.020275,[ 7 32] ; [ 9 38],[ 7.25581395 31.74418605] ; [ 8.74418605 38.25581395],0
p9,1,0.921365,0.009744,[27 12] ; [33 14],[27.20930233 11.79069767] ; [32.79069767 14.20930233],0
d3,1,0.921703,0.009661,[24 13] ; [30 17],[23.78571429 13.21428571] ; [30.21428571 16.78571429],0
b1,1,0.944784,0.004797,[26 13] ; [31 16],[25.84883721 13.15116279] ; [31.15116279 15.84883721],0
a6,1,0.973613,0.001094,[26 12] ; [32 15],[25.92941176 12.07058824] ; [32.07058824 14.92941176],0
