Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,143.894999,[323  29] ; [53 77],[274.58921162  77.41078838] ; [101.41078838  28.58921162],1
n6,1,0.0,58.928084,[323  29] ; [81 48],[295.65072765  56.34927235] ; [108.34927235  20.65072765],1
p11,1,0.0,26.34799,[290  62] ; [78 52],[268.74688797  83.25311203] ; [99.25311203 30.74688797],1
v1,1,2.7e-05,17.60453,[202 145] ; [45 79],[181.97239915 165.02760085] ; [65.02760085 58.97239915],1
p10,1,2.8e-05,17.516275,[295  54] ; [86 42],[278.76100629  70.23899371] ; [102.23899371  25.76100629],1
p4,1,0.00019,13.92639,[228 121] ; [60 69],[210.27615063 138.72384937] ; [77.72384937 51.27615063],1
p9,1,0.000263,13.318895,[300  46] ; [92 35],[286.74841438  59.25158562] ; [105.25158562  21.74841438],1
s8,1,0.001387,10.223129,[178 171] ; [45 85],[162.47807933 186.52192067] ; [60.52192067 69.47807933],0
v3,1,0.001888,9.655645,[151 186] ; [35 87],[136.5620915 200.4379085] ; [49.4379085 72.5620915],0
s7,1,0.002189,9.383791,[179 156] ; [45 76],[164.56140351 170.43859649] ; [59.43859649 61.56140351],0
a2,1,0.003471,8.541538,[140 212] ; [33 97],[126.34024896 225.65975104] ; [46.65975104 83.34024896],0
a8,1,0.003787,8.383314,[ 48 262] ; [  6 112],[ 39.11214953 270.88785047] ; [ 14.88785047 103.11214953],0
a5,1,0.004037,8.26693,[304  48] ; [98 32],[293.57676349  58.42323651] ; [108.42323651  21.57676349],0
p2,1,0.004341,8.135271,[296  55] ; [94 35],[285.1875  65.8125] ; [104.8125  24.1875],0
r4,1,0.005773,7.619757,[325  27] ; [109  21],[316.94605809  35.05394191] ; [117.05394191  12.94605809],0
r2,1,0.006942,7.287946,[339   7] ; [118   9],[334.29598309  11.70401691] ; [122.70401691   4.29598309],0
s2,1,0.007616,7.121522,[197 150] ; [56 74],[184.04821803 162.95178197] ; [68.95178197 61.04821803],0
u1,1,0.008749,6.873348,[104 248] ; [ 23 107],[ 92.74688797 259.25311203] ; [34.25311203 95.74688797],0
s4,1,0.00888,6.846835,[ 50 296] ; [32 98],[ 59.60504202 286.39495798] ; [ 22.39495798 107.60504202],0
p8,1,0.009398,6.745656,[186 158] ; [52 76],[173.45762712 170.54237288] ; [64.54237288 63.45762712],0
v4,1,0.010969,6.470333,[337  14] ; [117  13],[331.2972973  19.7027027] ; [122.7027027   7.2972973],0
s3,1,0.013644,6.083637,[206 140] ; [60 68],[194.16877637 151.83122363] ; [71.83122363 56.16877637],0
a3,1,0.015073,5.907874,[286  64] ; [93 37],[276.35416667  73.64583333] ; [102.64583333  27.35416667],0
p12,1,0.024754,5.041018,[ 28 321] ; [  3 126],[ 22.63389121 326.36610879] ; [  8.36610879 120.63389121],0
p7,1,0.029121,4.760426,[220 123] ; [68 60],[209.73248408 133.26751592] ; [78.26751592 49.73248408],0
a4,1,0.030415,4.685697,[216 134] ; [66 64],[205.625 144.375] ; [76.375 53.625],0
p3,1,0.030774,4.665522,[180 170] ; [52 77],[169.51983299 180.48016701] ; [62.48016701 66.51983299],0
p6,1,0.033436,4.523298,[139 208] ; [37 89],[129.11627907 217.88372093] ; [46.88372093 79.11627907],0
r1,1,0.038261,4.293381,[300  51] ; [100  29],[292.5  58.5] ; [107.5  21.5],0
s6,1,0.059323,3.556206,[239 108] ; [77 52],[230.36134454 116.63865546] ; [85.63865546 43.36134454],0
n2,1,0.064501,3.417689,[53 20] ; [24 19],[48.45689655 24.54310345] ; [28.54310345 14.45689655],0
d3,1,0.080844,3.047854,[307  44] ; [121   9],[312.32432432  38.67567568] ; [115.67567568  14.32432432],0
a6,1,0.108521,2.575633,[265  85] ; [89 41],[258.125  91.875] ; [95.875 34.125],0
s1,1,0.123465,2.372804,[  7 338] ; [  6 124],[  9.44210526 335.55789474] ; [  3.55789474 126.44210526],0
u4,1,0.140699,2.170298,[ 11 341] ; [  1 129],[  8.76348548 343.23651452] ; [  3.23651452 126.76348548],0
s5,1,0.147625,2.096622,[119 223] ; [34 89],[112.52903226 229.47096774] ; [40.47096774 82.52903226],0
u3,1,0.259264,1.272682,[39 27] ; [26 11],[41.65048544 24.34951456] ; [23.34951456 13.65048544],0
b4,1,0.289784,1.120625,[206 146] ; [83 47],[211.05394191 140.94605809] ; [77.94605809 52.05394191],0
d2,1,0.345823,0.888725,[256  92] ; [90 40],[251.89958159  96.10041841] ; [94.10041841 35.89958159],0
b3,1,0.353061,0.862424,[ 87 139] ; [23 48],[ 83.7037037 142.2962963] ; [26.2962963 44.7037037],0
b2,1,0.353061,0.862424,[ 87 139] ; [23 48],[ 83.7037037 142.2962963] ; [26.2962963 44.7037037],0
n1,1,0.353263,0.861702,[27 44] ; [13 31],[24.69565217 46.30434783] ; [15.30434783 28.69565217],0
d4,1,0.439314,0.598073,[342   6] ; [129   1],[342.90376569   5.09623431] ; [128.09623431   1.90376569],0
a7,1,0.504573,0.445305,[268  83] ; [103  27],[270.72972973  80.27027027] ; [100.27027027  29.72972973],0
r3,1,0.509843,0.434389,[336  14] ; [123   7],[334.6875  15.3125] ; [124.3125   5.6875],0
u2,1,0.524222,0.405578,[38 27] ; [24 13],[39.50980392 25.49019608] ; [22.49019608 14.50980392],0
