Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000315,12.97996,[ 3 11] ; [31 10],[8.65454545 5.34545455] ; [25.34545455 15.65454545],1
b5,1,0.00672,7.346249,[5 9] ; [31 10],[9.16363636 4.83636364] ; [26.83636364 14.16363636],0
a5,1,0.073233,3.209019,[11  3] ; [21 20],[8.14545455 5.85454545] ; [23.85454545 17.14545455],0
p3,1,0.129403,2.299652,[8 6] ; [14 27],[5.6 8.4] ; [16.4 24.6],0
p10,1,0.144053,2.134117,[ 2 12] ; [14 26],[4.14814815 9.85185185] ; [11.85185185 28.14814815],0
s3,1,0.16029,1.971487,[9 5] ; [17 23],[6.74074074 7.25925926] ; [19.25925926 20.74074074],0
a7,1,0.177439,1.818947,[7 7] ; [28 12],[9.07407407 4.92592593] ; [25.92592593 14.07407407],0
a2,1,0.214852,1.538424,[ 1 13] ; [ 9 32],[ 2.54545455 11.45454545] ; [ 7.45454545 33.54545455],0
d3,1,0.219269,1.509146,[7 7] ; [28 13],[8.90909091 5.09090909] ; [26.09090909 14.90909091],0
n1,1,0.236724,1.4,[3 1] ; [4 6],[2. 2.] ; [5. 5.],0
d1,1,0.244496,1.354482,[ 4 10] ; [19 22],[5.85454545 8.14545455] ; [17.14545455 23.85454545],0
r2,1,0.253536,1.303714,[12  2] ; [38  2],[12.96296296  1.03703704] ; [37.03703704  2.96296296],0
v4,1,0.257871,1.280151,[11  3] ; [37  4],[12.21818182  1.78181818] ; [35.78181818  5.21818182],0
s6,1,0.266575,1.234286,[6 8] ; [24 16],[7.77777778 6.22222222] ; [22.22222222 17.77777778],0
s4,1,0.273218,1.200521,[ 3 11] ; [ 4 36],[ 1.81481481 12.18518519] ; [ 5.18518519 34.81481481],0
p6,1,0.289547,1.121727,[ 3 11] ; [ 4 35],[ 1.8490566 12.1509434] ; [ 5.1509434 33.8490566],0
a3,1,0.291797,1.11131,[7 7] ; [27 14],[8.65454545 5.34545455] ; [25.34545455 15.65454545],0
s8,1,0.346703,0.885487,[ 3 11] ; [14 26],[4.40740741 9.59259259] ; [12.59259259 27.40740741],0
a8,1,0.34864,0.8784,[ 1 13] ; [ 6 28],[ 2.04166667 11.95833333] ; [ 4.95833333 29.04166667],0
r1,1,0.353076,0.862369,[10  4] ; [34  7],[11.2  2.8] ; [32.8  8.2],0
n4,1,0.353076,0.862369,[10  4] ; [34  7],[11.2  2.8] ; [32.8  8.2],0
a6,1,0.376371,0.78252,[7 7] ; [26 15],[8.4 5.6] ; [24.6 16.4],0
b3,1,0.385183,0.754095,[3 6] ; [ 5 21],[2.05714286 6.94285714] ; [ 5.94285714 20.05714286],0
b2,1,0.385183,0.754095,[3 6] ; [ 5 21],[2.05714286 6.94285714] ; [ 5.94285714 20.05714286],0
v1,1,0.391584,0.734018,[6 8] ; [23 18],[7.38181818 6.61818182] ; [21.61818182 19.38181818],0
b1,1,0.39659,0.718641,[9 5] ; [21 20],[7.63636364 6.36363636] ; [22.36363636 18.63636364],0
r3,1,0.4183,0.655085,[11  3] ; [35  5],[11.92592593  2.07407407] ; [34.07407407  5.92592593],0
p7,1,0.452929,0.563312,[5 9] ; [18 20],[6.19230769 7.80769231] ; [16.80769231 21.19230769],0
s5,1,0.471738,0.517902,[ 2 11] ; [10 30],[ 2.94339623 10.05660377] ; [ 9.05660377 30.94339623],0
u3,1,0.52511,0.403846,[5 2] ; [8 6],[4.33333333 2.66666667] ; [8.66666667 5.33333333],0
d5,1,0.5274,0.399399,[9 5] ; [30 11],[9.92727273 4.07272727] ; [29.07272727 11.92727273],0
s7,1,0.543891,0.368375,[4 8] ; [16 21],[4.89795918 7.10204082] ; [15.10204082 21.89795918],0
s2,1,0.561117,0.337774,[7 7] ; [16 23],[6.0754717 7.9245283] ; [16.9245283 22.0754717],0
p11,1,0.588929,0.292019,[6 8] ; [21 20],[6.87272727 7.12727273] ; [20.12727273 20.87272727],0
u2,1,0.639207,0.21978,[4 3] ; [6 7],[3.5 3.5] ; [6.5 6.5],0
b4,1,0.652263,0.203059,[9 5] ; [29 12],[9.67272727 4.32727273] ; [28.32727273 12.67272727],0
p2,1,0.692396,0.156504,[7 7] ; [23 18],[7.63636364 6.36363636] ; [22.36363636 18.63636364],0
p4,1,0.706302,0.141999,[6 8] ; [19 20],[6.60377358 7.39622642] ; [18.39622642 20.60377358],0
p1,1,0.747312,0.103804,[ 1 13] ; [ 2 39],[ 0.76363636 13.23636364] ; [ 2.23636364 38.76363636],0
v2,1,0.777096,0.080148,[9 5] ; [24 16],[8.55555556 5.44444444] ; [24.44444444 15.55555556],0
p8,1,0.782642,0.076108,[5 9] ; [13 28],[4.58181818 9.41818182] ; [13.41818182 27.58181818],0
d4,1,0.787922,0.072367,[11  3] ; [30 10],[10.62962963  3.37037037] ; [30.37037037  9.62962963],0
s1,1,0.823,0.050036,[ 1 12] ; [ 4 37],[ 1.2037037 11.7962963] ; [ 3.7962963 37.2037037],0
d2,1,0.871994,0.025962,[7 7] ; [19 21],[6.74074074 7.25925926] ; [19.25925926 20.74074074],0
r4,1,0.877,0.023955,[11  3] ; [33  8],[11.2  2.8] ; [32.8  8.2],0
a4,1,0.915168,0.011347,[5 9] ; [14 27],[4.83636364 9.16363636] ; [14.16363636 26.83636364],0
n2,1,0.931175,0.007459,[4 1] ; [9 2],[4.0625 0.9375] ; [8.9375 2.0625],0
