Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,6.2e-05,16.03131,[36 26] ; [ 83 185],[22.35757576 39.64242424] ; [ 96.64242424 171.35757576],1
n4,1,0.001111,10.632084,[56  7] ; [187  86],[45.5625 17.4375] ; [197.4375  75.5625],0
s6,1,0.011198,6.433595,[43 20] ; [136 133],[33.96686747 29.03313253] ; [145.03313253 123.96686747],0
p5,1,0.01199,6.312374,[13 49] ; [ 26 245],[ 7.26126126 54.73873874] ; [ 31.73873874 239.26126126],0
s7,1,0.022444,5.211034,[29 30] ; [ 87 174],[21.3875 37.6125] ; [ 94.6125 166.3875],0
u1,1,0.030553,4.67791,[12 51] ; [ 26 248],[ 7.10385757 55.89614243] ; [ 30.89614243 243.10385757],0
p1,1,0.044211,4.048488,[10 53] ; [ 21 251],[ 5.82985075 57.17014925] ; [ 25.17014925 246.82985075],0
s2,1,0.050564,3.822651,[30 33] ; [ 94 179],[23.25 39.75] ; [100.75 172.25],0
u3,1,0.06003,3.536542,[15  7] ; [47 55],[11. 11.] ; [51. 51.],0
b1,1,0.064469,3.41852,[35 28] ; [117 157],[28.41543027 34.58456973] ; [123.58456973 150.41543027],0
n5,1,0.076063,3.147072,[50 13] ; [185  87],[44.19402985 18.80597015] ; [190.80597015  81.19402985],0
p2,1,0.076704,3.133391,[41 21] ; [210  63],[46.45373134 15.54626866] ; [204.54626866  68.45373134],0
n6,1,0.086866,2.931521,[54  9] ; [206  66],[48.89552239 14.10447761] ; [211.10447761  60.89552239],0
s8,1,0.113655,2.50265,[26 37] ; [ 84 188],[20.68656716 42.31343284] ; [ 89.31343284 182.68656716],0
p11,1,0.187282,1.73887,[39 24] ; [193  81],[43.37091988 19.62908012] ; [188.62908012  85.37091988],0
p3,1,0.232994,1.422491,[28 34] ; [101 172],[23.87462687 38.12537313] ; [105.12537313 167.87462687],0
r1,1,0.236887,1.399023,[47 16] ; [182  90],[43.06567164 19.93432836] ; [185.93432836  86.06567164],0
s1,1,0.240561,1.377304,[ 5 57] ; [ 12 259],[ 3.16516517 58.83483483] ; [ 13.83483483 257.16516517],0
a8,1,0.251597,1.314413,[ 6 53] ; [ 41 214],[ 8.83121019 50.16878981] ; [ 38.16878981 216.83121019],0
a5,1,0.26835,1.225163,[44 19] ; [171 103],[40.19287834 22.80712166] ; [174.80712166  99.19287834],0
p6,1,0.331255,0.943985,[21 41] ; [ 75 196],[17.87387387 44.12612613] ; [ 78.12612613 192.87387387],0
b4,1,0.348151,0.880187,[32 31] ; [157 117],[35.33234421 27.66765579] ; [153.66765579 120.33234421],0
