Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,4.2e-05,16.787321,[43  9] ; [ 9 16],[35.11688312 16.88311688] ; [16.88311688  8.11688312],1
a6,1,6.3e-05,16.011346,[41 11] ; [ 8 17],[33.09090909 18.90909091] ; [15.90909091  9.09090909],1
b1,1,0.0034,8.579217,[21 31] ; [19  6],[27.01298701 24.98701299] ; [12.98701299 12.01298701],0
d4,1,0.004941,7.900726,[47  5] ; [16  9],[42.54545455  9.45454545] ; [20.45454545  4.54545455],0
p2,1,0.031317,4.635474,[40 11] ; [13 11],[36.04 14.96] ; [16.96  7.04],0
a5,1,0.037713,4.317923,[41 11] ; [14 11],[37.14285714 14.85714286] ; [17.85714286  7.14285714],0
r3,1,0.065552,3.391024,[50  1] ; [22  3],[48.31578947  2.68421053] ; [23.68421053  1.31578947],0
r1,1,0.077037,3.126329,[42  9] ; [16  9],[38.92105263 12.07894737] ; [19.07894737  5.92105263],0
d5,1,0.091207,2.852949,[47  5] ; [19  6],[44.57142857  7.42857143] ; [21.42857143  3.57142857],0
a2,1,0.103821,2.645847,[ 9 43] ; [ 1 24],[ 6.75324675 45.24675325] ; [ 3.24675325 21.75324675],0
a4,1,0.142341,2.15247,[19 33] ; [ 5 20],[16.20779221 35.79220779] ; [ 7.79220779 17.20779221],0
d1,1,0.146717,2.106055,[32 20] ; [11 14],[29.03896104 22.96103896] ; [13.96103896 11.03896104],0
b2,1,0.153639,2.035742,[ 7 22] ; [6 7],[ 8.97619048 20.02380952] ; [4.02380952 8.97619048],0
b3,1,0.153639,2.035742,[ 7 22] ; [6 7],[ 8.97619048 20.02380952] ; [4.02380952 8.97619048],0
n1,1,0.156992,2.002963,[ 4 11] ; [5 4],[5.625 9.375] ; [3.375 5.625],0
p9,1,0.172845,1.858096,[37 13] ; [14 10],[34.45945946 15.54054054] ; [16.54054054  7.45945946],0
p10,1,0.193211,1.692958,[34 16] ; [12 11],[31.50684932 18.49315068] ; [14.49315068  8.50684932],0
r4,1,0.301268,1.068573,[41 11] ; [17  8],[39.16883117 12.83116883] ; [18.83116883  6.16883117],0
a3,1,0.301268,1.068573,[41 11] ; [17  8],[39.16883117 12.83116883] ; [18.83116883  6.16883117],0
p1,1,0.339522,0.912237,[ 3 49] ; [ 3 22],[ 4.05194805 47.94805195] ; [ 1.94805195 23.05194805],0
