Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,6e-06,20.529993,[23 34] ; [48 11],[34.88793103 22.11206897] ; [36.11206897 22.88793103],1
d2,1,8.9e-05,15.352772,[18 41] ; [41 21],[28.76859504 30.23140496] ; [30.23140496 31.76859504],1
d1,1,0.000336,12.857001,[27 32] ; [48 14],[36.57024793 22.42975207] ; [38.42975207 23.57024793],1
u1,1,0.001748,9.79689,[ 6 53] ; [21 41],[13.16528926 45.83471074] ; [13.83471074 48.16528926],0
s2,1,0.002058,9.497169,[33 24] ; [51 10],[40.57627119 16.42372881] ; [43.42372881 17.57627119],0
s6,1,0.00316,8.712439,[45 12] ; [58  2],[50.17948718  6.82051282] ; [52.82051282  7.17948718],0
d5,1,0.012906,6.181945,[43 16] ; [56  6],[48.27272727 10.72727273] ; [50.72727273 11.27272727],0
s5,1,0.014623,5.961325,[22 32] ; [37 21],[28.44642857 25.55357143] ; [30.55357143 27.44642857],0
p5,1,0.019107,5.491687,[ 2 57] ; [10 52],[ 5.85123967 53.14876033] ; [ 6.14876033 55.85123967],0
s3,1,0.020647,5.356345,[39 19] ; [52  9],[44.35294118 13.64705882] ; [46.64705882 14.35294118],0
b1,1,0.025347,5.000038,[16 43] ; [29 33],[21.94214876 37.05785124] ; [23.05785124 38.94214876],0
p7,1,0.027125,4.882838,[32 25] ; [46 15],[37.6779661 19.3220339] ; [40.3220339 20.6779661],0
a2,1,0.028515,4.796634,[ 9 50] ; [20 42],[14.14049587 44.85950413] ; [14.85950413 47.14049587],0
p1,1,0.033337,4.528403,[ 2 57] ; [ 9 53],[ 5.36363636 53.63636364] ; [ 5.63636364 56.36363636],0
n5,1,0.050299,3.83145,[36 23] ; [48 14],[40.95867769 18.04132231] ; [43.04132231 18.95867769],0
b2,1,0.054413,3.69999,[ 2 25] ; [ 9 25],[ 4.86885246 22.13114754] ; [ 6.13114754 27.86885246],0
b3,1,0.054413,3.69999,[ 2 25] ; [ 9 25],[ 4.86885246 22.13114754] ; [ 6.13114754 27.86885246],0
v1,1,0.067736,3.337041,[24 34] ; [36 26],[29. 29.] ; [31. 31.],0
n4,1,0.076918,3.12885,[37 22] ; [48 14],[41.44628099 17.55371901] ; [43.55371901 18.44628099],0
p4,1,0.084148,2.982909,[34 25] ; [45 17],[38.52066116 20.47933884] ; [40.47933884 21.52066116],0
p9,1,0.085208,2.96266,[47 11] ; [56  5],[50.20168067  7.79831933] ; [52.79831933  8.20168067],0
p6,1,0.089451,2.884234,[21 37] ; [32 30],[25.61666667 32.38333333] ; [27.38333333 34.61666667],0
a3,1,0.100104,2.703894,[41 18] ; [51 11],[44.85950413 14.14049587] ; [47.14049587 14.85950413],0
v3,1,0.157259,2.000387,[14 42] ; [23 39],[17.55932203 38.44067797] ; [19.44067797 42.55932203],0
a4,1,0.166925,1.910347,[24 35] ; [33 29],[27.79338843 31.20661157] ; [29.20661157 32.79338843],0
d4,1,0.196706,1.666662,[45 14] ; [53  9],[47.78512397 11.21487603] ; [50.21487603 11.78512397],0
n3,1,0.238271,1.390797,[9 3] ; [12  1],[10.08  1.92] ; [10.92  2.08],0
p10,1,0.254353,1.299233,[47 11] ; [54  7],[49.22689076  8.77310924] ; [51.77310924  9.22689076],0
n1,1,0.319499,0.990997,[5 7] ; [ 3 10],[3.84 8.16] ; [4.16 8.84],0
p8,1,0.321754,0.981802,[27 30] ; [35 27],[29.69747899 27.30252101] ; [32.30252101 29.69747899],0
p12,1,0.323202,0.975947,[ 3 56] ; [ 6 55],[ 4.425 54.575] ; [ 4.575 56.425],0
b4,1,0.386849,0.748823,[36 23] ; [33 29],[33.6446281 25.3553719] ; [35.3553719 26.6446281],0
u2,1,0.410727,0.676695,[ 7 11] ; [6 5],[8.06896552 9.93103448] ; [4.93103448 6.06896552],0
a8,1,0.440283,0.595544,[ 2 52] ; [ 4 53],[ 2.91891892 51.08108108] ; [ 3.08108108 53.91891892],0
u3,1,0.523094,0.407788,[11  7] ; [8 3],[11.79310345  6.20689655] ; [7.20689655 3.79310345],0
r2,1,0.529793,0.394789,[57  2] ; [61  1],[57.53719008  1.46280992] ; [60.46280992  1.53719008],0
p2,1,0.558198,0.342835,[45 14] ; [50 12],[46.32231405 12.67768595] ; [48.67768595 13.32231405],0
a5,1,0.563381,0.333884,[43 16] ; [48 14],[44.37190083 14.62809917] ; [46.62809917 15.37190083],0
p11,1,0.565173,0.330827,[41 18] ; [46 16],[42.4214876 16.5785124] ; [44.5785124 17.4214876],0
s1,1,0.579993,0.306246,[ 3 54] ; [ 2 60],[ 2.39495798 54.60504202] ; [ 2.60504202 59.39495798],0
a1,1,0.588284,0.293032,[ 1 58] ; [ 2 60],[ 1.46280992 57.53719008] ; [ 1.53719008 60.46280992],0
a6,1,0.692413,0.156485,[41 18] ; [41 21],[39.98347107 19.01652893] ; [42.01652893 19.98347107],0
n2,1,0.748233,0.103022,[9 3] ; [9 4],[8.64 3.36] ; [9.36 3.64],0
d3,1,0.764117,0.090048,[47 12] ; [48 14],[46.32231405 12.67768595] ; [48.67768595 13.32231405],0
v2,1,0.783255,0.075669,[28 29] ; [31 29],[28.74358974 28.25641026] ; [30.25641026 29.74358974],0
p3,1,0.800098,0.064121,[31 28] ; [34 28],[31.69421488 27.30578512] ; [33.30578512 28.69421488],0
n6,1,0.909631,0.012883,[50  8] ; [53  9],[49.78333333  8.21666667] ; [53.21666667  8.78333333],0
b5,1,0.975398,0.000951,[36 23] ; [38 24],[36.08264463 22.91735537] ; [37.91735537 24.08264463],0
a7,1,0.986986,0.000266,[41 18] ; [43 19],[40.95867769 18.04132231] ; [43.04132231 18.95867769],0
