Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,37.931243,[34  1] ; [18 39],[19.7826087 15.2173913] ; [32.2173913 24.7826087],1
d3,1,0.0,32.831024,[29  6] ; [12 44],[15.76923077 19.23076923] ; [25.23076923 30.76923077],1
d4,1,0.0,28.93523,[33  1] ; [23 34],[20.92307692 13.07692308] ; [35.07692308 21.92307692],1
d2,1,0.0,25.834905,[25  8] ; [12 45],[13.56666667 19.43333333] ; [23.43333333 33.56666667],1
a4,1,5e-06,20.776769,[22 12] ; [10 47],[11.95604396 22.04395604] ; [20.04395604 36.95604396],1
a5,1,0.000711,11.460685,[25 10] ; [20 37],[17.11956522 17.88043478] ; [27.88043478 29.11956522],1
a3,1,0.001765,9.779044,[27  8] ; [24 31],[19.83333333 15.16666667] ; [31.16666667 23.83333333],0
a2,1,0.004687,7.996391,[ 9 26] ; [ 3 54],[ 4.56521739 30.43478261] ; [ 7.43478261 49.56521739],0
p3,1,0.006979,7.278438,[12 21] ; [ 7 50],[ 6.96666667 26.03333333] ; [12.03333333 44.96666667],0
v2,1,0.009374,6.750137,[14 20] ; [ 9 46],[ 8.78651685 25.21348315] ; [14.21348315 40.78651685],0
a6,1,0.009429,6.739771,[22 13] ; [20 37],[15.97826087 19.02173913] ; [26.02173913 30.97826087],0
v3,1,0.015331,5.878062,[11 24] ; [ 6 49],[ 6.61111111 28.38888889] ; [10.38888889 44.61111111],0
r2,1,0.018908,5.509991,[23  8] ; [27 29],[17.81609195 13.18390805] ; [32.18390805 23.81609195],0
n4,1,0.019407,5.464461,[25 10] ; [26 30],[19.61538462 15.38461538] ; [31.38461538 24.61538462],0
u1,1,0.024244,5.077074,[ 6 29] ; [ 2 55],[ 3.04347826 31.95652174] ; [ 4.95652174 52.04347826],0
a7,1,0.038462,4.284467,[21 13] ; [22 34],[16.24444444 17.75555556] ; [26.75555556 29.24444444],0
p5,1,0.065921,3.381765,[ 5 30] ; [ 2 53],[ 2.72222222 32.27777778] ; [ 4.27777778 50.72222222],0
