Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,3.2e-05,17.289537,[133  18] ; [15 12],[125.5505618  25.4494382] ; [22.4494382  4.5505618],1
a5,1,0.001127,10.606279,[118  33] ; [13 14],[111.12921348  39.87078652] ; [19.87078652  7.12921348],0
v4,1,0.005153,7.824773,[146   4] ; [23  4],[143.22033898   6.77966102] ; [25.77966102  1.22033898],0
n4,1,0.007245,7.211089,[128  23] ; [17 10],[123.00561798  27.99438202] ; [21.99438202  5.00561798],0
p2,1,0.013008,6.168033,[130  21] ; [18  9],[125.5505618  25.4494382] ; [22.4494382  4.5505618],0
p3,1,0.014098,6.025769,[80 71] ; [ 7 19],[74.22033898 76.77966102] ; [12.77966102 13.22033898],0
b1,1,0.017326,5.663031,[58 93] ; [17 10],[63.62359551 87.37640449] ; [11.37640449 15.62359551],0
s6,1,0.026452,4.926238,[122  27] ; [17 10],[117.67613636  31.32386364] ; [21.32386364  5.67613636],0
n5,1,0.038062,4.302268,[117  33] ; [16 11],[112.71186441  37.28813559] ; [20.28813559  6.71186441],0
r4,1,0.03985,4.224251,[134  17] ; [20  7],[130.64044944  20.35955056] ; [23.35955056  3.64044944],0
v2,1,0.049889,3.845198,[68 79] ; [ 7 20],[63.36206897 83.63793103] ; [11.63793103 15.36206897],0
s2,1,0.06101,3.509726,[106  45] ; [14 13],[101.79775281  49.20224719] ; [18.20224719  8.79775281],0
s8,1,0.082488,3.015186,[94 57] ; [12 15],[89.92134831 61.07865169] ; [16.07865169 10.92134831],0
p4,1,0.112997,2.511802,[97 54] ; [13 14],[93.31460674 57.68539326] ; [16.68539326 10.31460674],0
a1,1,0.118978,2.430726,[  6 145] ; [ 3 24],[  7.63483146 143.36516854] ; [ 1.36516854 25.63483146],0
s5,1,0.120713,2.40805,[63 83] ; [ 7 19],[59.41860465 86.58139535] ; [10.58139535 15.41860465],0
a4,1,0.132678,2.260889,[74 77] ; [ 9 18],[70.41011236 80.58988764] ; [12.58988764 14.41011236],0
b4,1,0.132678,2.260889,[77 74] ; [18  9],[80.58988764 70.41011236] ; [14.41011236 12.58988764],0
p5,1,0.156903,2.003824,[ 20 131] ; [ 1 26],[ 17.81460674 133.18539326] ; [ 3.18539326 23.81460674],0
d1,1,0.168069,1.900084,[94 57] ; [13 14],[90.76966292 60.23033708] ; [16.23033708 10.76966292],0
a2,1,0.195219,1.677783,[ 40 111] ; [ 4 23],[ 37.3258427 113.6741573] ; [ 6.6741573 20.3258427],0
p7,1,0.199665,1.64482,[101  47] ; [15 12],[98.10285714 49.89714286] ; [17.89714286  9.10285714],0
d2,1,0.204266,1.61161,[81 69] ; [11 16],[77.96610169 72.03389831] ; [14.03389831 12.96610169],0
d4,1,0.24978,1.324533,[125  25] ; [20  7],[122.88135593  27.11864407] ; [22.11864407  4.88135593],0
b3,1,0.251657,1.314082,[37 59] ; [ 5 15],[34.75862069 61.24137931] ; [ 7.24137931 12.75862069],0
b2,1,0.251657,1.314082,[37 59] ; [ 5 15],[34.75862069 61.24137931] ; [ 7.24137931 12.75862069],0
p6,1,0.252219,1.310971,[62 88] ; [ 8 19],[59.3220339 90.6779661] ; [10.6779661 16.3220339],0
r3,1,0.252298,1.310537,[142   8] ; [24  3],[140.6779661   9.3220339] ; [25.3220339  1.6779661],0
a3,1,0.292402,1.108531,[120  31] ; [19  8],[117.91573034  33.08426966] ; [21.08426966  5.91573034],0
n1,1,0.31335,1.016504,[19 25] ; [5 3],[20.30769231 23.69230769] ; [3.69230769 4.30769231],0
d3,1,0.337694,0.919164,[103  47] ; [16 11],[100.84745763  49.15254237] ; [18.15254237  8.84745763],0
p8,1,0.342245,0.902004,[76 74] ; [11 16],[73.72881356 76.27118644] ; [13.27118644 13.72881356],0
p11,1,0.422693,0.642817,[117  34] ; [19  8],[115.37078652  35.62921348] ; [20.62921348  6.37078652],0
a6,1,0.443039,0.588399,[95 55] ; [15 12],[93.22033898 56.77966102] ; [16.77966102 10.22033898],0
u1,1,0.447355,0.577345,[ 32 119] ; [ 4 23],[ 30.53932584 120.46067416] ; [ 5.46067416 21.53932584],0
r2,1,0.556486,0.345825,[142   7] ; [25  2],[141.38068182   7.61931818] ; [25.61931818  1.38068182],0
s1,1,0.561821,0.336561,[ 10 141] ; [ 1 26],[  9.33146067 141.66853933] ; [ 1.66853933 25.33146067],0
s3,1,0.572423,0.318645,[114  37] ; [19  8],[112.8258427  38.1741573] ; [20.1741573  6.8258427],0
b5,1,0.573099,0.317524,[75 76] ; [15 12],[76.34831461 74.65168539] ; [13.65168539 13.34831461],0
v3,1,0.695191,0.153523,[ 43 102] ; [ 7 20],[ 42.15116279 102.84883721] ; [ 7.84883721 19.15116279],0
n2,1,0.713052,0.135247,[32 12] ; [6 3],[31.54716981 12.45283019] ; [6.45283019 2.54716981],0
r1,1,0.716395,0.131973,[122  29] ; [21  6],[121.30898876  29.69101124] ; [21.69101124  5.30898876],0
d5,1,0.728629,0.120374,[121  29] ; [21  6],[120.33898305  29.66101695] ; [21.66101695  5.33898305],0
n6,1,0.759909,0.093392,[131  19] ; [23  4],[130.50847458  19.49152542] ; [23.49152542  3.50847458],0
a8,1,0.770774,0.084892,[ 20 121] ; [ 3 22],[ 19.53614458 121.46385542] ; [ 3.46385542 21.53614458],0
u3,1,0.779164,0.078629,[21 10] ; [5 3],[20.66666667 10.33333333] ; [5.33333333 2.66666667],0
a7,1,0.820024,0.051763,[104  47] ; [18  9],[103.49438202  47.50561798] ; [18.50561798  8.49438202],0
p1,1,0.851747,0.034928,[ 15 136] ; [ 3 24],[ 15.26966292 135.73033708] ; [ 2.73033708 24.26966292],0
n3,1,0.893948,0.017772,[32 12] ; [6 2],[32.15384615 11.84615385] ; [5.84615385 2.15384615],0
u2,1,0.96537,0.001885,[19 11] ; [5 3],[18.94736842 11.05263158] ; [5.05263158 2.94736842],0
s4,1,0.980625,0.00059,[ 41 110] ; [ 7 19],[ 40.94915254 110.05084746] ; [ 7.05084746 18.94915254],0
