Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,32.105347,[92 12] ; [ 4 11],[83.89915966 20.10084034] ; [12.10084034  2.89915966],1
r3,1,4.3e-05,16.739183,[97  6] ; [9 6],[92.52542373 10.47457627] ; [13.47457627  1.52542373],1
v4,1,6.6e-05,15.931373,[98  4] ; [10  5],[94.15384615  7.84615385] ; [13.84615385  1.15384615],1
r1,1,0.000648,11.633238,[83 20] ; [6 9],[77.68644068 25.31355932] ; [11.31355932  3.68644068],1
a7,1,0.000706,11.474092,[79 25] ; [ 5 10],[73.41176471 30.58823529] ; [10.58823529  4.41176471],1
a6,1,0.003949,8.307115,[79 25] ; [6 9],[74.28571429 29.71428571] ; [10.71428571  4.28571429],0
d5,1,0.00519,7.812013,[83 21] ; [7 8],[78.65546218 25.34453782] ; [11.34453782  3.65546218],0
d1,1,0.009293,6.765703,[51 53] ; [ 2 13],[46.31932773 57.68067227] ; [6.68067227 8.31932773],0
a3,1,0.017168,5.679128,[68 36] ; [ 5 10],[63.79831933 40.20168067] ; [9.20168067 5.79831933],0
b1,1,0.017217,5.67413,[49 55] ; [12  3],[53.31092437 50.68907563] ; [7.68907563 7.31092437],0
p7,1,0.018515,5.5468,[54 45] ; [13  2],[58.18421053 40.81578947] ; [8.81578947 6.18421053],0
a5,1,0.026174,4.944456,[66 38] ; [ 5 10],[62.05042017 41.94957983] ; [8.94957983 6.05042017],0
b4,1,0.031894,4.604167,[65 39] ; [ 5 10],[61.17647059 42.82352941] ; [8.82352941 6.17647059],0
s4,1,0.040598,4.192702,[18 86] ; [6 9],[20.97478992 83.02521008] ; [ 3.02521008 11.97478992],0
u3,1,0.042522,4.114286,[26  9] ; [4 6],[23.33333333 11.66666667] ; [6.66666667 3.33333333],0
n2,1,0.07355,3.201963,[22  5] ; [4 4],[20.05714286  6.94285714] ; [5.94285714 2.05714286],0
d3,1,0.07387,3.194852,[72 31] ; [7 8],[68.95762712 34.04237288] ; [10.04237288  4.95762712],0
d4,1,0.091154,2.853866,[82 21] ; [9 6],[79.43220339 23.56779661] ; [11.56779661  3.43220339],0
p9,1,0.107721,2.587345,[75 27] ; [8 7],[72.35897436 29.64102564] ; [10.64102564  4.35897436],0
s3,1,0.11844,2.437836,[56 46] ; [ 5 10],[53.17948718 48.82051282] ; [7.82051282 7.17948718],0
s2,1,0.121671,2.395677,[42 61] ; [ 3 12],[39.27966102 63.72033898] ; [5.72033898 9.27966102],0
d2,1,0.164094,1.936089,[40 64] ; [ 3 12],[37.57983193 66.42016807] ; [5.42016807 9.57983193],0
p3,1,0.197605,1.659986,[46 58] ; [ 4 11],[43.69747899 60.30252101] ; [6.30252101 8.69747899],0
p6,1,0.259211,1.272967,[26 74] ; [6 9],[27.82608696 72.17391304] ; [ 4.17391304 10.82608696],0
a4,1,0.259584,1.270976,[36 68] ; [ 3 12],[34.08403361 69.91596639] ; [ 4.91596639 10.08403361],0
a1,1,0.273252,1.200346,[  2 102] ; [ 1 14],[  2.62184874 101.37815126] ; [ 0.37815126 14.62184874],0
p12,1,0.281645,1.159133,[  2 100] ; [ 1 14],[ 2.61538462 99.38461538] ; [ 0.38461538 14.61538462],0
s1,1,0.285953,1.138577,[ 2 99] ; [ 1 14],[ 2.61206897 98.38793103] ; [ 0.38793103 14.61206897],0
v2,1,0.291885,1.110907,[46 50] ; [ 5 10],[44.10810811 51.89189189] ; [6.89189189 8.10810811],0
b5,1,0.324177,0.972018,[69 35] ; [8 7],[67.29411765 36.70588235] ; [9.70588235 5.29411765],0
p10,1,0.351738,0.867176,[67 35] ; [8 7],[65.38461538 36.61538462] ; [9.61538462 5.38461538],0
n3,1,0.385183,0.754095,[21  6] ; [5 3],[20.05714286  6.94285714] ; [5.94285714 2.05714286],0
p8,1,0.433408,0.613673,[43 58] ; [8 7],[44.40517241 56.59482759] ; [6.59482759 8.40517241],0
u2,1,0.481924,0.494505,[24 11] ; [8 2],[24.88888889 10.11111111] ; [7.11111111 2.88888889],0
v1,1,0.585634,0.297214,[48 53] ; [6 9],[47.01724138 53.98275862] ; [6.98275862 8.01724138],0
v3,1,0.616336,0.251052,[25 71] ; [ 3 12],[24.21621622 71.78378378] ; [ 3.78378378 11.21621622],0
n4,1,0.652234,0.203095,[55 49] ; [7 8],[54.18487395 49.81512605] ; [7.81512605 7.18487395],0
s5,1,0.687007,0.162345,[22 78] ; [ 4 11],[22.60869565 77.39130435] ; [ 3.39130435 11.60869565],0
n1,1,0.75415,0.098077,[ 8 18] ; [2 6],[ 7.64705882 18.35294118] ; [2.35294118 5.64705882],0
p4,1,0.809256,0.058267,[52 52] ; [7 8],[51.56302521 52.43697479] ; [7.43697479 7.56302521],0
s6,1,0.810959,0.057212,[59 45] ; [9 6],[59.42857143 44.57142857] ; [8.57142857 6.42857143],0
n5,1,0.842215,0.039625,[44 59] ; [6 9],[43.6440678 59.3559322] ; [6.3559322 8.6440678],0
s7,1,0.944477,0.00485,[34 65] ; [4 8],[33.89189189 65.10810811] ; [4.10810811 7.89189189],0
a8,1,0.959379,0.002594,[ 7 86] ; [ 1 13],[ 6.95327103 86.04672897] ; [ 1.04672897 12.95327103],0
s8,1,0.980401,0.000603,[35 69] ; [ 5 10],[34.95798319 69.04201681] ; [5.04201681 9.95798319],0
p11,1,0.980401,0.000603,[69 35] ; [10  5],[69.04201681 34.95798319] ; [9.95798319 5.04201681],0
