Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000507,12.091429,[ 3 32] ; [12 13],[ 8.75 26.25] ; [ 6.25 18.75],1
r3,1,0.041462,4.157029,[14 20] ; [17  8],[17.86440678 16.13559322] ; [13.13559322 11.86440678],0
s5,1,0.044573,4.034729,[ 2 32] ; [ 6 19],[ 4.61016949 29.38983051] ; [ 3.38983051 21.61016949],0
s6,1,0.048398,3.896104,[ 6 29] ; [10 15],[ 9.33333333 25.66666667] ; [ 6.66666667 18.33333333],0
b5,1,0.069559,3.293388,[18 17] ; [ 7 18],[14.58333333 20.41666667] ; [10.41666667 14.58333333],0
p2,1,0.074377,3.183673,[ 9 26] ; [12 13],[12.25 22.75] ; [ 8.75 16.25],0
s8,1,0.089245,2.887948,[ 2 33] ; [ 5 20],[ 4.08333333 30.91666667] ; [ 2.91666667 22.08333333],0
u2,1,0.104355,2.637698,[ 2 14] ; [3 4],[ 3.47826087 12.52173913] ; [1.52173913 5.47826087],0
a3,1,0.106028,2.612443,[19 16] ; [18  6],[21.94915254 13.05084746] ; [15.05084746  8.94915254],0
n5,1,0.108809,2.571429,[24 11] ; [12 13],[21. 14.] ; [15. 10.],0
p8,1,0.126609,2.333598,[ 4 29] ; [ 7 18],[ 6.25862069 26.74137931] ; [ 4.74137931 20.25862069],0
a6,1,0.134328,2.241758,[18 17] ; [ 8 17],[15.16666667 19.83333333] ; [10.83333333 14.16666667],0
d4,1,0.153127,2.040816,[22 13] ; [20  5],[24.5 10.5] ; [17.5  7.5],0
a4,1,0.159849,1.975655,[ 9 25] ; [11 14],[11.52542373 22.47457627] ; [ 8.47457627 16.52542373],0
d5,1,0.164117,1.935874,[19 16] ; [18  7],[21.58333333 13.41666667] ; [15.41666667  9.58333333],0
v2,1,0.174546,1.843456,[ 8 26] ; [10 15],[10.37288136 23.62711864] ; [ 7.62711864 17.37288136],0
s7,1,0.183415,1.769734,[ 6 28] ; [ 7 14],[ 8.03636364 25.96363636] ; [ 4.96363636 16.03636364],0
b1,1,0.19043,1.714286,[15 20] ; [15 10],[17.5 17.5] ; [12.5 12.5],0
r2,1,0.197715,1.65917,[15 17] ; [16  9],[17.40350877 14.59649123] ; [13.59649123 11.40350877],0
a5,1,0.236289,1.402597,[17 18] ; [16  9],[19.25 15.75] ; [13.75 11.25],0
p1,1,0.304371,1.054945,[ 6 29] ; [ 2 23],[ 4.66666667 30.33333333] ; [ 3.33333333 21.66666667],0
s3,1,0.371203,0.799632,[ 9 25] ; [ 9 15],[10.55172414 23.44827586] ; [ 7.44827586 16.55172414],0
p5,1,0.382098,0.763943,[ 1 33] ; [ 2 23],[ 1.72881356 32.27118644] ; [ 1.27118644 23.72881356],0
d2,1,0.44614,0.58044,[17 17] ; [10 15],[15.55932203 18.44067797] ; [11.44067797 13.55932203],0
s2,1,0.461408,0.542477,[ 6 29] ; [ 6 18],[ 7.11864407 27.88135593] ; [ 4.88135593 19.11864407],0
a8,1,0.474867,0.510628,[ 4 31] ; [ 4 18],[ 4.9122807 30.0877193] ; [ 3.0877193 18.9122807],0
b3,1,0.570435,0.321955,[10 15] ; [ 5 11],[ 9.14634146 15.85365854] ; [ 5.85365854 10.14634146],0
b2,1,0.570435,0.321955,[10 15] ; [ 5 11],[ 9.14634146 15.85365854] ; [ 5.85365854 10.14634146],0
s4,1,0.582306,0.302521,[ 6 29] ; [ 3 22],[ 5.25 29.75] ; [ 3.75 21.25],0
a7,1,0.630981,0.230733,[16 19] ; [13 12],[16.91666667 18.08333333] ; [12.08333333 12.91666667],0
p4,1,0.650147,0.205714,[ 8 27] ; [ 7 18],[ 8.75 26.25] ; [ 6.25 18.75],0
p11,1,0.693012,0.155844,[15 20] ; [12 13],[15.75 19.25] ; [11.25 13.75],0
d1,1,0.753386,0.098707,[14 21] ; [ 9 16],[13.41666667 21.58333333] ; [ 9.58333333 15.41666667],0
p9,1,0.775993,0.080966,[15 18] ; [10 14],[14.47368421 18.52631579] ; [10.52631579 13.47368421],0
p3,1,0.791129,0.070143,[ 8 27] ; [ 5 20],[ 7.58333333 27.41666667] ; [ 5.41666667 19.58333333],0
d3,1,0.793428,0.068571,[18 17] ; [12 13],[17.5 17.5] ; [12.5 12.5],0
n1,1,0.841596,0.039941,[7 7] ; [6 7],[6.74074074 7.25925926] ; [6.25925926 6.74074074],0
n2,1,0.86324,0.02967,[6 8] ; [6 7],[6.22222222 7.77777778] ; [5.77777778 7.22222222],0
b4,1,0.890831,0.018838,[23 12] ; [16  9],[22.75 12.25] ; [16.25  8.75],0
n4,1,0.890831,0.018838,[23 12] ; [16  9],[22.75 12.25] ; [16.25  8.75],0
v1,1,0.89611,0.01705,[ 9 25] ; [ 7 18],[ 9.22033898 24.77966102] ; [ 6.77966102 18.22033898],0
u3,1,0.906855,0.01369,[ 2 14] ; [1 6],[ 2.08695652 13.91304348] ; [0.91304348 6.08695652],0
p7,1,0.917814,0.010648,[ 8 27] ; [ 6 19],[ 8.16666667 26.83333333] ; [ 5.83333333 19.16666667],0
a2,1,0.937069,0.006234,[ 3 32] ; [ 2 23],[ 2.91666667 32.08333333] ; [ 2.08333333 22.91666667],0
a1,1,0.945805,0.004621,[ 4 31] ; [ 3 22],[ 4.08333333 30.91666667] ; [ 2.91666667 22.08333333],0
s1,1,0.945805,0.004621,[ 4 31] ; [ 3 22],[ 4.08333333 30.91666667] ; [ 2.91666667 22.08333333],0
p10,1,0.954672,0.003231,[13 21] ; [ 9 15],[12.89655172 21.10344828] ; [ 9.10344828 14.89655172],0
n6,1,1.0,0.0,[17 17] ; [12 12],[17. 17.] ; [12. 12.],0
n3,1,1.0,0.0,[7 7] ; [6 6],[7. 7.] ; [6. 6.],0
v3,1,1.0,0.0,[ 7 28] ; [ 5 20],[ 7. 28.] ; [ 5. 20.],0
