Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,63.257425,[78 23] ; [ 47 124],[46.41544118 54.58455882] ; [78.58455882 92.41544118],1
p8,1,1e-06,24.111965,[60 40] ; [ 51 121],[40.80882353 59.19117647] ; [ 70.19117647 101.80882353],1
p7,1,8e-06,20.024734,[69 31] ; [68 99],[51.31086142 48.68913858] ; [85.68913858 81.31086142],1
p6,1,1.2e-05,19.094549,[46 55] ; [ 35 136],[30.07720588 70.92279412] ; [ 50.92279412 120.07720588],1
p1,1,6.2e-05,16.033928,[18 83] ; [  6 164],[ 8.94464945 92.05535055] ; [ 15.05535055 154.94464945],1
p5,1,0.000313,12.99116,[16 85] ; [  6 165],[ 8.16911765 92.83088235] ; [ 13.83088235 157.16911765],1
p2,1,0.001166,10.543748,[86 15] ; [115  56],[74.63602941 26.36397059] ; [126.36397059  44.63602941],0
s6,1,0.002112,9.449561,[64 33] ; [80 92],[51.92565056 45.07434944] ; [92.07434944 79.92565056],0
s7,1,0.003252,8.660159,[47 48] ; [ 52 115],[35.89694656 59.10305344] ; [ 63.10305344 103.89694656],0
s3,1,0.003899,8.330051,[60 40] ; [ 72 100],[48.52941176 51.47058824] ; [83.47058824 88.52941176],0
s5,1,0.003959,8.302554,[33 65] ; [ 31 140],[23.31598513 74.68401487] ; [ 40.68401487 130.31598513],0
n4,1,0.006667,7.360517,[78 23] ; [106  67],[67.82481752 33.17518248] ; [116.17518248  56.82481752],0
n6,1,0.007098,7.247992,[85 15] ; [122  51],[75.82417582 24.17582418] ; [131.17582418  41.82417582],0
s2,1,0.008887,6.845429,[49 52] ; [ 56 116],[38.84615385 62.15384615] ; [ 66.15384615 105.84615385],0
s8,1,0.016394,5.760109,[38 62] ; [ 42 131],[29.3040293 70.6959707] ; [ 50.6959707 122.3040293],0
r3,1,0.026221,4.9414,[91  9] ; [140  33],[84.61538462 15.38461538] ; [146.38461538  26.61538462],0
p9,1,0.029469,4.739998,[77 23] ; [108  60],[69.02985075 30.97014925] ; [115.97014925  52.02985075],0
p10,1,0.029679,4.72777,[72 28] ; [100  70],[63.7037037 36.2962963] ; [108.2962963  61.7037037],0
