Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,1e-06,23.99007,[165  22] ; [17 15],[155.40639269  31.59360731] ; [26.59360731  5.40639269],1
p10,1,0.000202,13.813851,[148  36] ; [16 16],[139.7037037  44.2962963] ; [24.2962963  7.7037037],1
p9,1,0.000348,12.794239,[155  30] ; [18 14],[147.48847926  37.51152074] ; [25.51152074  6.48847926],1
p4,1,0.003233,8.671233,[107  79] ; [ 9 22],[99.42857143 86.57142857] ; [16.57142857 14.42857143],0
s5,1,0.008413,6.943349,[ 71 111] ; [ 4 25],[ 64.69194313 117.30805687] ; [10.30805687 18.69194313],0
s6,1,0.011612,6.369103,[122  60] ; [14 18],[115.6635514  66.3364486] ; [20.3364486 11.6635514],0
p7,1,0.01531,5.880436,[116  67] ; [13 19],[109.8  73.2] ; [19.2 12.8],0
s2,1,0.020397,5.377607,[94 93] ; [ 9 23],[87.94977169 99.05022831] ; [15.05022831 16.94977169],0
s8,1,0.038115,4.299883,[96 92] ; [10 22],[90.58181818 97.41818182] ; [15.41818182 16.58181818],0
v1,1,0.03947,4.240523,[99 84] ; [11 21],[93.62790698 89.37209302] ; [16.37209302 15.62790698],0
p6,1,0.040102,4.213567,[ 70 112] ; [ 6 25],[ 64.93896714 117.06103286] ; [11.06103286 19.93896714],0
s7,1,0.04097,4.177235,[106  76] ; [11 18],[100.91943128  81.08056872] ; [16.08056872 12.91943128],0
a3,1,0.056757,3.629692,[137  51] ; [18 14],[132.45454545  55.54545455] ; [22.54545455  9.45454545],0
p5,1,0.058642,3.575381,[ 29 157] ; [ 1 31],[ 25.59633028 160.40366972] ; [ 4.40366972 27.59633028],0
p8,1,0.059386,3.554449,[93 91] ; [10 21],[88.14883721 95.85116279] ; [14.85116279 16.14883721],0
p2,1,0.073193,3.209918,[147  37] ; [21 11],[143.11111111  40.88888889] ; [24.88888889  7.11111111],0
b5,1,0.07703,3.126478,[ 80 108] ; [19 13],[ 84.6 103.4] ; [14.4 17.6],0
d3,1,0.106427,2.606495,[ 77 111] ; [18 14],[ 81.18181818 106.81818182] ; [13.81818182 18.18181818],0
u2,1,0.106646,2.603237,[20 30] ; [9 5],[22.65625 27.34375] ; [6.34375 7.65625],0
p11,1,0.121921,2.392466,[147  41] ; [21 11],[143.56363636  44.43636364] ; [24.43636364  7.56363636],0
a8,1,0.144747,2.126751,[ 22 156] ; [ 1 29],[ 19.68269231 158.31730769] ; [ 3.31730769 26.68269231],0
r2,1,0.146852,2.10465,[165  19] ; [25  6],[162.60465116  21.39534884] ; [27.39534884  3.60465116],0
v4,1,0.203413,1.6177,[166  21] ; [25  6],[163.83944954  23.16055046] ; [27.16055046  3.83944954],0
n3,1,0.230563,1.437388,[32 19] ; [6 1],[33.4137931 17.5862069] ; [4.5862069 2.4137931],0
a6,1,0.233994,1.41642,[ 73 115] ; [16 16],[ 76.05454545 111.94545455] ; [12.94545455 19.05454545],0
b4,1,0.301777,1.066326,[99 89] ; [20 12],[101.69090909  86.30909091] ; [17.30909091 14.69090909],0
r1,1,0.360055,0.8377,[132  56] ; [25  7],[134.16363636  53.83636364] ; [22.83636364  9.16363636],0
d2,1,0.379923,0.770951,[97 89] ; [14 18],[94.70642202 91.29357798] ; [16.29357798 15.70642202],0
