Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,36.522539,[28 43] ; [127  32],[47.84782609 23.15217391] ; [107.15217391  51.84782609],1
d3,1,0.0,31.729894,[32 39] ; [130  29],[50.00869565 20.99130435] ; [111.99130435  47.00869565],1
a2,1,0.000272,13.25547,[ 7 64] ; [ 52 108],[18.13419913 52.86580087] ; [ 40.86580087 119.13419913],1
r4,1,0.000501,12.112618,[54 17] ; [148  12],[62.08658009  8.91341991] ; [139.91341991  20.08658009],1
u1,1,0.00118,10.522031,[ 6 65] ; [ 44 116],[15.36796537 55.63203463] ; [ 34.63203463 125.36796537],0
b4,1,0.002125,9.437923,[28 43] ; [98 62],[38.72727273 32.27272727] ; [87.27272727 72.72727273],0
d1,1,0.002457,9.171975,[32 39] ; [106  54],[42.41558442 28.58441558] ; [95.58441558 64.41558442],0
r1,1,0.00576,7.623955,[51 20] ; [139  21],[58.3982684 12.6017316] ; [131.6017316  28.3982684],0
v4,1,0.013054,6.161722,[62  7] ; [156   4],[65.68558952  3.31441048] ; [152.31441048   7.68558952],0
b3,1,0.01907,5.495057,[30 27] ; [38 74],[22.93491124 34.06508876] ; [45.06508876 66.93491124],0
b2,1,0.01907,5.495057,[30 27] ; [38 74],[22.93491124 34.06508876] ; [45.06508876 66.93491124],0
v2,1,0.020063,5.406414,[30 38] ; [95 61],[37.94642857 30.05357143] ; [87.05357143 68.94642857],0
r2,1,0.029657,4.729074,[62  7] ; [154   5],[65.36842105  3.63157895] ; [150.63157895   8.36842105],0
b5,1,0.031066,4.649287,[35 36] ; [103  57],[42.41558442 28.58441558] ; [95.58441558 64.41558442],0
n4,1,0.036559,4.370838,[64  7] ; [126  34],[58.3982684 12.6017316] ; [131.6017316  28.3982684],0
s8,1,0.039926,4.221015,[52 19] ; [94 65],[45.06956522 25.93043478] ; [100.93043478  58.06956522],0
b1,1,0.048737,3.884396,[36 35] ; [ 59 101],[29.1991342 41.8008658] ; [65.8008658 94.1991342],0
a8,1,0.049076,3.872742,[ 7 62] ; [ 30 112],[12.09952607 56.90047393] ; [ 24.90047393 117.09952607],0
n1,1,0.051193,3.801962,[12  7] ; [10 19],[ 8.70833333 10.29166667] ; [13.29166667 15.70833333],0
a3,1,0.06001,3.537121,[61 10] ; [119  40],[55.56521739 15.43478261] ; [124.43478261  34.56521739],0
d4,1,0.079788,3.069208,[54 17] ; [136  23],[58.65217391 12.34782609] ; [131.34782609  27.65217391],0
p2,1,0.148025,2.092481,[54 16] ; [136  24],[57.82608696 12.17391304] ; [132.17391304  27.82608696],0
n5,1,0.179975,1.797831,[60 11] ; [122  37],[56.1826087 14.8173913] ; [125.8173913  33.1826087],0
p4,1,0.209975,1.5716,[40 31] ; [104  56],[44.25974026 26.74025974] ; [99.74025974 60.25974026],0
u3,1,0.212417,1.554878,[5 5] ; [29 12],[6.66666667 3.33333333] ; [27.33333333 13.66666667],0
d2,1,0.213453,1.547849,[33 38] ; [88 71],[37.35217391 33.64782609] ; [83.64782609 75.35217391],0
p7,1,0.216172,1.529601,[41 29] ; [104  51],[45.11111111 24.88888889] ; [99.88888889 55.11111111],0
p8,1,0.218813,1.512139,[31 38] ; [85 73],[35.25991189 33.74008811] ; [80.74008811 77.25991189],0
s6,1,0.330802,0.945756,[49 21] ; [121  38],[51.9650655 18.0349345] ; [118.0349345  40.9650655],0
u2,1,0.382078,0.764007,[5 5] ; [26 14],[6.2 3.8] ; [24.8 15.2],0
n3,1,0.416733,0.659511,[14  6] ; [17 12],[12.65306122  7.34693878] ; [18.34693878 10.65306122],0
d5,1,0.520668,0.41257,[55 16] ; [129  30],[56.8 14.2] ; [127.2  31.8],0
r3,1,0.541833,0.372153,[66  5] ; [151   8],[66.98695652  4.01304348] ; [150.01304348   8.98695652],0
u4,1,0.5723,0.318849,[ 2 69] ; [  7 153],[ 2.76623377 68.23376623] ; [  6.23376623 153.76623377],0
s4,1,0.630735,0.231066,[11 60] ; [ 21 139],[ 9.83549784 61.16450216] ; [ 22.16450216 137.83549784],0
p1,1,0.642394,0.215625,[ 7 63] ; [ 13 147],[ 6.08695652 63.91304348] ; [ 13.91304348 146.08695652],0
p11,1,0.684343,0.165278,[58 13] ; [127  33],[56.86147186 14.13852814] ; [128.13852814  31.86147186],0
s1,1,0.686041,0.163405,[ 4 67] ; [  7 152],[ 3.39565217 67.60434783] ; [  7.60434783 151.39565217],0
v3,1,0.723812,0.124869,[31 38] ; [64 87],[29.79545455 39.20454545] ; [65.20454545 85.79545455],0
a4,1,0.75146,0.100308,[31 40] ; [73 86],[32.10434783 38.89565217] ; [71.89565217 87.10434783],0
p12,1,0.753749,0.098407,[ 4 65] ; [ 11 148],[ 4.53947368 64.46052632] ; [ 10.46052632 148.53947368],0
n6,1,0.759565,0.093668,[61  9] ; [137  23],[60.26086957  9.73913043] ; [137.73913043  22.26086957],0
p3,1,0.784607,0.074704,[38 33] ; [82 77],[37.04347826 33.95652174] ; [82.95652174 76.04347826],0
p6,1,0.788069,0.072264,[25 45] ; [59 98],[25.9030837 44.0969163] ; [58.0969163 98.9030837],0
a5,1,0.793194,0.068731,[53 18] ; [122  38],[53.78787879 17.21212121] ; [121.21212121  38.78787879],0
v1,1,0.825018,0.048883,[36 32] ; [84 70],[36.75675676 31.24324324] ; [83.24324324 70.75675676],0
p10,1,0.842009,0.03973,[58 12] ; [130  29],[57.46724891 12.53275109] ; [130.53275109  28.46724891],0
p9,1,0.859676,0.031254,[60 10] ; [134  24],[59.56140351 10.43859649] ; [134.43859649  23.56140351],0
s2,1,0.865065,0.028876,[43 28] ; [95 65],[42.41558442 28.58441558] ; [95.58441558 64.41558442],0
s3,1,0.870044,0.026766,[47 24] ; [107  52],[47.53913043 23.46086957] ; [106.46086957  52.53913043],0
p5,1,0.889837,0.019185,[ 7 62] ; [ 17 141],[ 7.29515419 61.70484581] ; [ 16.70484581 141.29515419],0
n2,1,0.938446,0.005963,[14  6] ; [20  9],[13.87755102  6.12244898] ; [20.12244898  8.87755102],0
a1,1,0.997863,7e-06,[ 4 67] ; [  9 151],[ 3.995671 67.004329] ; [  9.004329 150.995671],0
