Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-05,19.492089,[20 21] ; [ 9 67],[10.16239316 30.83760684] ; [18.83760684 57.16239316],1
a3,1,0.000452,12.302886,[27 16] ; [23 54],[17.91666667 25.08333333] ; [32.08333333 44.91666667],1
r1,1,0.004474,8.080659,[29 14] ; [32 47],[21.5 21.5] ; [39.5 39.5],0
p11,1,0.007046,7.26126,[34  9] ; [43 36],[27.13934426 15.86065574] ; [49.86065574 29.13934426],0
d1,1,0.008728,6.877725,[19 24] ; [17 62],[12.68852459 30.31147541] ; [23.31147541 55.68852459],0
v1,1,0.012164,6.286816,[19 23] ; [18 60],[12.95 29.05] ; [24.05 53.95],0
d5,1,0.018023,5.593935,[30 13] ; [37 41],[23.80991736 19.19008264] ; [43.19008264 34.80991736],0
n4,1,0.019787,5.430551,[28 15] ; [34 45],[21.85245902 21.14754098] ; [40.14754098 38.85245902],0
s3,1,0.036766,4.36122,[ 6 37] ; [24 53],[10.75 32.25] ; [19.25 57.75],0
d4,1,0.037334,4.335122,[31 11] ; [43 36],[25.68595041 16.31404959] ; [48.31404959 30.68595041],0
b5,1,0.04353,4.074705,[22 21] ; [55 24],[27.13934426 15.86065574] ; [49.86065574 29.13934426],0
p2,1,0.048277,3.900304,[34  9] ; [48 30],[29.14049587 13.85950413] ; [52.85950413 25.14049587],0
p7,1,0.051023,3.807516,[25 17] ; [31 45],[19.93220339 22.06779661] ; [36.06779661 39.93220339],0
r2,1,0.05253,3.758799,[38  4] ; [60 19],[34.01652893  7.98347107] ; [63.98347107 15.01652893],0
r4,1,0.056245,3.644773,[32 11] ; [45 34],[27.13934426 15.86065574] ; [49.86065574 29.13934426],0
v4,1,0.060069,3.53548,[39  4] ; [60 18],[35.18181818  7.81818182] ; [63.81818182 14.18181818],0
d3,1,0.081139,3.041945,[25 18] ; [32 45],[20.425 22.575] ; [36.575 40.425],0
r3,1,0.110706,2.544111,[37  5] ; [60 19],[33.66942149  8.33057851] ; [63.33057851 15.66942149],0
s8,1,0.117407,2.451575,[ 8 35] ; [ 7 72],[ 5.28688525 37.71311475] ; [ 9.71311475 69.28688525],0
n6,1,0.127954,2.317149,[33 10] ; [50 29],[29.25409836 13.74590164] ; [53.74590164 25.25409836],0
a4,1,0.130917,2.281598,[10 33] ; [10 69],[ 7.04918033 35.95081967] ; [12.95081967 66.04918033],0
p6,1,0.147609,2.096785,[13 29] ; [15 63],[ 9.8 32.2] ; [18.2 59.8],0
u1,1,0.248729,1.330429,[ 2 41] ; [ 1 78],[ 1.05737705 41.94262295] ; [ 1.94262295 77.05737705],0
d2,1,0.252633,1.308685,[13 29] ; [17 62],[10.41322314 31.58677686] ; [19.58677686 59.41322314],0
p5,1,0.264857,1.243193,[ 2 41] ; [ 1 75],[ 1.08403361 41.91596639] ; [ 1.91596639 74.08403361],0
a6,1,0.331812,0.941815,[23 20] ; [35 44],[20.44262295 22.55737705] ; [37.55737705 41.44262295],0
s5,1,0.3598,0.838592,[ 6 35] ; [ 7 70],[ 4.51694915 36.48305085] ; [ 8.48305085 68.51694915],0
n1,1,0.461743,0.541667,[5 8] ; [ 7 19],[4. 9.] ; [ 8. 18.],0
n3,1,0.461743,0.541667,[10  3] ; [17  9],[9. 4.] ; [18.  8.],0
b3,1,0.474667,0.511091,[ 9 15] ; [14 34],[ 7.66666667 16.33333333] ; [15.33333333 32.66666667],0
b2,1,0.474667,0.511091,[ 9 15] ; [14 34],[ 7.66666667 16.33333333] ; [15.33333333 32.66666667],0
s2,1,0.591857,0.287454,[ 7 36] ; [16 63],[ 8.10655738 34.89344262] ; [14.89344262 64.10655738],0
a1,1,0.662731,0.190223,[ 1 42] ; [ 3 76],[ 1.40983607 41.59016393] ; [ 2.59016393 76.40983607],0
p8,1,0.668168,0.183752,[16 27] ; [26 52],[14.92561983 28.07438017] ; [27.07438017 50.92561983],0
p9,1,0.696726,0.1519,[28 15] ; [48 30],[27.00826446 15.99173554] ; [48.99173554 29.00826446],0
a7,1,0.742091,0.108297,[25 17] ; [44 34],[24.15 17.85] ; [44.85 33.15],0
p1,1,0.758194,0.094773,[ 4 39] ; [ 6 72],[ 3.55371901 39.44628099] ; [ 6.44628099 71.55371901],0
n2,1,0.760652,0.092796,[8 4] ; [16 10],[7.57894737 4.42105263] ; [16.42105263  9.57894737],0
p3,1,0.78773,0.072501,[11 32] ; [22 57],[11.63114754 31.36885246] ; [21.36885246 57.63114754],0
