Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,56.223435,[46 73] ; [256  79],[79.15859031 39.84140969] ; [222.84140969 112.15859031],1
d3,1,0.0,35.997342,[58 61] ; [262  74],[83.69230769 35.30769231] ; [236.30769231  99.69230769],1
a2,1,6e-06,20.352889,[  8 111] ; [ 89 248],[25.31359649 93.68640351] ; [ 71.68640351 265.31359649],1
b5,1,4.1e-05,16.808964,[48 71] ; [209 128],[67.06798246 51.93201754] ; [189.93201754 147.06798246],1
u1,1,0.000458,12.280095,[  7 112] ; [ 66 271],[19.0504386 99.9495614] ; [ 53.9495614 283.0504386],1
b1,1,0.003219,8.678892,[58 61] ; [113 224],[44.625 74.375] ; [126.375 210.625],0
r2,1,0.005299,7.774325,[104  12] ; [322  12],[109.81333333   6.18666667] ; [316.18666667  17.81333333],0
r1,1,0.012167,6.286417,[90 29] ; [287  48],[98.81718062 20.18281938] ; [278.18281938  56.81718062],0
d5,1,0.014547,5.970512,[87 31] ; [282  54],[95.90748899 22.09251101] ; [273.09251101  62.90748899],0
s8,1,0.018504,5.547795,[70 49] ; [154 179],[58.97345133 60.02654867] ; [165.02654867 167.97345133],0
s4,1,0.01989,5.421558,[28 91] ; [ 47 283],[19.87750557 99.12249443] ; [ 55.12249443 274.87750557],0
d1,1,0.031844,4.606895,[63 56] ; [216 121],[72.80921053 46.19078947] ; [206.19078947 130.80921053],0
u3,1,0.035886,4.402527,[17 25] ; [58 39],[22.6618705 19.3381295] ; [52.3381295 44.6618705],0
n1,1,0.048399,3.896084,[13 10] ; [15 32],[ 9.2 13.8] ; [18.8 28.2],0
r4,1,0.05279,3.750548,[107  12] ; [320  17],[111.43201754   7.56798246] ; [315.56798246  21.43201754],0
d4,1,0.060807,3.515241,[92 26] ; [287  49],[98.50660793 19.49339207] ; [280.49339207  55.50660793],0
p12,1,0.07743,3.118044,[  7 111] ; [ 39 296],[ 11.98233996 106.01766004] ; [ 34.01766004 300.98233996],0
s7,1,0.104298,2.638567,[68 47] ; [161 159],[60.54022989 54.45977011] ; [168.45977011 151.54022989],0
s5,1,0.109775,2.55746,[51 64] ; [116 207],[43.84703196 71.15296804] ; [123.15296804 199.84703196],0
n2,1,0.116178,2.468098,[16  7] ; [41  7],[18.46478873  4.53521127] ; [38.53521127  9.46478873],0
p2,1,0.119552,2.423181,[105  14] ; [311  24],[109.03964758   9.96035242] ; [306.96035242  28.03964758],0
b4,1,0.159739,1.976698,[60 59] ; [195 142],[66.54605263 52.45394737] ; [188.45394737 148.54605263],0
a5,1,0.164882,1.928867,[85 34] ; [262  75],[90.55482456 28.44517544] ; [256.44517544  80.55482456],0
v2,1,0.193779,1.688648,[63 54] ; [198 128],[68.93227991 48.06772009] ; [192.06772009 133.93227991],0
a3,1,0.197479,1.660922,[77 42] ; [238  97],[82.5660793 36.4339207] ; [232.4339207 102.5660793],0
s3,1,0.200769,1.636769,[74 45] ; [184 148],[68.07538803 50.92461197] ; [189.92461197 142.07538803],0
v4,1,0.210562,1.567555,[112   6] ; [326   9],[114.09271523   3.90728477] ; [323.90728477  11.09271523],0
u4,1,0.213256,1.549184,[  5 114] ; [  7 330],[  3.13157895 115.86842105] ; [  8.86842105 328.13157895],0
b2,1,0.223642,1.48085,[32 43] ; [ 68 128],[27.67527675 47.32472325] ; [ 72.32472325 123.67527675],0
b3,1,0.223642,1.48085,[32 43] ; [ 68 128],[27.67527675 47.32472325] ; [ 72.32472325 123.67527675],0
v1,1,0.260631,1.265401,[64 54] ; [198 131],[69.16331096 48.83668904] ; [192.83668904 136.16331096],0
n4,1,0.28284,1.153395,[98 21] ; [261  75],[93.89230769 25.10769231] ; [265.10769231  70.89230769],0
p11,1,0.311284,1.025221,[99 20] ; [293  44],[102.29824561  16.70175439] ; [289.70175439  47.29824561],0
n6,1,0.313273,1.016827,[100  19] ; [292  41],[103.20353982  15.79646018] ; [288.79646018  44.20353982],0
n3,1,0.328565,0.954545,[14  8] ; [36 12],[15.71428571  6.28571429] ; [34.28571429 13.71428571],0
p10,1,0.364172,0.823455,[100  19] ; [290  42],[102.90465632  16.09534368] ; [287.09534368  44.90465632],0
p3,1,0.399974,0.708403,[78 41] ; [205 130],[74.1784141 44.8215859] ; [208.8215859 126.1784141],0
n5,1,0.437328,0.603282,[96 23] ; [258  76],[92.99337748 26.00662252] ; [261.00662252  72.99337748],0
a8,1,0.4376,0.602568,[ 15 100] ; [ 48 250],[17.54237288 97.45762712] ; [ 45.45762712 252.54237288],0
p9,1,0.439456,0.597702,[103  16] ; [297  36],[105.30973451  13.69026549] ; [294.69026549  38.30973451],0
p6,1,0.441312,0.592868,[60 57] ; [157 176],[56.42 60.58] ; [160.58 172.42],0
s1,1,0.573068,0.317576,[  4 115] ; [  8 326],[  3.15231788 115.84768212] ; [  8.84768212 325.15231788],0
p4,1,0.593253,0.285292,[84 35] ; [245  90],[86.23568282 32.76431718] ; [242.76431718  92.23568282],0
p1,1,0.63002,0.232034,[ 12 107] ; [ 39 294],[ 13.42699115 105.57300885] ; [ 37.57300885 295.42699115],0
u2,1,0.729145,0.119898,[22 20] ; [55 44],[22.93617021 19.06382979] ; [54.06382979 44.93617021],0
p5,1,0.806373,0.060078,[21 98] ; [ 56 280],[20.13846154 98.86153846] ; [ 56.86153846 279.13846154],0
d2,1,0.869445,0.027015,[57 62] ; [158 178],[56.23076923 62.76923077] ; [158.76923077 177.23076923],0
s2,1,0.888328,0.019718,[62 57] ; [171 162],[61.34292035 57.65707965] ; [171.65707965 161.34292035],0
v3,1,0.920844,0.009874,[51 68] ; [141 184],[51.45945946 67.54054054] ; [140.54054054 184.45945946],0
p7,1,0.954837,0.003207,[98 21] ; [271  59],[97.79732739 21.20267261] ; [271.20267261  58.79732739],0
a4,1,0.962894,0.002164,[50 69] ; [142 194],[50.21538462 68.78461538] ; [141.78461538 194.21538462],0
s6,1,0.974166,0.001049,[80 34] ; [230  97],[80.13605442 33.86394558] ; [229.86394558  97.13605442],0
a1,1,0.999147,1e-06,[  6 113] ; [ 17 320],[  6.00219298 112.99780702] ; [ 16.99780702 320.00219298],0
