Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,30.424958,[37  6] ; [17 39],[23.45454545 19.54545455] ; [30.54545455 25.45454545],1
s3,1,0.0,29.335371,[35  9] ; [14 42],[21.56 22.44] ; [27.44 28.56],1
v1,1,2.6e-05,17.723827,[26 16] ; [11 44],[16.02061856 25.97938144] ; [20.97938144 34.02061856],1
p9,1,5.1e-05,16.400353,[37  6] ; [25 29],[27.48453608 15.51546392] ; [34.51546392 19.48453608],1
s7,1,0.000233,13.543643,[29 11] ; [18 35],[20.21505376 19.78494624] ; [26.78494624 26.21505376],1
s8,1,0.000365,12.705228,[26 17] ; [14 42],[17.37373737 25.62626263] ; [22.62626263 33.37373737],1
p10,1,0.001308,10.330607,[33 10] ; [25 31],[25.19191919 17.80808081] ; [32.80808081 23.19191919],0
v4,1,0.001908,9.636434,[42  2] ; [40 16],[36.08  7.92] ; [45.92 10.08],0
r3,1,0.003293,8.637606,[42  2] ; [41 15],[36.52  7.48] ; [46.48  9.52],0
p6,1,0.004101,8.238555,[15 28] ; [ 6 49],[ 9.21428571 33.78571429] ; [11.78571429 43.21428571],0
p4,1,0.004976,7.888044,[21 22] ; [12 43],[14.47959184 28.52040816] ; [18.52040816 36.47959184],0
r4,1,0.007627,7.119137,[38  6] ; [35 21],[32.12 11.88] ; [40.88 15.12],0
s5,1,0.018526,5.545759,[16 24] ; [10 45],[10.94736842 29.05263158] ; [15.05263158 39.94736842],0
p11,1,0.051929,3.77804,[29 15] ; [26 30],[24.2 19.8] ; [30.8 25.2],0
p3,1,0.054215,3.706065,[18 25] ; [13 42],[13.60204082 29.39795918] ; [17.39795918 37.60204082],0
u1,1,0.062749,3.463203,[15 29] ; [10 46],[11. 33.] ; [14. 42.],0
n2,1,0.063645,3.439763,[14  5] ; [13 15],[10.91489362  8.08510638] ; [16.08510638 11.91489362],0
s4,1,0.074702,3.176558,[12 32] ; [ 7 47],[ 8.53061224 35.46938776] ; [10.46938776 43.53061224],0
u3,1,0.082735,3.010338,[8 1] ; [7 6],[6.13636364 2.86363636] ; [8.86363636 4.13636364],0
a5,1,0.109042,2.568047,[38  6] ; [41 15],[34.76  9.24] ; [44.24 11.76],0
v2,1,0.119551,2.42319,[25 15] ; [25 29],[21.27659574 18.72340426] ; [28.72340426 25.27659574],0
n3,1,0.137613,2.204453,[13  6] ; [12 14],[10.55555556  8.44444444] ; [14.44444444 11.55555556],0
r2,1,0.138638,2.193007,[43  1] ; [47  5],[41.25  2.75] ; [48.75  3.25],0
p7,1,0.201914,1.628475,[16 26] ; [14 40],[13.125 28.875] ; [16.875 37.125],0
v3,1,0.203321,1.61836,[15 22] ; [15 39],[12.1978022 24.8021978] ; [17.8021978 36.1978022],0
s1,1,0.236198,1.403145,[ 4 39] ; [ 2 54],[ 2.60606061 40.39393939] ; [ 3.39393939 52.60606061],0
p12,1,0.236198,1.403145,[ 4 39] ; [ 2 54],[ 2.60606061 40.39393939] ; [ 3.39393939 52.60606061],0
u4,1,0.248638,1.330939,[ 4 40] ; [ 2 54],[ 2.64 41.36] ; [ 3.36 52.64],0
a4,1,0.306806,1.044377,[30 14] ; [32 23],[27.55555556 16.44444444] ; [34.44444444 20.55555556],0
b5,1,0.311413,1.024673,[28 16] ; [30 26],[25.52 18.48] ; [32.48 23.52],0
r1,1,0.33347,0.935374,[33 11] ; [37 19],[30.8 13.2] ; [39.2 16.8],0
n4,1,0.33347,0.935374,[33 11] ; [37 19],[30.8 13.2] ; [39.2 16.8],0
n6,1,0.400056,0.708158,[33 10] ; [38 17],[31.15306122 11.84693878] ; [39.84693878 15.15306122],0
n5,1,0.439968,0.596365,[30 14] ; [34 22],[28.16 15.84] ; [35.84 20.16],0
u2,1,0.445009,0.583333,[6 3] ; [6 6],[5.14285714 3.85714286] ; [6.85714286 5.14285714],0
b1,1,0.4977,0.459837,[19 25] ; [28 28],[20.68 23.32] ; [26.32 29.68],0
d3,1,0.52793,0.398374,[34  8] ; [48  8],[35.14285714  6.85714286] ; [46.85714286  9.14285714],0
a8,1,0.547226,0.36231,[ 2 40] ; [ 4 47],[ 2.70967742 39.29032258] ; [ 3.29032258 47.70967742],0
a7,1,0.581963,0.303072,[30 14] ; [41 15],[31.24 12.76] ; [39.76 16.24],0
b4,1,0.593276,0.285257,[29 15] ; [34 22],[27.72 16.28] ; [35.28 20.72],0
a3,1,0.740874,0.10936,[35  9] ; [43 13],[34.32  9.68] ; [43.68 12.32],0
d2,1,0.852417,0.034609,[32 10] ; [41 14],[31.60824742 10.39175258] ; [41.39175258 13.60824742],0
a6,1,0.854181,0.033778,[27 15] ; [37 19],[27.42857143 14.57142857] ; [36.57142857 19.42857143],0
p8,1,0.876331,0.024218,[10 34] ; [12 44],[ 9.68 34.32] ; [12.32 43.68],0
n1,1,0.949472,0.004016,[ 9 10] ; [13 15],[ 8.89361702 10.10638298] ; [13.10638298 14.89361702],0
p1,1,0.949635,0.00399,[ 3 41] ; [ 4 52],[ 3.08 40.92] ; [ 3.92 52.08],0
b2,1,0.957441,0.002848,[12 19] ; [16 26],[11.89041096 19.10958904] ; [16.10958904 25.89041096],0
b3,1,0.957441,0.002848,[12 19] ; [16 26],[11.89041096 19.10958904] ; [16.10958904 25.89041096],0
a2,1,0.972439,0.001194,[14 30] ; [18 38],[14.08 29.92] ; [17.92 38.08],0
p5,1,0.973869,0.001073,[ 3 38] ; [ 4 52],[ 2.95876289 38.04123711] ; [ 4.04123711 51.95876289],0
a1,1,0.977536,0.000793,[ 4 40] ; [ 5 51],[ 3.96 40.04] ; [ 5.04 50.96],0
