Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,0.00031,13.008232,[50  9] ; [6 9],[44.64864865 14.35135135] ; [11.35135135  3.64864865],1
a4,1,0.001514,10.06177,[14 45] ; [10  5],[19.13513514 39.86486486] ; [ 4.86486486 10.13513514],0
d2,1,0.005708,7.640278,[20 39] ; [11  4],[24.71621622 34.28378378] ; [6.28378378 8.71621622],0
p8,1,0.01714,5.681941,[36 23] ; [ 4 11],[31.89189189 27.10810811] ; [8.10810811 6.89189189],0
p7,1,0.038743,4.272092,[38 17] ; [6 9],[34.57142857 20.42857143] ; [9.42857143 5.57142857],0
a3,1,0.047608,3.92378,[35 24] ; [13  2],[38.27027027 20.72972973] ; [9.72972973 5.27027027],0
d3,1,0.052793,3.750448,[43 16] ; [7 8],[39.86486486 19.13513514] ; [10.13513514  4.86486486],0
p3,1,0.056441,3.639,[32 27] ; [ 4 11],[28.7027027 30.2972973] ; [7.2972973 7.7027027],0
v3,1,0.060332,3.528242,[19 37] ; [ 1 12],[16.23188406 39.76811594] ; [3.76811594 9.23188406],0
v1,1,0.146793,2.105263,[26 31] ; [10  5],[28.5 28.5] ; [7.5 7.5],0
a6,1,0.187204,1.739488,[42 17] ; [8 7],[39.86486486 19.13513514] ; [10.13513514  4.86486486],0
n1,1,0.233762,1.417824,[ 5 11] ; [5 4],[6.4 9.6] ; [3.6 5.4],0
b1,1,0.258403,1.277295,[22 37] ; [8 7],[23.91891892 35.08108108] ; [6.08108108 8.91891892],0
a1,1,0.289023,1.124168,[ 1 58] ; [ 1 14],[ 1.59459459 57.40540541] ; [ 0.40540541 14.59459459],0
u4,1,0.289023,1.124168,[ 1 58] ; [ 1 14],[ 1.59459459 57.40540541] ; [ 0.40540541 14.59459459],0
s5,1,0.310957,1.026605,[24 33] ; [8 6],[25.69014085 31.30985915] ; [6.30985915 7.69014085],0
n5,1,0.314488,1.011733,[23 36] ; [8 7],[24.71621622 34.28378378] ; [6.28378378 8.71621622],0
p9,1,0.363414,0.826061,[51  7] ; [11  3],[49.94444444  8.05555556] ; [12.05555556  1.94444444],0
a5,1,0.37627,0.782852,[36 23] ; [11  4],[37.47297297 21.52702703] ; [9.52702703 5.47297297],0
b3,1,0.38037,0.769504,[14 15] ; [4 8],[12.73170732 16.26829268] ; [5.26829268 6.73170732],0
b2,1,0.38037,0.769504,[14 15] ; [4 8],[12.73170732 16.26829268] ; [5.26829268 6.73170732],0
a2,1,0.390875,0.736217,[10 49] ; [ 4 11],[11.16216216 47.83783784] ; [ 2.83783784 12.16216216],0
s7,1,0.449436,0.572073,[37 19] ; [10  3],[38.14492754 17.85507246] ; [8.85507246 4.14492754],0
d1,1,0.452931,0.563307,[29 30] ; [9 6],[30.2972973 28.7027027] ; [7.7027027 7.2972973],0
r4,1,0.465829,0.531854,[51  8] ; [14  1],[51.82432432  7.17567568] ; [13.17567568  1.82432432],0
p6,1,0.483187,0.491661,[18 41] ; [6 9],[19.13513514 39.86486486] ; [ 4.86486486 10.13513514],0
s2,1,0.492511,0.471036,[42 17] ; [12  3],[43.05405405 15.94594595] ; [10.94594595  4.05405405],0
n2,1,0.529233,0.395865,[11  5] ; [8 2],[11.69230769  4.30769231] ; [7.30769231 2.69230769],0
r1,1,0.537942,0.379368,[44 15] ; [10  5],[43.05405405 15.94594595] ; [10.94594595  4.05405405],0
n3,1,0.648206,0.20817,[11  5] ; [6 4],[10.46153846  5.53846154] ; [6.53846154 3.46153846],0
d4,1,0.703307,0.145055,[46 13] ; [11  4],[45.44594595 13.55405405] ; [11.55405405  3.44594595],0
p11,1,0.732372,0.116945,[42 17] ; [10  5],[41.45945946 17.54054054] ; [10.54054054  4.45945946],0
s4,1,0.732372,0.116945,[17 42] ; [ 5 10],[17.54054054 41.45945946] ; [ 4.45945946 10.54054054],0
b5,1,0.751565,0.10022,[38 21] ; [9 6],[37.47297297 21.52702703] ; [9.52702703 5.47297297],0
p12,1,0.760972,0.09254,[ 3 56] ; [ 1 13],[ 3.23287671 55.76712329] ; [ 0.76712329 13.23287671],0
p4,1,0.764384,0.089837,[34 25] ; [8 7],[33.48648649 25.51351351] ; [8.51351351 6.48648649],0
p10,1,0.789979,0.070936,[48 10] ; [12  2],[48.33333333  9.66666667] ; [11.66666667  2.33333333],0
v2,1,0.803344,0.062012,[27 27] ; [7 6],[27.40298507 26.59701493] ; [6.59701493 6.40298507],0
s6,1,0.808986,0.058436,[49 10] ; [12  2],[49.30136986  9.69863014] ; [11.69863014  2.30136986],0
a8,1,0.817351,0.05334,[ 5 50] ; [ 1 13],[ 4.7826087 50.2173913] ; [ 1.2173913 12.7826087],0
n6,1,0.88322,0.021576,[36 22] ; [9 6],[35.75342466 22.24657534] ; [9.24657534 5.75342466],0
b4,1,0.961912,0.00228,[35 24] ; [9 6],[35.08108108 23.91891892] ; [8.91891892 6.08108108],0
p1,1,0.963181,0.002131,[ 8 50] ; [ 2 13],[ 7.94520548 50.05479452] ; [ 2.05479452 12.94520548],0
s3,1,0.971924,0.001239,[43 16] ; [11  4],[43.05405405 15.94594595] ; [10.94594595  4.05405405],0
