Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.0,25.817193,[ 26 215] ; [7 4],[ 31.55952381 209.44047619] ; [1.44047619 9.55952381],1
p1,1,0.000168,14.163749,[ 15 232] ; [4 7],[ 18.18992248 228.81007752] ; [ 0.81007752 10.18992248],1
v3,1,0.000374,12.656455,[ 82 155] ; [9 1],[ 87.31578947 149.68421053] ; [3.68421053 6.31578947],1
p12,1,0.00125,10.415673,[  5 242] ; [2 9],[  6.70155039 240.29844961] ; [ 0.29844961 10.70155039],0
v1,1,0.002094,9.465364,[107 138] ; [10  1],[111.97265625 133.02734375] ; [5.02734375 5.97265625],0
s8,1,0.004192,8.198809,[ 47 201] ; [6 5],[ 50.74903475 197.25096525] ; [2.25096525 8.74903475],0
p3,1,0.00724,7.21249,[101 146] ; [9 2],[105.31007752 141.68992248] ; [4.68992248 6.31007752],0
p4,1,0.015758,5.829707,[110 136] ; [9 2],[113.90661479 132.09338521] ; [5.09338521 5.90661479],0
b5,1,0.028373,4.805234,[150  98] ; [3 8],[146.5019305 101.4980695] ; [6.4980695 4.5019305],0
a3,1,0.108229,2.579888,[168  79] ; [10  1],[170.41085271  76.58914729] ; [7.58914729 3.41085271],0
a5,1,0.109821,2.556793,[169  79] ; [10  1],[171.3976834  76.6023166] ; [7.6023166 3.3976834],0
p7,1,0.123768,2.368981,[144 102] ; [9 2],[146.45136187  99.54863813] ; [6.54863813 4.45136187],0
b3,1,0.167074,1.909,[55 90] ; [6 4],[57.06451613 87.93548387] ; [3.93548387 6.06451613],0
b2,1,0.167074,1.909,[55 90] ; [6 4],[57.06451613 87.93548387] ; [3.93548387 6.06451613],0
s3,1,0.181959,1.781548,[ 67 179] ; [ 1 10],[ 65.08949416 180.91050584] ; [2.91050584 8.08949416],0
r2,1,0.184827,1.758378,[240   6] ; [10  1],[239.29961089   6.70038911] ; [10.70038911  0.29961089],0
s7,1,0.224682,1.474217,[ 49 185] ; [4 7],[ 50.62040816 183.37959184] ; [2.37959184 8.62040816],0
p8,1,0.254814,1.296717,[113 132] ; [7 4],[114.84375 130.15625] ; [5.15625 5.84375],0
n6,1,0.290637,1.11667,[192  56] ; [10  1],[193.42084942  54.57915058] ; [8.57915058 2.42084942],0
r1,1,0.392187,0.73215,[199  48] ; [10  1],[200.08914729  46.91085271] ; [8.91085271 2.08914729],0
s2,1,0.404376,0.695275,[ 47 199] ; [ 1 10],[ 45.94552529 200.05447471] ; [2.05447471 8.94552529],0
a2,1,0.441967,0.591169,[ 45 203] ; [ 1 10],[ 44.04633205 203.95366795] ; [1.95366795 9.04633205],0
d1,1,0.481791,0.494806,[131 117] ; [7 4],[132.13899614 115.86100386] ; [5.86100386 5.13899614],0
d2,1,0.496479,0.462455,[109 138] ; [6 5],[110.09689922 136.90310078] ; [4.90310078 6.09689922],0
a7,1,0.502057,0.450586,[180  67] ; [7 4],[179.02713178  67.97286822] ; [7.97286822 3.02713178],0
b4,1,0.540849,0.373968,[136 112] ; [5 6],[135.01158301 112.98841699] ; [5.98841699 5.01158301],0
a6,1,0.579962,0.306296,[177  71] ; [7 4],[176.18532819  71.81467181] ; [7.81467181 3.18532819],0
n5,1,0.600123,0.27481,[160  86] ; [8 3],[160.80933852  85.19066148] ; [7.19066148 3.80933852],0
d5,1,0.683922,0.165744,[189  58] ; [9 2],[189.55813953  57.44186047] ; [8.44186047 2.55813953],0
d4,1,0.749302,0.102119,[192  55] ; [9 2],[192.43023256  54.56976744] ; [8.56976744 2.43023256],0
a4,1,0.796273,0.066653,[103 145] ; [5 6],[103.41312741 144.58687259] ; [4.58687259 6.41312741],0
d3,1,0.849715,0.035904,[164  83] ; [7 4],[163.70930233  83.29069767] ; [7.29069767 3.70930233],0
a8,1,0.852199,0.034713,[ 27 199] ; [1 9],[ 26.81355932 199.18644068] ; [1.18644068 8.81355932],0
p6,1,0.986975,0.000267,[ 66 178] ; [3 8],[ 66.02352941 177.97647059] ; [2.97647059 8.02352941],0
n4,1,0.991488,0.000114,[180  68] ; [8 3],[180.01544402  67.98455598] ; [7.98455598 3.01544402],0
b1,1,0.996052,2.4e-05,[ 90 158] ; [4 7],[ 90.00772201 157.99227799] ; [3.99227799 7.00772201],0
