Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.019532,5.453259,[5 2] ; [ 6 19],[2.40625 4.59375] ; [ 8.59375 16.40625],0
a5,1,0.032509,4.571429,[6 1] ; [10 15],[3.5 3.5] ; [12.5 12.5],0
a2,1,0.048683,3.88624,[2 5] ; [ 1 24],[0.65625 6.34375] ; [ 2.34375 22.65625],0
b3,1,0.052261,3.767399,[2 1] ; [ 2 12],[0.70588235 2.29411765] ; [ 3.29411765 10.70588235],0
b2,1,0.052261,3.767399,[2 1] ; [ 2 12],[0.70588235 2.29411765] ; [ 3.29411765 10.70588235],0
d2,1,0.053372,3.732229,[4 3] ; [ 5 20],[1.96875 5.03125] ; [ 7.03125 17.96875],0
a4,1,0.053372,3.732229,[4 3] ; [ 5 20],[1.96875 5.03125] ; [ 7.03125 17.96875],0
d1,1,0.053372,3.732229,[4 3] ; [ 5 20],[1.96875 5.03125] ; [ 7.03125 17.96875],0
a6,1,0.075425,3.160816,[6 1] ; [12 13],[3.9375 3.0625] ; [14.0625 10.9375],0
a7,1,0.075425,3.160816,[6 1] ; [12 13],[3.9375 3.0625] ; [14.0625 10.9375],0
p11,1,0.075425,3.160816,[6 1] ; [12 13],[3.9375 3.0625] ; [14.0625 10.9375],0
d5,1,0.094896,2.789297,[5 2] ; [ 9 16],[3.0625 3.9375] ; [10.9375 14.0625],0
v3,1,0.145775,2.115918,[2 5] ; [ 2 23],[0.875 6.125] ; [ 3.125 21.875],0
d3,1,0.151191,2.06019,[6 1] ; [14 11],[4.375 2.625] ; [15.625  9.375],0
b4,1,0.199543,1.645714,[2 5] ; [14 11],[3.5 3.5] ; [12.5 12.5],0
v4,1,0.205483,1.602968,[6 1] ; [15 10],[4.59375 2.40625] ; [16.40625  8.59375],0
b1,1,0.27328,1.200208,[6 1] ; [16  9],[4.8125 2.1875] ; [17.1875  7.8125],0
d4,1,0.27328,1.200208,[6 1] ; [16  9],[4.8125 2.1875] ; [17.1875  7.8125],0
n2,1,0.312132,1.021635,[3 1] ; [6 7],[2.11764706 1.88235294] ; [6.88235294 6.11764706],0
n5,1,0.314069,1.013488,[4 3] ; [ 9 16],[2.84375 4.15625] ; [10.15625 14.84375],0
p2,1,0.314069,1.013488,[3 4] ; [16  9],[4.15625 2.84375] ; [14.84375 10.15625],0
b5,1,0.314069,1.013488,[3 4] ; [16  9],[4.15625 2.84375] ; [14.84375 10.15625],0
p1,1,0.320372,0.987429,[1 6] ; [ 1 24],[0.4375 6.5625] ; [ 1.5625 23.4375],0
s1,1,0.320372,0.987429,[1 6] ; [ 1 24],[0.4375 6.5625] ; [ 1.5625 23.4375],0
p12,1,0.320372,0.987429,[1 6] ; [ 1 24],[0.4375 6.5625] ; [ 1.5625 23.4375],0
p6,1,0.334505,0.931378,[2 4] ; [ 4 21],[1.16129032 4.83870968] ; [ 4.83870968 20.16129032],0
s6,1,0.453508,0.56187,[3 4] ; [ 7 18],[2.1875 4.8125] ; [ 7.8125 17.1875],0
r1,1,0.453508,0.56187,[3 4] ; [ 7 18],[2.1875 4.8125] ; [ 7.8125 17.1875],0
s7,1,0.554492,0.349332,[2 5] ; [ 4 18],[1.44827586 5.55172414] ; [ 4.55172414 17.44827586],0
r3,1,0.580912,0.304762,[5 2] ; [15 10],[4.375 2.625] ; [15.625  9.375],0
p9,1,0.598309,0.277555,[3 4] ; [13 11],[3.61290323 3.38709677] ; [12.38709677 11.61290323],0
r4,1,0.627766,0.235102,[2 5] ; [ 5 20],[1.53125 5.46875] ; [ 5.46875 19.53125],0
s2,1,0.627766,0.235102,[2 5] ; [ 5 20],[1.53125 5.46875] ; [ 5.46875 19.53125],0
a8,1,0.639291,0.219671,[1 6] ; [ 2 22],[0.67741935 6.32258065] ; [ 2.32258065 21.67741935],0
p5,1,0.639291,0.219671,[1 6] ; [ 2 22],[0.67741935 6.32258065] ; [ 2.32258065 21.67741935],0
p10,1,0.668929,0.182857,[4 3] ; [12 13],[3.5 3.5] ; [12.5 12.5],0
p8,1,0.797923,0.065555,[3 4] ; [ 9 15],[2.70967742 4.29032258] ; [ 9.29032258 14.70967742],0
s3,1,0.804997,0.060952,[2 5] ; [ 6 19],[1.75 5.25] ; [ 6.25 18.75],0
n6,1,0.80955,0.058084,[3 4] ; [12 13],[3.28125 3.71875] ; [11.71875 13.28125],0
p7,1,0.80955,0.058084,[3 4] ; [12 13],[3.28125 3.71875] ; [11.71875 13.28125],0
p3,1,0.852765,0.034444,[1 5] ; [ 5 20],[1.16129032 4.83870968] ; [ 4.83870968 20.16129032],0
p4,1,0.891787,0.018508,[3 4] ; [10 15],[2.84375 4.15625] ; [10.15625 14.84375],0
n3,1,0.892795,0.018162,[2 2] ; [7 6],[2.11764706 1.88235294] ; [6.88235294 6.11764706],0
