Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1e-06,23.640023,[14 71] ; [16  8],[23.39449541 61.60550459] ; [ 6.60550459 17.39449541],1
s6,1,3.6e-05,17.096895,[41 43] ; [23  1],[49.77777778 34.22222222] ; [14.22222222  9.77777778],1
p4,1,0.000196,13.871338,[23 61] ; [16  7],[30.61682243 53.38317757] ; [ 8.38317757 14.61682243],1
s5,1,0.000599,11.779537,[16 64] ; [13 10],[22.52427184 57.47572816] ; [ 6.47572816 16.52427184],1
p7,1,0.00226,9.325276,[23 58] ; [15  9],[29.31428571 51.68571429] ; [ 8.68571429 15.31428571],0
p5,1,0.008163,6.997367,[ 5 76] ; [ 6 18],[ 8.48571429 72.51428571] ; [ 2.51428571 21.48571429],0
v1,1,0.018978,5.503574,[32 49] ; [16  8],[37.02857143 43.97142857] ; [10.97142857 13.02857143],0
s2,1,0.026231,4.940712,[34 49] ; [16  8],[38.78504673 44.21495327] ; [11.21495327 12.78504673],0
u3,1,0.03994,4.220438,[19 16] ; [9 1],[21.77777778 13.22222222] ; [6.22222222 3.77777778],0
s8,1,0.045705,3.992447,[32 53] ; [14  9],[36.2037037 48.7962963] ; [ 9.7962963 13.2037037],0
p9,1,0.072041,3.235892,[58 26] ; [21  3],[61.44444444 22.55555556] ; [17.55555556  6.44444444],0
p12,1,0.081644,3.031863,[ 7 78] ; [ 5 19],[ 9.35779817 75.64220183] ; [ 2.64220183 21.35779817],0
p1,1,0.090053,2.87342,[ 5 80] ; [ 4 20],[ 7.01834862 77.98165138] ; [ 1.98165138 22.01834862],0
a2,1,0.099374,2.715556,[15 70] ; [ 1 23],[12.47706422 72.52293578] ; [ 3.52293578 20.47706422],0
s7,1,0.122911,2.379829,[32 51] ; [13 10],[35.23584906 47.76415094] ; [ 9.76415094 13.23584906],0
u2,1,0.168551,1.895784,[19 15] ; [8 2],[20.86363636 13.13636364] ; [6.13636364 3.86363636],0
p3,1,0.187342,1.738398,[28 57] ; [11 12],[30.69444444 54.30555556] ; [ 8.30555556 14.69444444],0
n3,1,0.216086,1.530179,[20  9] ; [1 2],[19.03125  9.96875] ; [1.96875 1.03125],0
b4,1,0.250909,1.318238,[53 32] ; [18  6],[55.36697248 29.63302752] ; [15.63302752  8.36697248],0
r2,1,0.268998,1.22185,[74 10] ; [23  1],[75.44444444  8.55555556] ; [21.55555556  2.44444444],0
v2,1,0.306706,1.044806,[39 40] ; [13  8],[41.08 37.92] ; [10.92 10.08],0
u1,1,0.319868,0.989486,[14 71] ; [ 2 22],[12.47706422 72.52293578] ; [ 3.52293578 20.47706422],0
r4,1,0.319868,0.989486,[71 14] ; [22  2],[72.52293578 12.47706422] ; [20.47706422  3.52293578],0
r1,1,0.321258,0.983818,[62 23] ; [15  9],[60.04587156 24.95412844] ; [16.95412844  7.04587156],0
p10,1,0.349554,0.875077,[59 26] ; [19  5],[60.82568807 24.17431193] ; [17.17431193  6.82568807],0
a8,1,0.385973,0.751591,[ 6 76] ; [ 3 20],[ 7.02857143 74.97142857] ; [ 1.97142857 21.02857143],0
v3,1,0.414219,0.666659,[27 52] ; [10 13],[28.65686275 50.34313725] ; [ 8.34313725 14.65686275],0
r3,1,0.491406,0.473447,[81  4] ; [22  2],[80.32110092  4.67889908] ; [22.67889908  1.32110092],0
