Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,2.5e-05,17.770322,[21  7] ; [ 9 30],[12.53731343 15.46268657] ; [17.46268657 21.53731343],1
s2,1,0.000922,10.978577,[18 10] ; [11 33],[11.27777778 16.72222222] ; [17.72222222 26.27777778],1
s3,1,0.009147,6.793842,[19  9] ; [16 28],[13.61111111 14.38888889] ; [21.38888889 22.61111111],0
d2,1,0.071823,3.24085,[ 9 20] ; [ 6 38],[ 5.95890411 23.04109589] ; [ 9.04109589 34.95890411],0
s5,1,0.082012,3.024575,[11 17] ; [ 9 35],[ 7.77777778 20.22222222] ; [12.22222222 31.77777778],0
n1,1,0.087375,2.922078,[4 2] ; [3 9],[2.33333333 3.66666667] ; [4.66666667 7.33333333],0
s6,1,0.089549,2.882466,[20  8] ; [22 21],[16.56338028 11.43661972] ; [25.43661972 17.56338028],0
u3,1,0.11415,2.495798,[8 4] ; [ 8 13],[5.81818182 6.18181818] ; [10.18181818 10.81818182],0
b2,1,0.144735,2.126885,[ 9 14] ; [ 4 17],[ 6.79545455 16.20454545] ; [ 6.20454545 14.79545455],0
b3,1,0.144735,2.126885,[ 9 14] ; [ 4 17],[ 6.79545455 16.20454545] ; [ 6.20454545 14.79545455],0
a8,1,0.148076,2.091963,[ 4 23] ; [ 2 40],[ 2.34782609 24.65217391] ; [ 3.65217391 38.34782609],0
a4,1,0.149581,2.076521,[ 7 22] ; [ 5 39],[ 4.76712329 24.23287671] ; [ 7.23287671 36.76712329],0
p7,1,0.196933,1.664977,[22  7] ; [27 17],[19.46575342  9.53424658] ; [29.53424658 14.46575342],0
p10,1,0.246207,1.344699,[25  4] ; [33 11],[23.04109589  5.95890411] ; [34.95890411  9.04109589],0
n5,1,0.295953,1.09234,[24  5] ; [31 12],[22.15277778  6.84722222] ; [32.84722222 10.15277778],0
n4,1,0.296851,1.088286,[23  6] ; [30 14],[21.05479452  7.94520548] ; [31.94520548 12.05479452],0
b5,1,0.310659,1.027874,[18 11] ; [22 22],[15.89041096 13.10958904] ; [24.10958904 19.89041096],0
v4,1,0.31547,1.007637,[25  3] ; [42  2],[26.05555556  1.94444444] ; [40.94444444  3.05555556],0
d3,1,0.330273,0.947827,[ 8 21] ; [17 27],[ 9.93150685 19.06849315] ; [15.06849315 28.93150685],0
p12,1,0.350324,0.872285,[ 1 28] ; [ 4 40],[ 1.98630137 27.01369863] ; [ 3.01369863 40.98630137],0
r4,1,0.359724,0.838857,[26  3] ; [36  8],[24.63013699  4.36986301] ; [37.36986301  6.63013699],0
v1,1,0.413783,0.667904,[18 10] ; [24 20],[16.33333333 11.66666667] ; [25.66666667 18.33333333],0
a5,1,0.457332,0.552418,[19 10] ; [25 19],[17.47945205 11.52054795] ; [26.52054795 17.47945205],0
d5,1,0.474014,0.512604,[15 14] ; [19 25],[13.50684932 15.49315068] ; [20.49315068 23.50684932],0
s4,1,0.529126,0.396069,[ 4 25] ; [ 4 40],[ 3.17808219 25.82191781] ; [ 4.82191781 39.17808219],0
p1,1,0.529126,0.396069,[ 4 25] ; [ 4 40],[ 3.17808219 25.82191781] ; [ 4.82191781 39.17808219],0
r3,1,0.535861,0.383266,[28  1] ; [41  3],[27.4109589  1.5890411] ; [41.5890411  2.4109589],0
p2,1,0.570278,0.322217,[24  5] ; [34 10],[23.04109589  5.95890411] ; [34.95890411  9.04109589],0
a2,1,0.591386,0.288185,[ 3 26] ; [ 3 41],[ 2.38356164 26.61643836] ; [ 3.61643836 40.38356164],0
a3,1,0.593858,0.28436,[17 12] ; [23 21],[15.89041096 13.10958904] ; [24.10958904 19.89041096],0
p3,1,0.599801,0.275296,[14 15] ; [24 20],[15.09589041 13.90410959] ; [22.90410959 21.09589041],0
p8,1,0.665112,0.187374,[16 13] ; [22 22],[15.09589041 13.90410959] ; [22.90410959 21.09589041],0
r1,1,0.669843,0.181786,[23  6] ; [33 11],[22.24657534  6.75342466] ; [33.75342466 10.24657534],0
u2,1,0.691801,0.157143,[6 6] ; [ 9 12],[5.45454545 6.54545455] ; [ 9.54545455 11.45454545],0
p11,1,0.709706,0.138571,[22  7] ; [35  9],[22.64383562  6.35616438] ; [34.35616438  9.64383562],0
a6,1,0.719065,0.12939,[19 10] ; [27 17],[18.2739726 10.7260274] ; [27.7260274 16.2739726],0
n6,1,0.732941,0.116429,[24  5] ; [35  9],[23.43835616  5.56164384] ; [35.56164384  8.43835616],0
p4,1,0.799152,0.064742,[18 11] ; [26 18],[17.47945205 11.52054795] ; [26.52054795 17.47945205],0
b4,1,0.813072,0.055916,[15 14] ; [24 20],[15.49315068 13.50684932] ; [23.50684932 20.49315068],0
p6,1,0.814707,0.054923,[12 17] ; [17 27],[11.52054795 17.47945205] ; [17.47945205 26.52054795],0
p9,1,0.880536,0.022587,[24  5] ; [37  7],[24.23287671  4.76712329] ; [36.76712329  7.23287671],0
v3,1,0.885358,0.020788,[15 14] ; [22 22],[14.69863014 14.30136986] ; [22.30136986 21.69863014],0
p5,1,0.891539,0.018593,[ 3 26] ; [ 5 39],[ 3.17808219 25.82191781] ; [ 4.82191781 39.17808219],0
a7,1,0.94377,0.004975,[20  9] ; [30 14],[19.8630137  9.1369863] ; [30.1369863 13.8630137],0
r2,1,0.957866,0.002791,[26  2] ; [41  3],[26.05555556  1.94444444] ; [40.94444444  3.05555556],0
b1,1,0.968127,0.001597,[12 17] ; [18 26],[11.91780822 17.08219178] ; [18.08219178 25.91780822],0
