Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.001233,10.439894,[32 11] ; [ 5 12],[26.51666667 16.48333333] ; [10.48333333  6.51666667],0
a6,1,0.019525,5.453879,[27 16] ; [ 5 12],[22.93333333 20.06666667] ; [9.06666667 7.93333333],0
a7,1,0.035674,4.4126,[28 15] ; [ 6 11],[24.36666667 18.63333333] ; [9.63333333 7.36666667],0
v2,1,0.036451,4.375903,[26 16] ; [ 5 11],[22.44827586 19.55172414] ; [8.55172414 7.44827586],0
d1,1,0.053708,3.721759,[27 16] ; [ 6 11],[23.65 19.35] ; [9.35 7.65],0
s2,1,0.063152,3.452608,[26 16] ; [ 6 11],[22.77966102 19.22033898] ; [9.22033898 7.77966102],0
a4,1,0.065162,3.40086,[24 19] ; [ 5 12],[20.78333333 22.21666667] ; [8.21666667 8.78333333],0
d5,1,0.068837,3.310534,[35  8] ; [10  7],[32.25 10.75] ; [12.75  4.25],0
r2,1,0.071898,3.239147,[40  3] ; [13  4],[37.98333333  5.01666667] ; [15.01666667  1.98333333],0
s5,1,0.07306,3.212897,[17 25] ; [ 2 12],[14.25 27.75] ; [4.75 9.25],0
s4,1,0.07924,3.080425,[11 31] ; [ 1 16],[ 8.54237288 33.45762712] ; [ 3.45762712 13.54237288],0
u2,1,0.096401,2.764103,[4 6] ; [9 3],[5.90909091 4.09090909] ; [7.09090909 4.90909091],0
d2,1,0.110554,2.546286,[25 18] ; [ 6 11],[22.21666667 20.78333333] ; [8.78333333 8.21666667],0
s7,1,0.145825,2.115385,[18 21] ; [ 4 12],[15.6 23.4] ; [6.4 9.6],0
b5,1,0.17122,1.872226,[22 21] ; [12  5],[24.36666667 18.63333333] ; [9.63333333 7.36666667],0
s1,1,0.183466,1.76932,[ 3 40] ; [ 3 13],[ 4.37288136 38.62711864] ; [ 1.62711864 14.37288136],0
s6,1,0.25754,1.281932,[31 11] ; [10  7],[29.18644068 12.81355932] ; [11.81355932  5.18644068],0
p8,1,0.262387,1.256121,[19 23] ; [ 5 12],[17.08474576 24.91525424] ; [ 6.91525424 10.08474576],0
n5,1,0.293573,1.103162,[29 14] ; [9 8],[27.23333333 15.76666667] ; [10.76666667  6.23333333],0
u3,1,0.303552,1.058523,[6 5] ; [9 3],[7.17391304 3.82608696] ; [7.82608696 4.17391304],0
p11,1,0.311102,1.025992,[27 16] ; [13  4],[28.66666667 14.33333333] ; [11.33333333  5.66666667],0
b2,1,0.31125,1.025365,[13 19] ; [2 7],[11.70731707 20.29268293] ; [3.29268293 5.70731707],0
b3,1,0.31125,1.025365,[13 19] ; [2 7],[11.70731707 20.29268293] ; [3.29268293 5.70731707],0
p3,1,0.345009,0.891731,[26 17] ; [8 9],[24.36666667 18.63333333] ; [9.63333333 7.36666667],0
a8,1,0.360356,0.836654,[ 2 38] ; [ 2 15],[ 2.80701754 37.19298246] ; [ 1.19298246 15.80701754],0
v4,1,0.380177,0.77013,[37  6] ; [16  1],[37.98333333  5.01666667] ; [15.01666667  1.98333333],0
n6,1,0.384367,0.756687,[34  8] ; [12  5],[32.74576271  9.25423729] ; [13.25423729  3.74576271],0
p9,1,0.394229,0.72586,[28 15] ; [13  4],[29.38333333 13.61666667] ; [11.61666667  5.38333333],0
d3,1,0.436903,0.604402,[25 18] ; [8 9],[23.65 19.35] ; [9.35 7.65],0
v3,1,0.487533,0.481967,[15 26] ; [ 4 11],[13.91071429 27.08928571] ; [5.08928571 9.91071429],0
r1,1,0.573663,0.316592,[31 12] ; [11  6],[30.1 12.9] ; [11.9  5.1],0
v1,1,0.582778,0.301765,[18 22] ; [9 8],[18.94736842 21.05263158] ; [8.05263158 8.94736842],0
n4,1,0.639896,0.218878,[25 18] ; [11  6],[25.8 17.2] ; [10.2  6.8],0
a1,1,0.665809,0.186544,[ 4 39] ; [ 1 16],[ 3.58333333 39.41666667] ; [ 1.41666667 15.58333333],0
b4,1,0.714243,0.134075,[25 18] ; [9 8],[24.36666667 18.63333333] ; [9.63333333 7.36666667],0
p6,1,0.721464,0.127095,[14 29] ; [ 6 10],[14.57627119 28.42372881] ; [ 5.42372881 10.57627119],0
d4,1,0.762397,0.091407,[32 11] ; [12  5],[31.53333333 11.46666667] ; [12.46666667  4.53333333],0
s3,1,0.774499,0.082079,[22 21] ; [8 9],[21.5 21.5] ; [8.5 8.5],0
n1,1,0.799846,0.064286,[6 8] ; [2 2],[6.22222222 7.77777778] ; [1.77777778 2.22222222],0
p7,1,0.811453,0.056907,[20 23] ; [8 8],[20.40677966 22.59322034] ; [7.59322034 8.40677966],0
s8,1,0.840263,0.040625,[19 24] ; [8 9],[19.35 23.65] ; [7.65 9.35],0
b1,1,0.840263,0.040625,[19 24] ; [8 9],[19.35 23.65] ; [7.65 9.35],0
p10,1,0.889671,0.019243,[27 16] ; [11  6],[27.23333333 15.76666667] ; [10.76666667  6.23333333],0
r4,1,0.898051,0.016416,[36  7] ; [14  3],[35.83333333  7.16666667] ; [14.16666667  2.83333333],0
p5,1,0.909196,0.013008,[ 5 36] ; [ 2 13],[ 5.125 35.875] ; [ 1.875 13.125],0
n2,1,0.946375,0.004524,[11  4] ; [3 1],[11.05263158  3.94736842] ; [2.94736842 1.05263158],0
n3,1,0.946375,0.004524,[11  4] ; [3 1],[11.05263158  3.94736842] ; [2.94736842 1.05263158],0
