Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,1.2e-05,19.135295,[47 12] ; [ 7 17],[38.38554217 20.61445783] ; [15.61445783  8.38554217],1
r4,1,0.000119,14.807836,[55  4] ; [14 10],[49.04819277  9.95180723] ; [19.95180723  4.04819277],1
v1,1,0.001109,10.635697,[38 21] ; [ 6 18],[31.27710843 27.72289157] ; [12.72289157 11.27710843],0
d1,1,0.005501,7.70699,[37 22] ; [ 7 17],[31.27710843 27.72289157] ; [12.72289157 11.27710843],0
p7,1,0.010286,6.584619,[51  8] ; [14  9],[46.76829268 12.23170732] ; [18.23170732  4.76829268],0
v2,1,0.011806,6.339734,[38 20] ; [ 8 15],[32.9382716 25.0617284] ; [13.0617284  9.9382716],0
v3,1,0.017977,5.598423,[28 29] ; [ 5 19],[23.22222222 33.77777778] ; [ 9.77777778 14.22222222],0
s4,1,0.020784,5.344799,[ 4 55] ; [ 6 18],[ 7.10843373 51.89156627] ; [ 2.89156627 21.10843373],0
n6,1,0.021193,5.310823,[52  7] ; [16  8],[48.3373494 10.6626506] ; [19.6626506  4.3373494],0
r3,1,0.027515,4.858177,[56  3] ; [19  5],[53.31325301  5.68674699] ; [21.68674699  2.31325301],0
r2,1,0.028728,4.783837,[57  2] ; [19  4],[54.68292683  4.31707317] ; [21.31707317  1.68292683],0
d4,1,0.030141,4.701229,[46 13] ; [13 11],[41.93975904 17.06024096] ; [17.06024096  6.93975904],0
n4,1,0.043344,4.081946,[49 10] ; [15  9],[45.4939759 13.5060241] ; [18.5060241  5.4939759],0
p8,1,0.043375,4.080745,[41 18] ; [11 13],[36.96385542 22.03614458] ; [15.03614458  8.96385542],0
d3,1,0.052011,3.775424,[43 16] ; [11 11],[39.33333333 19.66666667] ; [14.66666667  7.33333333],0
a3,1,0.052171,3.77028,[44 14] ; [13 11],[40.31707317 17.68292683] ; [16.68292683  7.31707317],0
p3,1,0.079435,3.07643,[37 22] ; [10 14],[33.40963855 25.59036145] ; [13.59036145 10.40963855],0
d2,1,0.095776,2.774517,[29 30] ; [ 7 17],[25.59036145 33.40963855] ; [10.40963855 13.59036145],0
p9,1,0.145194,2.122035,[50  9] ; [17  7],[47.62650602 11.37349398] ; [19.37349398  4.62650602],0
p11,1,0.148705,2.085489,[48 11] ; [16  8],[45.4939759 13.5060241] ; [18.5060241  5.4939759],0
n1,1,0.163187,1.944444,[ 5 10] ; [4 2],[6.42857143 8.57142857] ; [2.57142857 3.42857143],0
a2,1,0.195222,1.677765,[15 44] ; [ 3 21],[12.79518072 46.20481928] ; [ 5.20481928 18.79518072],0
p10,1,0.203773,1.615121,[45 14] ; [15  9],[42.65060241 16.34939759] ; [17.34939759  6.65060241],0
b1,1,0.224025,1.478398,[21 38] ; [12 12],[23.45783133 35.54216867] ; [ 9.54216867 14.45783133],0
a7,1,0.246535,1.342831,[48 11] ; [16  7],[46.04878049 12.95121951] ; [17.95121951  5.04878049],0
p4,1,0.257134,1.284121,[42 17] ; [14 10],[39.80722892 19.19277108] ; [16.19277108  7.80722892],0
b5,1,0.262416,1.255966,[34 25] ; [17  7],[36.25301205 22.74698795] ; [14.74698795  9.25301205],0
b2,1,0.340219,0.909606,[20 17] ; [9 4],[21.46 15.54] ; [7.54 5.46],0
b3,1,0.340219,0.909606,[20 17] ; [9 4],[21.46 15.54] ; [7.54 5.46],0
p2,1,0.340402,0.908916,[57  2] ; [22  2],[56.15662651  2.84337349] ; [22.84337349  1.15662651],0
u1,1,0.400094,0.708045,[12 47] ; [ 3 21],[10.6626506 48.3373494] ; [ 4.3373494 19.6626506],0
a6,1,0.439197,0.59838,[42 17] ; [15  9],[40.51807229 18.48192771] ; [16.48192771  7.51807229],0
s1,1,0.492633,0.470769,[ 1 57] ; [ 1 22],[ 1.43209877 56.56790123] ; [ 0.56790123 22.43209877],0
d5,1,0.493204,0.469528,[43 16] ; [15  8],[41.73170732 17.26829268] ; [16.26829268  6.73170732],0
v4,1,0.505564,0.443237,[58  1] ; [23  1],[57.57831325  1.42168675] ; [23.42168675  0.57831325],0
u2,1,0.599337,0.275996,[8 7] ; [7 4],[8.65384615 6.34615385] ; [6.34615385 4.65384615],0
s2,1,0.605404,0.266923,[14 45] ; [ 7 17],[14.92771084 44.07228916] ; [ 6.07228916 17.92771084],0
s3,1,0.615776,0.251849,[18 41] ; [ 6 18],[17.06024096 41.93975904] ; [ 6.93975904 17.06024096],0
s7,1,0.641225,0.217143,[24 33] ; [ 8 14],[23.08860759 33.91139241] ; [ 8.91139241 13.08860759],0
p5,1,0.650114,0.205757,[ 4 55] ; [ 1 23],[ 3.55421687 55.44578313] ; [ 1.44578313 22.55421687],0
a8,1,0.698975,0.14954,[ 5 45] ; [ 3 20],[ 5.47945205 44.52054795] ; [ 2.52054795 20.47945205],0
b4,1,0.783798,0.07528,[30 29] ; [13 11],[30.56626506 28.43373494] ; [12.43373494 11.56626506],0
s8,1,0.80138,0.063283,[18 41] ; [ 8 16],[18.48192771 40.51807229] ; [ 7.51807229 16.48192771],0
a4,1,0.841388,0.040047,[26 33] ; [10 14],[25.59036145 33.40963855] ; [10.40963855 13.59036145],0
n5,1,0.850091,0.035722,[43 16] ; [17  7],[42.65060241 16.34939759] ; [17.34939759  6.65060241],0
s5,1,0.921259,0.009771,[10 48] ; [ 4 18],[10.15 47.85] ; [ 3.85 18.15],0
n2,1,0.925558,0.00873,[11  4] ; [5 2],[10.90909091  4.09090909] ; [5.09090909 1.90909091],0
p1,1,0.935723,0.006504,[ 7 52] ; [ 3 21],[ 7.10843373 51.89156627] ; [ 2.89156627 21.10843373],0
u3,1,0.951159,0.003752,[7 8] ; [5 6],[6.92307692 8.07692308] ; [5.07692308 5.92307692],0
