Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,86.597853,[14 38] ; [152  16],[39.23636364 12.76363636] ; [126.76363636  41.23636364],1
r3,1,0.0,40.927278,[29 22] ; [157  11],[43.31506849  7.68493151] ; [142.68493151  25.31506849],1
p11,1,0.0,34.693127,[23 29] ; [143  26],[39.05882353 12.94117647] ; [126.94117647  42.05882353],1
p2,1,0.0,28.793474,[23 29] ; [137  30],[37.99086758 14.00913242] ; [122.00913242  44.99086758],1
v4,1,4.5e-05,16.638655,[36 15] ; [156  13],[44.50909091  6.49090909] ; [147.49090909  21.50909091],1
p8,1,0.000165,14.192536,[12 39] ; [89 77],[23.73732719 27.26267281] ; [77.26267281 88.73732719],1
v1,1,0.000172,14.11315,[13 39] ; [91 75],[24.80733945 27.19266055] ; [79.19266055 86.80733945],1
r4,1,0.000262,13.326468,[30 22] ; [139  30],[39.76470588 12.23529412] ; [129.23529412  39.76470588],1
n6,1,0.000532,11.99979,[33 18] ; [145  23],[41.45205479  9.54794521] ; [136.54794521  31.45205479],1
p4,1,0.000823,11.188248,[14 37] ; [91 77],[24.45205479 26.54794521] ; [80.54794521 87.45205479],1
n3,1,0.000871,11.084485,[10 13] ; [32  6],[15.83606557  7.16393443] ; [26.16393443 11.83606557],1
p3,1,0.0014,10.205721,[12 39] ; [82 86],[21.89041096 29.10958904] ; [72.10958904 95.89041096],0
p6,1,0.003733,8.409464,[ 6 45] ; [ 54 112],[14.10138249 36.89861751] ; [ 45.89861751 120.10138249],0
p7,1,0.005169,7.819418,[19 32] ; [100  68],[27.71232877 23.28767123] ; [91.28767123 76.71232877],0
v2,1,0.006303,7.461698,[17 34] ; [89 72],[25.5 25.5] ; [80.5 80.5],0
n2,1,0.020547,5.364777,[13 11] ; [31  7],[17.03225806  6.96774194] ; [26.96774194 11.03225806],0
d4,1,0.022932,5.173652,[30 20] ; [129  40],[36.30136986 13.69863014] ; [122.69863014  46.30136986],0
a3,1,0.033902,4.499664,[28 23] ; [119  49],[34.23287671 16.76712329] ; [112.76712329  55.23287671],0
s8,1,0.041743,4.145592,[ 6 46] ; [ 42 127],[11.29411765 40.70588235] ; [ 36.70588235 132.29411765],0
a1,1,0.04745,3.929364,[ 6 46] ; [  7 162],[ 3.05882353 48.94117647] ; [  9.94117647 159.05882353],0
a7,1,0.070575,3.269589,[28 23] ; [116  53],[33.38181818 17.61818182] ; [110.61818182  58.38181818],0
v3,1,0.070599,3.269043,[14 38] ; [67 97],[19.5 32.5] ; [ 61.5 102.5],0
b5,1,0.095593,2.777578,[23 29] ; [97 72],[28.23529412 23.76470588] ; [91.76470588 77.23529412],0
d5,1,0.116652,2.461709,[34 18] ; [129  40],[38.35294118 13.64705882] ; [124.64705882  44.35294118],0
s1,1,0.118509,2.43692,[ 3 48] ; [  3 164],[ 1.40366972 49.59633028] ; [  4.59633028 162.40366972],0
u3,1,0.124255,2.362856,[ 7 17] ; [24 26],[10.05405405 13.94594595] ; [20.94594595 29.05405405],0
d2,1,0.130777,2.283259,[29 21] ; [77 91],[24.31192661 25.68807339] ; [81.68807339 86.31192661],0
p5,1,0.137579,2.204829,[ 1 50] ; [ 13 154],[ 3.27522936 47.72477064] ; [ 10.72477064 156.27522936],0
s2,1,0.168588,1.895452,[ 7 44] ; [ 38 130],[10.47945205 40.52054795] ; [ 34.52054795 133.47945205],0
a5,1,0.197127,1.663536,[33 19] ; [123  46],[36.70588235 15.29411765] ; [119.29411765  49.70588235],0
s7,1,0.226903,1.460172,[ 9 41] ; [ 42 117],[12.20095694 37.79904306] ; [ 38.79904306 120.20095694],0
r1,1,0.228931,1.447493,[32 20] ; [119  50],[35.52941176 16.47058824] ; [115.47058824  53.52941176],0
b2,1,0.253066,1.306299,[12 22] ; [47 54],[14.85925926 19.14074074] ; [44.14074074 56.85925926],0
b3,1,0.253066,1.306299,[12 22] ; [47 54],[14.85925926 19.14074074] ; [44.14074074 56.85925926],0
u2,1,0.290385,1.117837,[ 8 15] ; [24 26],[10.08219178 12.91780822] ; [21.91780822 28.08219178],0
d3,1,0.422184,0.644229,[28 24] ; [101  67],[30.49090909 21.50909091] ; [98.50909091 69.49090909],0
a8,1,0.424204,0.63864,[ 4 42] ; [ 20 133],[ 5.54773869 40.45226131] ; [ 18.45226131 134.54773869],0
a2,1,0.424939,0.636617,[ 9 43] ; [ 38 131],[11.05882353 40.94117647] ; [ 35.94117647 133.05882353],0
a4,1,0.439034,0.598807,[21 30] ; [80 89],[23.41363636 27.58636364] ; [77.58636364 91.41363636],0
a6,1,0.444303,0.585145,[38 14] ; [114  55],[35.76470588 16.23529412] ; [116.23529412  52.76470588],0
b1,1,0.449081,0.572969,[24 28] ; [ 68 101],[21.64705882 30.35294118] ; [70.35294118 98.64705882],0
p1,1,0.566924,0.327857,[ 6 46] ; [ 15 154],[ 4.94117647 47.05882353] ; [ 16.05882353 152.94117647],0
n4,1,0.582541,0.302145,[42 10] ; [142  27],[43.29411765  8.70588235] ; [140.70588235  28.29411765],0
b4,1,0.586445,0.295931,[27 25] ; [95 74],[28.70588235 23.29411765] ; [93.29411765 75.70588235],0
s3,1,0.673677,0.177331,[13 39] ; [ 47 121],[14.18181818 37.81818182] ; [ 45.81818182 122.18181818],0
d1,1,0.681106,0.168883,[26 26] ; [90 79],[27.29411765 24.70588235] ; [88.70588235 80.29411765],0
n1,1,0.71185,0.136436,[10 12] ; [15 22],[ 9.3220339 12.6779661] ; [15.6779661 21.3220339],0
p12,1,0.760325,0.093058,[ 2 50] ; [  5 162],[ 1.66210046 50.33789954] ; [  5.33789954 161.66210046],0
u1,1,0.779142,0.078645,[ 6 46] ; [ 22 147],[ 6.58823529 45.41176471] ; [ 21.41176471 147.58823529],0
s5,1,0.852845,0.034407,[ 7 44] ; [ 21 144],[ 6.61111111 44.38888889] ; [ 21.38888889 143.61111111],0
r2,1,0.854417,0.033667,[45  6] ; [148  18],[45.359447  5.640553] ; [147.640553  18.359447],0
s4,1,1.0,0.0,[ 4 48] ; [ 13 156],[ 4. 48.] ; [ 13. 156.],0
