Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,4.8e-05,16.525514,[30 29] ; [ 70 216],[17.10144928 41.89855072] ; [ 82.89855072 203.10144928],1
s2,1,0.000366,12.696516,[44 18] ; [134 157],[31.26345609 30.73654391] ; [146.73654391 144.26345609],1
n4,1,0.000897,11.029139,[34 30] ; [217  76],[44.99719888 19.00280112] ; [206.00280112  86.99719888],1
b3,1,0.003513,8.519897,[ 4 27] ; [65 96],[11.140625 19.859375] ; [ 57.859375 103.140625],0
b2,1,0.003513,8.519897,[ 4 27] ; [65 96],[11.140625 19.859375] ; [ 57.859375 103.140625],0
s6,1,0.009779,6.674797,[48 13] ; [177 112],[39.21428571 21.78571429] ; [185.78571429 103.21428571],0
b1,1,0.012527,6.234756,[12 52] ; [102 191],[20.43697479 43.56302521] ; [ 93.56302521 199.43697479],0
n5,1,0.025675,4.977741,[39 25] ; [216  73],[46.23229462 17.76770538] ; [208.76770538  80.23229462],0
s3,1,0.029372,4.745668,[42 21] ; [148 139],[34.2 28.8] ; [155.8 131.2],0
a8,1,0.039321,4.246967,[ 3 55] ; [ 42 231],[ 7.88519637 50.11480363] ; [ 37.11480363 235.88519637],0
s7,1,0.089997,2.874427,[33 30] ; [116 169],[26.97413793 36.02586207] ; [122.02586207 162.97413793],0
d3,1,0.119628,2.422183,[48 15] ; [193  99],[42.76901408 20.23098592] ; [198.23098592  93.76901408],0
a4,1,0.126295,2.33746,[19 45] ; [117 176],[24.38095238 39.61904762] ; [111.61904762 181.38095238],0
r2,1,0.12796,2.317085,[62  2] ; [261  25],[59.06285714  4.93714286] ; [263.93714286  22.06285714],0
a2,1,0.133942,2.246211,[ 7 57] ; [ 55 238],[11.11484594 52.88515406] ; [ 50.88515406 242.11484594],0
v3,1,0.138604,2.193387,[15 46] ; [ 97 185],[19.91836735 41.08163265] ; [ 92.08163265 189.91836735],0
v4,1,0.139649,2.181825,[62  1] ; [271  18],[59.59943182  3.40056818] ; [273.40056818  15.59943182],0
v1,1,0.144793,2.126271,[25 38] ; [142 143],[30.23275862 32.76724138] ; [136.76724138 148.23275862],0
r1,1,0.183076,1.772473,[45 19] ; [228  64],[49.07865169 14.92134831] ; [223.92134831  68.07865169],0
p2,1,0.184993,1.757051,[48 16] ; [240  52],[51.7752809 12.2247191] ; [236.2247191  55.7752809],0
p11,1,0.203743,1.615336,[47 17] ; [236  57],[50.73389356 13.26610644] ; [232.26610644  60.73389356],0
d4,1,0.204615,1.609122,[48 16] ; [240  53],[51.6302521 12.3697479] ; [236.3697479  56.6302521],0
s8,1,0.226895,1.46022,[30 34] ; [113 179],[25.70786517 38.29213483] ; [117.29213483 174.70786517],0
n1,1,0.236955,1.398621,[ 5 15] ; [31 48],[ 7.27272727 12.72727273] ; [28.72727273 50.27272727],0
