Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n3,1,0.020921,5.333333,[5 1] ; [1 5],[3. 3.] ; [3. 3.],0
a4,1,0.029296,4.750136,[10 11] ; [ 1 10],[ 7.21875 13.78125] ; [3.78125 7.21875],0
r1,1,0.039624,4.233924,[ 4 17] ; [6 5],[ 6.5625 14.4375] ; [3.4375 7.5625],0
v4,1,0.050315,3.830933,[12  9] ; [10  1],[14.4375  6.5625] ; [7.5625 3.4375],0
s4,1,0.064666,3.413475,[ 2 19] ; [4 7],[ 3.9375 17.0625] ; [2.0625 8.9375],0
u3,1,0.067278,3.348214,[3 7] ; [4 1],[4.66666667 5.33333333] ; [2.33333333 2.66666667],0
s8,1,0.08209,3.023032,[ 5 16] ; [6 5],[ 7.21875 13.78125] ; [3.78125 7.21875],0
d1,1,0.083053,3.00412,[ 8 13] ; [ 1 10],[ 5.90625 15.09375] ; [3.09375 7.90625],0
b5,1,0.100752,2.693603,[14  7] ; [4 7],[11.8125  9.1875] ; [6.1875 4.8125],0
s5,1,0.11456,2.49016,[ 4 17] ; [5 6],[ 5.90625 15.09375] ; [3.09375 7.90625],0
d4,1,0.132529,2.262626,[14  7] ; [10  1],[15.75  5.25] ; [8.25 2.75],0
u2,1,0.143235,2.142857,[4 6] ; [4 1],[5.33333333 4.66666667] ; [2.66666667 2.33333333],0
b2,1,0.147299,2.1,[ 2 12] ; [3 4],[ 3.33333333 10.66666667] ; [1.66666667 5.33333333],0
b3,1,0.147299,2.1,[ 2 12] ; [3 4],[ 3.33333333 10.66666667] ; [1.66666667 5.33333333],0
d5,1,0.162761,1.948389,[12  9] ; [9 2],[13.78125  7.21875] ; [7.21875 3.78125],0
v3,1,0.209601,1.574183,[ 5 16] ; [5 6],[ 6.5625 14.4375] ; [3.4375 7.5625],0
d2,1,0.248381,1.332389,[ 8 13] ; [2 9],[ 6.5625 14.4375] ; [3.4375 7.5625],0
r4,1,0.248381,1.332389,[ 8 13] ; [2 9],[ 6.5625 14.4375] ; [3.4375 7.5625],0
p10,1,0.248381,1.332389,[13  8] ; [9 2],[14.4375  6.5625] ; [7.5625 3.4375],0
b1,1,0.265683,1.238901,[11 10] ; [8 3],[12.46875  8.53125] ; [6.53125 4.46875],0
p3,1,0.265683,1.238901,[11 10] ; [8 3],[12.46875  8.53125] ; [6.53125 4.46875],0
p8,1,0.320489,0.986951,[ 9 11] ; [7 4],[10.32258065  9.67741935] ; [5.67741935 5.32258065],0
p6,1,0.339551,0.912127,[ 6 15] ; [5 6],[ 7.21875 13.78125] ; [3.78125 7.21875],0
d3,1,0.372957,0.793788,[13  8] ; [5 6],[11.8125  9.1875] ; [6.1875 4.8125],0
a7,1,0.388476,0.743706,[11 10] ; [4 7],[ 9.84375 11.15625] ; [5.15625 5.84375],0
p9,1,0.519149,0.415584,[15  6] ; [9 2],[15.75  5.25] ; [8.25 2.75],0
v1,1,0.529148,0.396028,[ 9 12] ; [6 5],[ 9.84375 11.15625] ; [5.15625 5.84375],0
n5,1,0.540396,0.374806,[13  8] ; [8 3],[13.78125  7.21875] ; [7.21875 3.78125],0
s2,1,0.542129,0.371607,[10 11] ; [4 7],[ 9.1875 11.8125] ; [4.8125 6.1875],0
v2,1,0.542129,0.371607,[10 11] ; [4 7],[ 9.1875 11.8125] ; [4.8125 6.1875],0
n1,1,0.558185,0.342857,[3 3] ; [2 4],[2.5 3.5] ; [2.5 3.5],0
n6,1,0.592948,0.285764,[17  4] ; [8 3],[16.40625  4.59375] ; [8.59375 2.40625],0
u1,1,0.630872,0.23088,[ 1 20] ; [ 1 10],[ 1.3125 19.6875] ; [ 0.6875 10.3125],0
p5,1,0.663986,0.188718,[ 5 15] ; [2 9],[ 4.51612903 15.48387097] ; [2.48387097 8.51612903],0
s3,1,0.687245,0.162084,[ 8 13] ; [5 6],[ 8.53125 12.46875] ; [4.46875 6.53125],0
a6,1,0.722416,0.12619,[12  9] ; [7 4],[12.46875  8.53125] ; [6.53125 4.46875],0
s6,1,0.722416,0.12619,[12  9] ; [7 4],[12.46875  8.53125] ; [6.53125 4.46875],0
p7,1,0.725359,0.123416,[14  7] ; [8 3],[14.4375  6.5625] ; [7.5625 3.4375],0
p12,1,0.773117,0.083117,[ 3 18] ; [2 9],[ 3.28125 17.71875] ; [1.71875 9.28125],0
r3,1,0.829856,0.046176,[16  5] ; [8 3],[15.75  5.25] ; [8.25 2.75],0
b4,1,0.863894,0.029385,[ 7 14] ; [4 7],[ 7.21875 13.78125] ; [3.78125 7.21875],0
a5,1,0.888126,0.01979,[12  9] ; [6 5],[11.8125  9.1875] ; [6.1875 4.8125],0
a3,1,0.907226,0.013581,[11 10] ; [6 5],[11.15625  9.84375] ; [5.84375 5.15625],0
n4,1,0.923441,0.009235,[13  8] ; [7 4],[13.125  7.875] ; [6.875 4.125],0
p11,1,0.93814,0.006023,[15  6] ; [8 3],[15.09375  5.90625] ; [7.90625 3.09375],0
n2,1,1.0,0.0,[4 2] ; [4 2],[4. 2.] ; [4. 2.],0
