Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,26.912364,[84 18] ; [22 31],[69.75483871 32.24516129] ; [36.24516129 16.75483871],1
d3,1,1e-06,24.810951,[79 22] ; [20 33],[64.92857143 36.07142857] ; [34.07142857 18.92857143],1
d5,1,8.2e-05,15.5135,[87 15] ; [30 23],[76.99354839 25.00645161] ; [40.00645161 12.99354839],1
p2,1,0.000381,12.624902,[79 23] ; [25 26],[69.33333333 32.66666667] ; [34.66666667 16.33333333],1
d4,1,0.002755,8.962833,[85 17] ; [32 20],[77.49350649 24.50649351] ; [39.50649351 12.49350649],0
p9,1,0.017661,5.629468,[73 27] ; [28 24],[66.44736842 33.55263158] ; [34.55263158 17.44736842],0
r1,1,0.018067,5.589662,[83 19] ; [34 19],[76.99354839 25.00645161] ; [40.00645161 12.99354839],0
a2,1,0.020803,5.343245,[23 80] ; [ 4 49],[17.82692308 85.17307692] ; [ 9.17307692 43.82692308],0
p10,1,0.026219,4.941532,[64 36] ; [23 28],[57.61589404 42.38410596] ; [29.38410596 21.61589404],0
u1,1,0.0263,4.936173,[13 90] ; [ 1 52],[ 9.24358974 93.75641026] ; [ 4.75641026 48.24358974],0
b1,1,0.027402,4.865272,[43 60] ; [32 21],[49.51923077 53.48076923] ; [25.48076923 27.51923077],0
b5,1,0.040317,4.204496,[68 35] ; [26 27],[62.06410256 40.93589744] ; [31.93589744 21.06410256],0
d1,1,0.049008,3.875071,[56 47] ; [20 33],[50.17948718 52.82051282] ; [25.82051282 27.17948718],0
n1,1,0.052125,3.771765,[ 9 21] ; [13 10],[12.45283019 17.54716981] ; [ 9.54716981 13.45283019],0
a5,1,0.064015,3.430185,[70 33] ; [28 25],[64.70512821 38.29487179] ; [33.29487179 19.70512821],0
v4,1,0.085458,2.957912,[93 10] ; [41 10],[89.62337662 13.37662338] ; [44.37662338  6.62337662],0
b2,1,0.098001,2.737778,[14 41] ; [14 19],[17.5 37.5] ; [10.5 22.5],0
b3,1,0.098001,2.737778,[14 41] ; [14 19],[17.5 37.5] ; [10.5 22.5],0
p8,1,0.100533,2.697068,[40 59] ; [14 38],[35.40397351 63.59602649] ; [18.59602649 33.40397351],0
r4,1,0.116849,2.45905,[85 18] ; [38 15],[81.21153846 21.78846154] ; [41.78846154 11.21153846],0
n2,1,0.120188,2.414875,[20 11] ; [20  4],[22.54545455  8.45454545] ; [17.45454545  6.54545455],0
a1,1,0.159068,1.983065,[ 4 99] ; [ 5 48],[ 5.94230769 97.05769231] ; [ 3.05769231 49.94230769],0
a8,1,0.160986,1.964938,[10 84] ; [ 2 49],[ 7.77931034 86.22068966] ; [ 4.22068966 46.77931034],0
s3,1,0.161317,1.961838,[49 52] ; [32 21],[53.12337662 47.87662338] ; [27.87662338 25.12337662],0
r3,1,0.163042,1.945783,[91 11] ; [43 10],[88.18064516 13.81935484] ; [45.81935484  7.18064516],0
a3,1,0.194175,1.68565,[71 32] ; [31 22],[67.34615385 35.65384615] ; [34.65384615 18.34615385],0
p12,1,0.223703,1.480459,[ 1 99] ; [ 2 49],[ 1.98675497 98.01324503] ; [ 1.01324503 49.98675497],0
v1,1,0.281811,1.158337,[40 60] ; [26 27],[43.1372549 56.8627451] ; [22.8627451 30.1372549],0
a4,1,0.344037,0.895328,[41 62] ; [17 36],[38.29487179 64.70512821] ; [19.70512821 33.29487179],0
p7,1,0.367732,0.811316,[47 49] ; [21 30],[44.40816327 51.59183673] ; [23.59183673 27.40816327],0
s8,1,0.393161,0.729143,[32 71] ; [13 40],[29.71153846 73.28846154] ; [15.28846154 37.71153846],0
d2,1,0.404891,0.693752,[41 61] ; [25 28],[43.43225806 58.56774194] ; [22.56774194 30.43225806],0
u3,1,0.409411,0.68051,[23  8] ; [14  8],[21.64150943  9.35849057] ; [15.35849057  6.64150943],0
s5,1,0.437879,0.601833,[18 79] ; [12 38],[19.79591837 77.20408163] ; [10.20408163 39.79591837],0
p1,1,0.473687,0.513363,[ 8 94] ; [ 6 47],[ 9.21290323 92.78709677] ; [ 4.78709677 48.21290323],0
v2,1,0.487748,0.48149,[45 51] ; [20 29],[43.03448276 52.96551724] ; [21.96551724 27.03448276],0
s2,1,0.595023,0.282568,[43 59] ; [20 33],[41.45806452 60.54193548] ; [21.54193548 31.45806452],0
s6,1,0.610509,0.259434,[52 51] ; [24 28],[50.50322581 52.49677419] ; [25.49677419 26.50322581],0
b4,1,0.626309,0.2371,[58 45] ; [32 21],[59.42307692 43.57692308] ; [30.57692308 22.42307692],0
v3,1,0.649209,0.206899,[28 68] ; [12 35],[26.85314685 69.14685315] ; [13.14685315 33.85314685],0
s4,1,0.691774,0.157172,[15 88] ; [ 9 44],[15.84615385 87.15384615] ; [ 8.15384615 44.84615385],0
p3,1,0.747439,0.103695,[38 64] ; [18 34],[37.09090909 64.90909091] ; [18.90909091 33.09090909],0
u2,1,0.755815,0.096709,[21 10] ; [14  8],[20.47169811 10.52830189] ; [14.52830189  7.47169811],0
n3,1,0.822709,0.050204,[20 10] ; [16  7],[20.37735849  9.62264151] ; [15.62264151  7.37735849],0
p5,1,0.829387,0.046435,[ 5 96] ; [ 3 49],[ 5.28104575 95.71895425] ; [ 2.71895425 49.28104575],0
n5,1,0.830347,0.045906,[45 57] ; [22 30],[44.37662338 57.62337662] ; [22.62337662 29.37662338],0
s1,1,0.840315,0.040598,[ 5 95] ; [ 3 49],[ 5.26315789 94.73684211] ; [ 2.73684211 49.26315789],0
