Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.0,31.14009,[116  34] ; [39 54],[95.67901235 54.32098765] ; [59.32098765 33.67901235],1
v4,1,0.0,25.369323,[139   9] ; [65 28],[125.2780083  22.7219917] ; [78.7219917 14.2780083],1
r3,1,1e-06,23.676378,[139   9] ; [66 27],[125.89211618  22.10788382] ; [79.10788382 13.89211618],1
p9,1,4e-06,21.231393,[114  32] ; [43 45],[97.95726496 48.04273504] ; [59.04273504 28.95726496],1
p7,1,5e-06,20.885036,[76 69] ; [21 72],[59.09663866 85.90336134] ; [37.90336134 55.09663866],1
r4,1,3.6e-05,17.063332,[127  23] ; [57 36],[113.58024691  36.41975309] ; [70.41975309 22.58024691],1
p8,1,9.9e-05,15.157461,[56 89] ; [14 79],[ 42.64705882 102.35294118] ; [27.35294118 65.64705882],1
p10,1,0.000167,14.167196,[108  41] ; [44 47],[94.36666667 54.63333333] ; [57.63333333 33.36666667],1
s2,1,0.000819,11.197194,[62 87] ; [19 73],[50.07883817 98.92116183] ; [30.92116183 61.07883817],1
a1,1,0.000988,10.849996,[  2 148] ; [10 83],[  7.40740741 142.59259259] ; [ 4.59259259 88.40740741],1
s3,1,0.001195,10.498389,[76 73] ; [27 64],[63.94583333 85.05416667] ; [39.05416667 51.94583333],0
b1,1,0.001658,9.894315,[ 50 100] ; [50 43],[61.72839506 88.27160494] ; [38.27160494 54.72839506],0
s6,1,0.005887,7.584652,[74 73] ; [30 63],[63.7 83.3] ; [40.3 52.7],0
n6,1,0.007154,7.233808,[118  31] ; [59 34],[108.97933884  40.02066116] ; [68.02066116 24.97933884],0
n3,1,0.023823,5.107449,[37 14] ; [17 18],[32.02325581 18.97674419] ; [21.97674419 13.02325581],0
s1,1,0.030889,4.659096,[  2 145] ; [ 6 86],[  4.92050209 142.07949791] ; [ 3.07949791 88.92050209],0
r1,1,0.033487,4.520695,[107  43] ; [54 39],[99.38271605 50.61728395] ; [61.61728395 31.38271605],0
p1,1,0.040397,4.201145,[  4 144] ; [ 8 85],[  7.36929461 140.63070539] ; [ 4.63070539 88.36929461],0
b3,1,0.042015,4.134585,[16 59] ; [21 35],[21.18320611 53.81679389] ; [15.81679389 40.18320611],0
b2,1,0.042015,4.134585,[16 59] ; [21 35],[21.18320611 53.81679389] ; [15.81679389 40.18320611],0
p6,1,0.055321,3.672395,[ 26 122] ; [ 8 84],[ 20.96666667 127.03333333] ; [13.03333333 78.96666667],0
r2,1,0.056818,3.627905,[134  15] ; [74 17],[129.13333333  19.86666667] ; [78.86666667 12.13333333],0
p12,1,0.077807,3.110115,[  3 145] ; [ 6 87],[  5.52697095 142.47302905] ; [ 3.47302905 89.52697095],0
n1,1,0.093527,2.8126,[13 36] ; [17 22],[16.70454545 32.29545455] ; [13.29545455 25.70454545],0
s5,1,0.10124,2.685899,[ 34 111] ; [13 76],[ 29.12393162 115.87606838] ; [17.87606838 71.12393162],0
n2,1,0.11035,2.549201,[37 14] ; [22 17],[33.43333333 17.56666667] ; [25.56666667 13.43333333],0
d5,1,0.12318,2.376419,[111  38] ; [60 32],[105.7219917  43.2780083] ; [65.2780083 26.7219917],0
d3,1,0.155376,2.018664,[91 57] ; [48 44],[85.71666667 62.28333333] ; [53.28333333 38.71666667],0
a7,1,0.183994,1.765061,[103  45] ; [57 36],[98.25726141 49.74273859] ; [61.74273859 31.25726141],0
s8,1,0.214288,1.542221,[ 41 108] ; [19 74],[ 36.94214876 112.05785124] ; [23.05785124 69.94214876],0
a6,1,0.252665,1.308507,[99 51] ; [54 38],[94.83471074 55.16528926] ; [58.16528926 33.83471074],0
a2,1,0.415874,0.661946,[ 23 127] ; [18 75],[ 25.30864198 124.69135802] ; [15.69135802 77.30864198],0
s7,1,0.431769,0.61806,[46 97] ; [24 64],[43.33333333 99.66666667] ; [26.66666667 61.33333333],0
v2,1,0.433437,0.613595,[55 88] ; [29 58],[52.22608696 90.77391304] ; [31.77391304 55.22608696],0
b5,1,0.453279,0.56244,[88 62] ; [50 43],[85.18518519 64.81481481] ; [52.81481481 40.18518519],0
a4,1,0.456203,0.555194,[ 50 100] ; [35 57],[52.68595041 97.31404959] ; [32.31404959 59.68595041],0
u3,1,0.457059,0.553086,[28 32] ; [14 22],[26.25 33.75] ; [15.75 20.25],0
u1,1,0.478114,0.503162,[ 19 131] ; [ 9 84],[ 17.28395062 132.71604938] ; [10.71604938 82.28395062],0
d2,1,0.526008,0.402097,[60 89] ; [40 50],[62.34309623 86.65690377] ; [37.65690377 52.34309623],0
n5,1,0.53732,0.380529,[88 60] ; [59 34],[90.27385892 57.72614108] ; [56.72614108 36.27385892],0
a8,1,0.557915,0.343327,[ 17 120] ; [ 9 82],[ 15.62280702 121.37719298] ; [10.37719298 80.62280702],0
v3,1,0.733912,0.11555,[ 38 109] ; [21 67],[ 36.90638298 110.09361702] ; [22.09361702 65.90638298],0
a5,1,0.749395,0.10204,[87 63] ; [52 41],[85.80246914 64.19753086] ; [53.19753086 39.80246914],0
s4,1,0.755432,0.097023,[ 28 121] ; [16 77],[ 27.09090909 121.90909091] ; [16.90909091 76.09090909],0
a3,1,0.762225,0.091543,[90 60] ; [57 35],[91.11570248 58.88429752] ; [55.88429752 36.11570248],0
p5,1,0.794956,0.067538,[  4 145] ; [ 2 91],[  3.69421488 145.30578512] ; [ 2.30578512 90.69421488],0
p3,1,0.805633,0.060547,[ 24 126] ; [16 77],[ 24.69135802 125.30864198] ; [15.30864198 77.69135802],0
u2,1,0.818692,0.052545,[26 33] ; [15 21],[25.46315789 33.53684211] ; [15.53684211 20.46315789],0
d1,1,0.842046,0.039711,[69 81] ; [44 49],[69.75308642 80.24691358] ; [43.24691358 49.75308642],0
d4,1,0.872787,0.025638,[108  40] ; [68 24],[108.53333333  39.46666667] ; [67.46666667 24.53333333],0
b4,1,0.910738,0.012568,[86 64] ; [54 39],[86.41975309 63.58024691] ; [53.58024691 39.41975309],0
n4,1,0.98097,0.000569,[97 53] ; [60 33],[96.91358025 53.08641975] ; [60.08641975 32.91358025],0
