Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1.9e-05,18.238817,[ 7 73] ; [18 26],[16.12903226 63.87096774] ; [ 8.87096774 35.12903226],1
p8,1,2.8e-05,17.576966,[ 9 72] ; [19 24],[18.29032258 62.70967742] ; [ 9.70967742 33.29032258],1
v2,1,0.000165,14.19016,[23 52] ; [28 14],[32.69230769 42.30769231] ; [18.30769231 23.69230769],1
s3,1,0.000866,11.094025,[27 51] ; [29 15],[35.80327869 42.19672131] ; [20.19672131 23.80327869],1
s2,1,0.002139,9.426231,[23 57] ; [25 19],[30.96774194 49.03225806] ; [17.03225806 26.96774194],0
a8,1,0.003194,8.69329,[ 5 70] ; [11 31],[10.25641026 64.74358974] ; [ 5.74358974 36.25641026],0
p4,1,0.00358,8.485668,[17 63] ; [20 23],[24.06504065 55.93495935] ; [12.93495935 30.06504065],0
r4,1,0.005792,7.613983,[51 30] ; [38  6],[57.672 23.328] ; [31.328 12.672],0
r3,1,0.005882,7.586239,[56 25] ; [40  4],[62.208 18.792] ; [33.792 10.208],0
v1,1,0.008153,6.999539,[22 56] ; [23 21],[28.7704918 49.2295082] ; [16.2295082 27.7704918],0
a2,1,0.012251,6.274214,[23 58] ; [ 4 40],[17.496 63.504] ; [ 9.504 34.496],0
p3,1,0.015786,5.826512,[22 59] ; [21 22],[28.08870968 52.91129032] ; [14.91129032 28.08870968],0
p10,1,0.02418,5.081707,[41 38] ; [32 12],[46.88617886 32.11382114] ; [26.11382114 17.88617886],0
a1,1,0.058719,3.57319,[13 68] ; [ 2 42],[ 9.72 71.28] ; [ 5.28 38.72],0
s7,1,0.073711,3.198393,[25 53] ; [20 21],[29.49579832 48.50420168] ; [15.50420168 25.49579832],0
b5,1,0.075976,3.14895,[40 41] ; [29 15],[44.712 36.288] ; [24.288 19.712],0
s6,1,0.093837,2.807283,[37 44] ; [27 17],[41.472 39.528] ; [22.528 21.472],0
b2,1,0.099322,2.716396,[25 28] ; [10 24],[21.32183908 31.67816092] ; [13.67816092 20.32183908],0
