Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.001711,9.836794,[21 52] ; [16  9],[27.56122449 45.43877551] ; [ 9.43877551 15.56122449],0
d4,1,0.00182,9.722905,[47 27] ; [24  1],[53.07070707 20.92929293] ; [17.92929293  7.07070707],0
b5,1,0.002317,9.279585,[52 22] ; [ 9 16],[45.5959596 28.4040404] ; [15.4040404  9.5959596],0
s8,1,0.00245,9.177568,[11 63] ; [11 14],[16.44444444 57.55555556] ; [ 5.55555556 19.44444444],0
s5,1,0.002635,9.044081,[11 59] ; [11 13],[16.38297872 53.61702128] ; [ 5.61702128 18.38297872],0
d5,1,0.003443,8.556229,[37 36] ; [21  4],[43.20408163 29.79591837] ; [14.79591837 10.20408163],0
s4,1,0.003886,8.336284,[ 8 66] ; [ 9 16],[12.70707071 61.29292929] ; [ 4.29292929 20.70707071],0
u3,1,0.010858,6.488331,[22 26] ; [9 1],[25.65517241 22.34482759] ; [5.34482759 4.65517241],0
a3,1,0.023748,5.112943,[25 48] ; [15 10],[29.79591837 43.20408163] ; [10.20408163 14.79591837],0
s2,1,0.025947,4.959539,[18 56] ; [12 13],[22.42424242 51.57575758] ; [ 7.57575758 17.42424242],0
s3,1,0.026964,4.893135,[25 47] ; [15 10],[29.69072165 42.30927835] ; [10.30927835 14.69072165],0
d3,1,0.036193,4.388008,[38 35] ; [19  6],[42.45918367 30.54081633] ; [14.54081633 10.45918367],0
u2,1,0.051364,3.796355,[26 22] ; [8 1],[28.63157895 19.36842105] ; [5.36842105 3.63157895],0
a7,1,0.051483,3.792488,[46 27] ; [21  4],[49.90816327 23.09183673] ; [17.09183673  7.90816327],0
n1,1,0.061369,3.5,[ 6 22] ; [4 3],[ 8. 20.] ; [2. 5.],0
b1,1,0.063263,3.44971,[30 44] ; [ 5 20],[26.16161616 47.83838384] ; [ 8.83838384 16.16161616],0
p6,1,0.113903,2.499222,[12 61] ; [ 7 15],[14.6 58.4] ; [ 4.4 17.6],0
v3,1,0.160137,1.972929,[12 59] ; [ 7 16],[14.35106383 56.64893617] ; [ 4.64893617 18.35106383],0
b3,1,0.165205,1.925926,[ 7 29] ; [ 6 10],[ 9. 27.] ; [ 4. 12.],0
b2,1,0.165205,1.925926,[ 7 29] ; [ 6 10],[ 9. 27.] ; [ 4. 12.],0
b4,1,0.177476,1.818636,[42 32] ; [18  7],[44.84848485 29.15151515] ; [15.15151515  9.84848485],0
p3,1,0.229882,1.441589,[15 59] ; [ 8 17],[17.19191919 56.80808081] ; [ 5.80808081 19.19191919],0
n3,1,0.245952,1.346154,[22  6] ; [4 3],[20.8  7.2] ; [5.2 1.8],0
p8,1,0.34032,0.909225,[23 51] ; [10 14],[24.91836735 49.08163265] ; [ 8.08163265 15.91836735],0
p2,1,0.341688,0.904086,[48 25] ; [19  6],[49.90816327 23.09183673] ; [17.09183673  7.90816327],0
v1,1,0.369009,0.806999,[20 52] ; [ 9 15],[21.75 50.25] ; [ 7.25 16.75],0
d1,1,0.394048,0.726413,[20 54] ; [ 9 16],[21.67676768 52.32323232] ; [ 7.32323232 17.67676768],0
p5,1,0.422128,0.644384,[ 1 72] ; [ 1 24],[ 1.48979592 71.51020408] ; [ 0.51020408 24.48979592],0
a6,1,0.447119,0.577946,[32 42] ; [13 12],[33.63636364 40.36363636] ; [11.36363636 13.63636364],0
v4,1,0.453136,0.562795,[63 10] ; [23  2],[64.06122449  8.93877551] ; [21.93877551  3.06122449],0
r3,1,0.465227,0.53329,[64 10] ; [23  2],[65.03030303  8.96969697] ; [21.96969697  3.03030303],0
p4,1,0.473429,0.513962,[21 53] ; [ 9 16],[22.42424242 51.57575758] ; [ 7.57575758 17.42424242],0
p10,1,0.479118,0.50087,[36 36] ; [14 10],[37.5 34.5] ; [12.5 11.5],0
a8,1,0.553661,0.350799,[ 6 66] ; [ 1 21],[ 5.36170213 66.63829787] ; [ 1.63829787 20.36170213],0
p7,1,0.598726,0.276921,[32 41] ; [12 12],[33.11340206 39.88659794] ; [10.88659794 13.11340206],0
p1,1,0.608036,0.263045,[ 5 68] ; [ 1 24],[ 4.46938776 68.53061224] ; [ 1.53061224 23.46938776],0
a4,1,0.611226,0.258394,[12 62] ; [ 3 22],[11.21212121 62.78787879] ; [ 3.78787879 21.21212121],0
n4,1,0.633133,0.227836,[20 54] ; [ 8 17],[20.92929293 53.07070707] ; [ 7.07070707 17.92929293],0
s1,1,0.63831,0.220959,[ 4 70] ; [ 2 23],[ 4.48484848 69.51515152] ; [ 1.51515152 23.48484848],0
r2,1,0.660378,0.193064,[62 12] ; [21  3],[62.67346939 11.32653061] ; [20.32653061  3.67346939],0
n2,1,0.676193,0.174443,[17 10] ; [5 2],[17.47058824  9.52941176] ; [4.52941176 2.47058824],0
r4,1,0.679495,0.170695,[50 24] ; [18  7],[50.82828283 23.17171717] ; [17.17171717  7.82828283],0
p9,1,0.682171,0.167692,[46 27] ; [14 10],[45.15463918 27.84536082] ; [14.84536082  9.15463918],0
n6,1,0.753566,0.098559,[47 27] ; [15 10],[46.34343434 27.65656566] ; [15.65656566  9.34343434],0
v2,1,0.814055,0.055318,[27 45] ; [ 8 15],[26.52631579 45.47368421] ; [ 8.47368421 14.52631579],0
d2,1,0.863852,0.029403,[16 58] ; [ 5 20],[15.6969697 58.3030303] ; [ 5.3030303 19.6969697],0
r1,1,0.865844,0.028541,[40 34] ; [14 11],[40.36363636 33.63636364] ; [13.63636364 11.36363636],0
p11,1,0.96513,0.001911,[47 27] ; [16  9],[47.09090909 26.90909091] ; [15.90909091  9.09090909],0
