Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,2e-05,18.189167,[23  6] ; [31 60],[13.05 15.95] ; [40.95 50.05],1
s2,1,2.1e-05,18.090868,[19  9] ; [22 69],[ 9.64705882 18.35294118] ; [31.35294118 59.64705882],1
s7,1,2.4e-05,17.839286,[18  9] ; [19 65],[ 9. 18.] ; [28. 56.],1
r4,1,0.001167,10.542216,[28  1] ; [60 31],[21.26666667  7.73333333] ; [66.73333333 24.26666667],0
v3,1,0.002567,9.092367,[17 11] ; [26 63],[10.29059829 17.70940171] ; [32.70940171 56.29059829],0
u2,1,0.005254,7.789971,[8 1] ; [15 25],[4.2244898 4.7755102] ; [18.7755102 21.2244898],0
s5,1,0.007247,7.210691,[10 18] ; [12 79],[ 5.17647059 22.82352941] ; [16.82352941 74.17647059],0
s3,1,0.009862,6.659666,[19  9] ; [36 54],[13.05084746 14.94915254] ; [41.94915254 48.05084746],0
p10,1,0.013512,6.100857,[13 16] ; [19 70],[ 7.86440678 21.13559322] ; [24.13559322 64.86440678],0
u3,1,0.020766,5.346283,[7 2] ; [15 27],[3.88235294 5.11764706] ; [18.11764706 23.88235294],0
n6,1,0.033787,4.505434,[25  4] ; [59 31],[20.47058824  8.52941176] ; [63.52941176 26.47058824],0
r3,1,0.04055,4.194716,[27  2] ; [68 22],[23.1512605  5.8487395] ; [71.8487395 18.1512605],0
v2,1,0.042274,4.124203,[16 12] ; [32 58],[11.38983051 16.61016949] ; [36.61016949 53.38983051],0
r1,1,0.045866,3.986508,[26  3] ; [65 26],[21.99166667  7.00833333] ; [69.00833333 21.99166667],0
d5,1,0.045998,3.981672,[25  4] ; [61 30],[20.78333333  8.21666667] ; [65.21666667 25.78333333],0
p6,1,0.052985,3.744403,[ 9 19] ; [14 76],[ 5.45762712 22.54237288] ; [17.54237288 72.45762712],0
v4,1,0.064471,3.418472,[27  2] ; [70 20],[23.63865546  5.36134454] ; [73.36134454 16.63865546],0
p8,1,0.073398,3.205355,[12 17] ; [22 69],[ 8.21666667 20.78333333] ; [25.78333333 65.21666667],0
b1,1,0.077367,3.119363,[21  8] ; [49 42],[16.91666667 12.08333333] ; [53.08333333 37.91666667],0
v1,1,0.088533,2.900842,[15 14] ; [31 60],[11.11666667 17.88333333] ; [34.88333333 56.11666667],0
d1,1,0.090438,2.866559,[17 12] ; [37 54],[13.05 15.95] ; [40.95 50.05],0
p2,1,0.095584,2.777725,[21  8] ; [50 41],[17.15833333 11.84166667] ; [53.84166667 37.15833333],0
r2,1,0.106563,2.604459,[28  1] ; [76 13],[25.55932203  3.44067797] ; [78.44067797 10.55932203],0
n2,1,0.10819,2.580456,[7 1] ; [17 13],[5.05263158 2.94736842] ; [18.94736842 11.05263158],0
u1,1,0.113521,2.504514,[ 7 22] ; [11 80],[ 4.35 24.65] ; [13.65 77.35],0
n5,1,0.155385,2.018576,[24  5] ; [63 28],[21.025  7.975] ; [65.975 25.025],0
p4,1,0.158853,1.985113,[14 15] ; [30 59],[10.81355932 18.18644068] ; [33.18644068 55.81355932],0
a3,1,0.168268,1.898304,[20  9] ; [49 41],[16.81512605 12.18487395] ; [52.18487395 37.81512605],0
b4,1,0.171646,1.86851,[21  8] ; [53 38],[17.88333333 11.11666667] ; [56.11666667 34.88333333],0
b2,1,0.182528,1.776923,[ 5 17] ; [22 35],[ 7.51898734 14.48101266] ; [19.48101266 37.51898734],0
b3,1,0.182528,1.776923,[ 5 17] ; [22 35],[ 7.51898734 14.48101266] ; [19.48101266 37.51898734],0
p7,1,0.183848,1.76624,[15 13] ; [35 54],[11.96581197 16.03418803] ; [38.03418803 50.96581197],0
d4,1,0.197373,1.661704,[23  6] ; [60 30],[20.22689076  8.77310924] ; [62.77310924 27.22689076],0
d2,1,0.200535,1.638471,[17 12] ; [40 49],[14.00847458 14.99152542] ; [42.99152542 46.00847458],0
p5,1,0.233901,1.416983,[ 3 26] ; [ 4 87],[ 1.69166667 27.30833333] ; [ 5.30833333 85.69166667],0
d3,1,0.257753,1.280788,[20  9] ; [52 39],[17.4 11.6] ; [54.6 36.4],0
p11,1,0.278884,1.172522,[18 11] ; [46 45],[15.46666667 13.53333333] ; [48.53333333 42.46666667],0
s1,1,0.34298,0.89926,[ 3 25] ; [ 5 85],[ 1.89830508 26.10169492] ; [ 6.10169492 83.89830508],0
a5,1,0.408873,0.682077,[20  9] ; [55 36],[18.125 10.875] ; [56.875 34.125],0
n1,1,0.451259,0.567488,[4 3] ; [12 17],[3.11111111 3.88888889] ; [12.88888889 16.11111111],0
p3,1,0.49622,0.463012,[11 18] ; [28 62],[ 9.50420168 19.49579832] ; [29.49579832 60.50420168],0
a7,1,0.572081,0.319212,[17 12] ; [58 32],[18.27731092 10.72268908] ; [56.72268908 33.27731092],0
a8,1,0.641598,0.216658,[ 2 24] ; [ 9 74],[ 2.62385321 23.37614679] ; [ 8.37614679 74.62385321],0
a1,1,0.652666,0.202556,[ 3 26] ; [ 7 84],[ 2.41666667 26.58333333] ; [ 7.58333333 83.41666667],0
a2,1,0.706484,0.141815,[ 6 23] ; [16 75],[ 5.31666667 23.68333333] ; [16.68333333 74.31666667],0
s4,1,0.774669,0.081952,[ 4 24] ; [11 79],[ 3.55932203 24.44067797] ; [11.44067797 78.55932203],0
a6,1,0.779233,0.078578,[17 12] ; [56 35],[17.64166667 11.35833333] ; [55.35833333 35.64166667],0
n3,1,0.924978,0.008867,[4 3] ; [16 13],[3.88888889 3.11111111] ; [16.11111111 12.88888889],0
a4,1,0.979166,0.000682,[11 18] ; [34 55],[11.05932203 17.94067797] ; [33.94067797 55.05932203],0
b5,1,0.982901,0.000459,[16 13] ; [50 41],[15.95 13.05] ; [50.05 40.95],0
