Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,5e-06,20.686778,[26 60] ; [102  67],[43.16862745 42.83137255] ; [84.83137255 84.16862745],1
d3,1,7e-06,20.10361,[32 54] ; [112  56],[48.75590551 37.24409449] ; [95.24409449 72.75590551],1
d4,1,6.3e-05,16.016923,[45 41] ; [130  39],[59.01960784 26.98039216] ; [115.98039216  53.01960784],1
d5,1,0.000308,13.01893,[43 43] ; [123  46],[55.98431373 30.01568627] ; [110.01568627  58.98431373],1
d1,1,0.000626,11.696325,[15 71] ; [ 65 104],[26.98039216 59.01960784] ; [ 53.01960784 115.98039216],1
n3,1,0.004288,8.157562,[16 15] ; [34  7],[21.52777778  9.47222222] ; [28.47222222 12.52777778],0
b1,1,0.008015,7.030195,[41 45] ; [ 52 117],[31.36470588 54.63529412] ; [ 61.63529412 107.36470588],0
r4,1,0.012066,6.301174,[64 22] ; [147  22],[71.16078431 14.83921569] ; [139.83921569  29.16078431],0
r2,1,0.021009,5.326005,[71 14] ; [156  12],[76.26482213  8.73517787] ; [150.73517787  17.26482213],0
p3,1,0.033223,4.534274,[25 60] ; [73 96],[32.79527559 52.20472441] ; [ 65.20472441 103.79527559],0
r3,1,0.038755,4.271557,[75 11] ; [158   9],[79.20158103  6.79841897] ; [153.79841897  13.20158103],0
r1,1,0.064527,3.417022,[51 35] ; [119  49],[57.55905512 28.44094488] ; [112.44094488  55.55905512],0
p2,1,0.091582,2.846347,[61 24] ; [137  32],[66.25984252 18.74015748] ; [131.74015748  37.25984252],0
p10,1,0.097089,2.752719,[54 30] ; [122  42],[59.61290323 24.38709677] ; [116.38709677  47.61290323],0
s5,1,0.10864,2.573899,[25 56] ; [ 35 128],[19.91803279 61.08196721] ; [ 40.08196721 122.91803279],0
n6,1,0.122306,2.387539,[61 24] ; [135  33],[65.84980237 19.15019763] ; [130.15019763  37.84980237],0
d2,1,0.178068,1.813674,[22 64] ; [ 31 138],[17.8745098 68.1254902] ; [ 35.1254902 133.8745098],0
u3,1,0.186109,1.748154,[25 27] ; [53 36],[28.76595745 23.23404255] ; [49.23404255 39.76595745],0
s6,1,0.226607,1.46203,[44 38] ; [103  64],[48.40963855 33.59036145] ; [98.59036145 68.40963855],0
u1,1,0.269965,1.216926,[ 1 85] ; [  6 163],[ 2.36078431 83.63921569] ; [  4.63921569 164.36078431],0
a3,1,0.27026,1.215428,[34 51] ; [79 88],[38.11507937 46.88492063] ; [74.88492063 92.11507937],0
b5,1,0.282224,1.156347,[49 37] ; [108  61],[52.94901961 33.05098039] ; [104.05098039  64.94901961],0
b3,1,0.320945,0.985093,[10 39] ; [25 64],[12.42753623 36.57246377] ; [22.57246377 66.42753623],0
b2,1,0.320945,0.985093,[10 39] ; [25 64],[12.42753623 36.57246377] ; [22.57246377 66.42753623],0
v3,1,0.321051,0.984659,[23 60] ; [ 55 107],[26.4244898 56.5755102] ; [ 51.5755102 110.4244898],0
v2,1,0.332681,0.938435,[32 48] ; [75 86],[35.5186722 44.4813278] ; [71.4813278 89.5186722],0
