Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2.1e-05,18.069614,[26  8] ; [ 2 14],[19.04 14.96] ; [8.96 7.04],1
u2,1,0.026494,4.923477,[10  3] ; [1 4],[7.94444444 5.05555556] ; [3.05555556 1.94444444],0
s4,1,0.058447,3.580909,[10 23] ; [ 1 15],[ 7.40816327 25.59183673] ; [ 3.59183673 12.40816327],0
p2,1,0.101343,2.684282,[25  9] ; [8 8],[22.44 11.56] ; [10.56  5.44],0
s6,1,0.101343,2.684282,[25  9] ; [8 8],[22.44 11.56] ; [10.56  5.44],0
a4,1,0.107619,2.588848,[11 23] ; [9 7],[13.6 20.4] ; [6.4 9.6],0
b1,1,0.161365,1.961388,[22 12] ; [7 9],[19.72 14.28] ; [9.28 6.72],0
n3,1,0.196667,1.666955,[5 6] ; [4 1],[6.1875 4.8125] ; [2.8125 2.1875],0
s5,1,0.209652,1.57383,[12 21] ; [ 3 13],[10.10204082 22.89795918] ; [ 4.89795918 11.10204082],0
u3,1,0.254524,1.298302,[9 4] ; [2 3],[7.94444444 5.05555556] ; [3.05555556 1.94444444],0
n6,1,0.265956,1.237488,[25  9] ; [14  2],[26.52  7.48] ; [12.48  3.52],0
a7,1,0.266301,1.235703,[20 14] ; [12  4],[21.76 12.24] ; [10.24  5.76],0
a2,1,0.278742,1.173214,[ 6 28] ; [ 5 11],[ 7.48 26.52] ; [ 3.52 12.48],0
u1,1,0.278742,1.173214,[ 6 28] ; [ 5 11],[ 7.48 26.52] ; [ 3.52 12.48],0
p8,1,0.290733,1.116222,[16 18] ; [ 5 11],[14.28 19.72] ; [6.72 9.28],0
r3,1,0.313659,1.015207,[31  3] ; [13  3],[29.92  4.08] ; [14.08  1.92],0
d2,1,0.318477,0.995193,[14 20] ; [9 7],[15.64 18.36] ; [7.36 8.64],0
n1,1,0.329642,0.950303,[6 5] ; [4 1],[6.875 4.125] ; [3.125 1.875],0
v4,1,0.333416,0.935584,[30  3] ; [13  3],[28.95918367  4.04081633] ; [14.04081633  1.95918367],0
s8,1,0.408083,0.68438,[17 17] ; [ 6 10],[15.64 18.36] ; [7.36 8.64],0
r2,1,0.421051,0.647379,[32  2] ; [14  2],[31.28  2.72] ; [14.72  1.28],0
a1,1,0.421051,0.647379,[ 2 32] ; [ 2 14],[ 2.72 31.28] ; [ 1.28 14.72],0
b5,1,0.431725,0.618178,[21 13] ; [8 8],[19.72 14.28] ; [9.28 6.72],0
p11,1,0.433517,0.613383,[23 11] ; [9 7],[21.76 12.24] ; [10.24  5.76],0
p7,1,0.478391,0.502528,[18 15] ; [7 9],[16.83673469 16.16326531] ; [8.16326531 7.83673469],0
a6,1,0.499954,0.455033,[20 14] ; [11  5],[21.08 12.92] ; [9.92 6.08],0
p4,1,0.54429,0.367647,[18 16] ; [7 9],[17. 17.] ; [8. 8.],0
d4,1,0.550986,0.355553,[25  9] ; [13  3],[25.84  8.16] ; [12.16  3.84],0
n4,1,0.561523,0.337073,[26  8] ; [11  5],[25.16  8.84] ; [11.84  4.16],0
b2,1,0.576449,0.31201,[ 8 19] ; [5 8],[ 8.775 18.225] ; [4.225 8.775],0
b3,1,0.576449,0.31201,[ 8 19] ; [5 8],[ 8.775 18.225] ; [4.225 8.775],0
a3,1,0.631214,0.230418,[21 13] ; [11  5],[21.76 12.24] ; [10.24  5.76],0
b4,1,0.631214,0.230418,[21 13] ; [11  5],[21.76 12.24] ; [10.24  5.76],0
v1,1,0.697051,0.151558,[15 19] ; [8 8],[15.64 18.36] ; [7.36 8.64],0
p6,1,0.699988,0.148485,[10 23] ; [ 4 12],[ 9.42857143 23.57142857] ; [ 4.57142857 11.42857143],0
d5,1,0.703525,0.144831,[26  8] ; [13  3],[26.52  7.48] ; [12.48  3.52],0
v3,1,0.71041,0.137868,[13 21] ; [7 9],[13.6 20.4] ; [6.4 9.6],0
d3,1,0.720048,0.128447,[23 11] ; [10  6],[22.44 11.56] ; [10.56  5.44],0
r1,1,0.725369,0.123406,[27  7] ; [12  4],[26.52  7.48] ; [12.48  3.52],0
s1,1,0.754357,0.097906,[ 3 31] ; [ 1 15],[ 2.72 31.28] ; [ 1.28 14.72],0
a5,1,0.804493,0.061275,[20 14] ; [10  6],[20.4 13.6] ; [9.6 6.4],0
v2,1,0.846032,0.037707,[16 18] ; [8 8],[16.32 17.68] ; [7.68 8.32],0
n5,1,0.879514,0.022978,[22 12] ; [10  6],[21.76 12.24] ; [10.24  5.76],0
p3,1,0.884053,0.021267,[11 22] ; [ 5 11],[10.7755102 22.2244898] ; [ 5.2244898 10.7755102],0
r4,1,0.909573,0.0129,[26  8] ; [12  4],[25.84  8.16] ; [12.16  3.84],0
a8,1,0.931671,0.007352,[ 4 26] ; [ 2 12],[ 4.09090909 25.90909091] ; [ 1.90909091 12.09090909],0
p10,1,0.98051,0.000597,[15 19] ; [7 9],[14.96 19.04] ; [7.04 8.96],0
d1,1,1.0,0.0,[17 17] ; [8 8],[17. 17.] ; [8. 8.],0
