Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,75.605724,[ 4 41] ; [186  59],[29.48275862 15.51724138] ; [160.51724138  84.48275862],1
d4,1,0.0,50.240178,[24 21] ; [226  18],[38.92733564  6.07266436] ; [211.07266436  32.92733564],1
d3,1,0.0,28.632044,[17 28] ; [189  56],[31.96551724 13.03448276] ; [174.03448276  70.96551724],1
a4,1,6e-06,20.529548,[ 9 36] ; [139 106],[22.96551724 22.03448276] ; [125.03448276 119.96551724],1
a3,1,1e-05,19.546306,[23 21] ; [201  43],[34.22222222  9.77777778] ; [189.77777778  54.22222222],1
d2,1,0.000211,13.726599,[13 32] ; [143 100],[24.375 20.625] ; [131.625 111.375],1
a2,1,0.002625,9.051507,[ 4 41] ; [ 75 170],[12.25862069 32.74137931] ; [ 66.74137931 178.25862069],0
u1,1,0.005852,7.595339,[ 3 42] ; [ 62 183],[10.0862069 34.9137931] ; [ 54.9137931 190.0862069],0
v1,1,0.011777,6.344206,[19 25] ; [154  89],[26.52264808 17.47735192] ; [146.47735192  96.52264808],0
p4,1,0.014291,6.001855,[22 22] ; [167  75],[29.07692308 14.92307692] ; [159.92307692  82.07692308],0
a5,1,0.014984,5.918367,[30 15] ; [202  43],[36.  9.] ; [196.  49.],0
s8,1,0.045173,4.012152,[19 25] ; [145  99],[25.05555556 18.94444444] ; [138.94444444 105.05555556],0
r3,1,0.084382,2.978422,[41  4] ; [235   8],[43.125  1.875] ; [232.875  10.125],0
v2,1,0.093438,2.814126,[21 23] ; [147  93],[26.02816901 17.97183099] ; [141.97183099  98.02816901],0
p1,1,0.100048,2.70477,[ 9 36] ; [ 27 215],[ 5.6445993 39.3554007] ; [ 30.3554007 211.6445993],0
n1,1,0.154818,2.024122,[3 7] ; [31 26],[5.07462687 4.92537313] ; [28.92537313 28.07462687],0
p2,1,0.162325,1.952428,[35 10] ; [208  34],[38.1010453  6.8989547] ; [204.8989547  37.1010453],0
n2,1,0.198656,1.652225,[8 3] ; [50  7],[9.38235294 1.61764706] ; [48.61764706  8.38235294],0
n4,1,0.269601,1.218774,[32 13] ; [191  52],[34.84375 10.15625] ; [188.15625  54.84375],0
b1,1,0.271686,1.208215,[21 24] ; [ 93 152],[17.68965517 27.31034483] ; [ 96.31034483 148.68965517],0
p10,1,0.303551,1.058527,[36  8] ; [211  30],[38.13333333  5.86666667] ; [208.86666667  32.13333333],0
p3,1,0.30905,1.034731,[23 22] ; [144  99],[26.09375 18.90625] ; [140.90625 102.09375],0
s2,1,0.33395,0.933519,[30 15] ; [179  64],[32.65625 12.34375] ; [176.34375  66.65625],0
s1,1,0.371309,0.799279,[ 3 42] ; [  9 231],[ 1.89473684 43.10526316] ; [ 10.10526316 229.89473684],0
p5,1,0.401268,0.704522,[11 34] ; [ 46 196],[ 8.93728223 36.06271777] ; [ 48.06271777 193.93728223],0
p12,1,0.401794,0.702952,[ 7 38] ; [ 27 215],[ 5.33101045 39.66898955] ; [ 28.66898955 213.33101045],0
p6,1,0.450096,0.57041,[18 26] ; [113 127],[20.29577465 23.70422535] ; [110.70422535 129.29577465],0
p8,1,0.465503,0.53263,[28 16] ; [138 101],[25.80918728 18.19081272] ; [140.19081272  98.80918728],0
r1,1,0.515855,0.422173,[37  8] ; [208  34],[38.41463415  6.58536585] ; [206.58536585  35.41463415],0
a1,1,0.534233,0.386333,[ 2 43] ; [ 17 228],[ 2.94827586 42.05172414] ; [ 16.05172414 228.94827586],0
v3,1,0.589253,0.291513,[18 27] ; [106 133],[19.64788732 25.35211268] ; [104.35211268 134.64788732],0
p11,1,0.591011,0.288768,[36  9] ; [187  58],[34.60344828 10.39655172] ; [188.39655172  56.60344828],0
p7,1,0.606693,0.265018,[31 14] ; [170  64],[32.41935484 12.58064516] ; [168.58064516  65.41935484],0
a6,1,0.614814,0.253225,[27 18] ; [156  88],[28.49480969 16.50519031] ; [154.50519031  89.49480969],0
v4,1,0.704746,0.143582,[44  1] ; [235   8],[43.59375  1.40625] ; [235.40625   7.59375],0
s3,1,0.723139,0.125505,[30 14] ; [170  70],[30.98591549 13.01408451] ; [169.01408451  70.98591549],0
a7,1,0.72972,0.119368,[30 15] ; [169  75],[30.98615917 14.01384083] ; [168.01384083  75.98615917],0
n5,1,0.730563,0.118595,[36  9] ; [188  54],[35.12195122  9.87804878] ; [188.87804878  53.12195122],0
r4,1,0.731653,0.117599,[43  2] ; [231  14],[42.51724138  2.48275862] ; [231.48275862  13.51724138],0
a8,1,0.742397,0.108031,[ 5 39] ; [ 29 191],[ 5.66666667 38.33333333] ; [ 28.33333333 191.66666667],0
b5,1,0.757835,0.095065,[25 20] ; [130 115],[24.05172414 20.94827586] ; [130.94827586 114.05172414],0
u2,1,0.789898,0.070992,[11 11] ; [20 23],[10.49230769 11.50769231] ; [20.50769231 22.49230769],0
u3,1,0.8576,0.032195,[14  8] ; [27 17],[13.66666667  8.33333333] ; [27.33333333 16.66666667],0
n6,1,0.88215,0.021976,[40  5] ; [216  25],[40.27972028  4.72027972] ; [215.72027972  25.27972028],0
s4,1,0.906858,0.01369,[12 33] ; [ 62 178],[11.68421053 33.31578947] ; [ 62.31578947 177.68421053],0
b3,1,0.914746,0.011461,[11 14] ; [66 88],[10.75418994 14.24581006] ; [66.24581006 87.75418994],0
b2,1,0.914746,0.011461,[11 14] ; [66 88],[10.75418994 14.24581006] ; [66.24581006 87.75418994],0
p9,1,0.924587,0.00896,[39  5] ; [213  26],[39.18021201  4.81978799] ; [212.81978799  26.18021201],0
s7,1,0.933107,0.007045,[27 15] ; [152  82],[27.23913043 14.76086957] ; [151.76086957  82.23913043],0
b4,1,0.940383,0.005593,[28 17] ; [151  94],[27.77586207 17.22413793] ; [151.22413793  93.77586207],0
n3,1,0.973424,0.00111,[8 3] ; [41 15],[8.04477612 2.95522388] ; [40.95522388 15.04477612],0
s6,1,0.983938,0.000405,[38  6] ; [207  33],[37.95774648  6.04225352] ; [207.04225352  32.95774648],0
