Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,190.999776,[ 44 216] ; [256  92],[128.28947368 131.71052632] ; [171.71052632 176.28947368],1
d4,1,0.0,180.035074,[140 121] ; [342   6],[206.57142857  54.42857143] ; [275.42857143  72.57142857],1
d3,1,0.0,172.118362,[ 95 165] ; [307  44],[171.06382979  88.93617021] ; [230.93617021 120.06382979],1
d5,1,0.0,156.350271,[149 112] ; [342   8],[209.73977087  51.26022913] ; [281.26022913  68.73977087],1
a2,1,0.0,87.017342,[ 17 244] ; [140 212],[ 66.84665579 194.15334421] ; [ 90.15334421 261.84665579],1
a4,1,0.0,80.31349,[ 65 194] ; [216 134],[119.50574713 139.49425287] ; [161.49425287 188.50574713],1
a5,1,0.0,68.074154,[148 113] ; [304  48],[192.4502447  68.5497553] ; [259.5497553  92.4502447],1
u1,1,0.0,63.098282,[ 11 250] ; [104 248],[ 48.96411093 212.03588907] ; [ 66.03588907 285.96411093],1
a3,1,0.0,43.885206,[148 111] ; [286  64],[184.57471264  74.42528736] ; [249.42528736 100.57471264],1
r2,1,0.0,26.076347,[228  32] ; [339   7],[243.26732673  16.73267327] ; [323.73267327  22.26732673],1
r1,1,0.0,25.650598,[177  82] ; [300  51],[202.5295082  56.4704918] ; [274.4704918  76.5295082],1
p4,1,4e-06,21.092906,[122 139] ; [228 121],[149.75409836 111.24590164] ; [200.24590164 148.75409836],1
s8,1,8e-06,19.824343,[ 86 175] ; [178 171],[112.95737705 148.04262295] ; [151.04262295 197.95737705],1
a6,1,1.1e-05,19.373631,[154 107] ; [265  85],[178.98363339  82.01636661] ; [240.01636661 109.98363339],1
r4,1,1.3e-05,19.014296,[210  51] ; [325  27],[227.78955954  33.21044046] ; [307.21044046  44.78955954],1
n4,1,1.3e-05,19.012655,[207  53] ; [323  29],[225.16339869  34.83660131] ; [304.83660131  47.16339869],1
a7,1,2.2e-05,17.98692,[157 103] ; [268  83],[180.85106383  79.14893617] ; [244.14893617 106.85106383],1
r3,1,0.000115,14.88106,[227  32] ; [336  14],[239.43678161  19.56321839] ; [323.56321839  26.43678161],1
s2,1,0.000286,13.16278,[108 150] ; [197 150],[130.0661157 127.9338843] ; [174.9338843 172.0661157],1
v2,1,0.000328,12.905837,[116 131] ; [211 130],[137.3622449 109.6377551] ; [189.6377551 151.3622449],1
n6,1,0.000393,12.563546,[213  46] ; [323  29],[227.20785597  31.79214403] ; [308.79214403  43.20785597],1
p6,1,0.00073,11.410545,[ 69 188] ; [139 208],[ 88.50331126 168.49668874] ; [119.49668874 227.50331126],1
v4,1,0.001056,10.727532,[232  28] ; [337  14],[242.12765957  17.87234043] ; [326.87234043  24.12765957],0
s5,1,0.002069,9.487672,[ 59 196] ; [119 223],[ 76.03015075 178.96984925] ; [101.96984925 240.03015075],0
v3,1,0.002454,9.174792,[ 84 174] ; [151 186],[101.89915966 156.10084034] ; [133.10084034 203.89915966],0
s7,1,0.003288,8.640335,[102 146] ; [179 156],[119.53344768 128.46655232] ; [161.46655232 173.53344768],0
p3,1,0.003347,8.608207,[103 158] ; [180 170],[120.88870704 140.11129296] ; [162.11129296 187.88870704],0
p11,1,0.008413,6.9434,[192  69] ; [290  62],[205.22349103  55.77650897] ; [276.77650897  75.22349103],0
p8,1,0.014277,6.003544,[113 144] ; [186 158],[127.85856905 129.14143095] ; [171.14143095 172.85856905],0
s3,1,0.019651,5.442662,[129 129] ; [206 140],[143.09602649 114.90397351] ; [191.90397351 154.09602649],0
p12,1,0.019764,5.432649,[  9 251] ; [ 28 321],[ 15.79638752 244.20361248] ; [ 21.20361248 327.79638752],0
v1,1,0.022398,5.214608,[124 130] ; [202 145],[137.77703827 116.22296173] ; [188.22296173 158.77703827],0
p10,1,0.026155,4.945719,[199  58] ; [295  54],[209.50165017  47.49834983] ; [284.49834983  64.50165017],0
p9,1,0.030404,4.686284,[206  51] ; [300  46],[215.65837479  41.34162521] ; [290.34162521  55.65837479],0
p2,1,0.036657,4.366279,[202  58] ; [296  55],[211.91489362  48.08510638] ; [286.08510638  64.91489362],0
s6,1,0.040119,4.212854,[157 101] ; [239 108],[168.87272727  89.12727273] ; [227.12727273 119.87272727],0
u4,1,0.045044,4.016988,[  2 259] ; [ 11 341],[  5.53507341 255.46492659] ; [  7.46492659 344.53507341],0
s4,1,0.067403,3.345161,[ 52 207] ; [ 50 296],[ 43.6661157 215.3338843] ; [ 58.3338843 287.6661157],0
