Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.00631,7.459677,[ 1 17] ; [36 57],[ 6. 12.] ; [31. 62.],0
n4,1,0.010498,6.548347,[10  9] ; [77 19],[14.37391304  4.62608696] ; [72.62608696 23.37391304],0
r3,1,0.018803,5.519762,[15  4] ; [91  5],[17.51304348  1.48695652] ; [88.48695652  7.51304348],0
a7,1,0.041772,4.144409,[16  2] ; [62 34],[12.31578947  5.68421053] ; [65.68421053 30.31578947],0
v1,1,0.054651,3.692716,[ 7 11] ; [60 35],[10.67256637  7.32743363] ; [56.32743363 38.67256637],0
s2,1,0.064301,3.422829,[14  5] ; [48 47],[10.33333333  8.66666667] ; [51.66666667 43.33333333],0
s5,1,0.082789,3.009273,[9 8] ; [29 64],[ 5.87272727 11.12727273] ; [32.12727273 60.87272727],0
d3,1,0.090504,2.865385,[16  2] ; [66 29],[13.0619469  4.9380531] ; [68.9380531 26.0619469],0
s8,1,0.111244,2.536456,[13  6] ; [46 49],[9.83333333 9.16666667] ; [49.16666667 45.83333333],0
s7,1,0.121174,2.402074,[13  6] ; [45 47],[9.92792793 9.07207207] ; [48.07207207 43.92792793],0
p9,1,0.148092,2.091791,[18  1] ; [78 18],[15.86086957  3.13913043] ; [80.13913043 15.86086957],0
p4,1,0.182659,1.775859,[14  5] ; [55 41],[11.4  7.6] ; [57.6 38.4],0
v2,1,0.185186,1.755504,[ 7 11] ; [52 41],[9.56756757 8.43243243] ; [49.43243243 43.56756757],0
u3,1,0.198959,1.65,[6 2] ; [18 18],[4.36363636 3.63636364] ; [19.63636364 16.36363636],0
r1,1,0.20157,1.630963,[12  7] ; [74 22],[14.20869565  4.79130435] ; [71.79130435 24.20869565],0
a8,1,0.246917,1.340666,[ 1 16] ; [15 74],[ 2.56603774 14.43396226] ; [13.43396226 75.56603774],0
b5,1,0.291573,1.112345,[15  4] ; [64 32],[13.05217391  5.94782609] ; [65.94782609 30.05217391],0
b3,1,0.310397,1.028985,[4 9] ; [25 29],[5.62686567 7.37313433] ; [23.37313433 30.62686567],0
b2,1,0.310397,1.028985,[4 9] ; [25 29],[5.62686567 7.37313433] ; [23.37313433 30.62686567],0
p1,1,0.312672,1.019353,[ 3 16] ; [ 8 88],[ 1.8173913 17.1826087] ; [ 9.1826087 86.8173913],0
p10,1,0.37525,0.786207,[16  3] ; [71 24],[14.5  4.5] ; [72.5 22.5],0
u2,1,0.381183,0.766885,[6 2] ; [21 15],[4.90909091 3.09090909] ; [22.09090909 13.90909091],0
a2,1,0.383464,0.759568,[ 5 14] ; [17 79],[ 3.63478261 15.36521739] ; [18.36521739 77.63478261],0
s1,1,0.398076,0.714129,[ 2 17] ; [ 5 88],[ 1.1875 17.8125] ; [ 5.8125 87.1875],0
n6,1,0.414723,0.66522,[14  4] ; [82 14],[15.15789474  2.84210526] ; [80.84210526 15.15789474],0
u1,1,0.478274,0.502797,[ 4 15] ; [14 82],[ 2.97391304 16.02608696] ; [15.02608696 80.97391304],0
r4,1,0.499195,0.456648,[16  3] ; [86 10],[16.85217391  2.14782609] ; [85.14782609 10.85217391],0
p8,1,0.584809,0.298524,[11  8] ; [49 47],[9.91304348 9.08695652] ; [50.08695652 45.91304348],0
n2,1,0.608766,0.261976,[4 1] ; [22 10],[3.51351351 1.48648649] ; [22.48648649  9.51351351],0
s6,1,0.609215,0.261319,[12  7] ; [65 29],[12.94690265  6.05309735] ; [64.05309735 29.94690265],0
p7,1,0.633684,0.227098,[13  5] ; [72 21],[13.78378378  4.21621622] ; [71.21621622 21.78378378],0
p5,1,0.648929,0.207253,[ 1 18] ; [ 8 88],[ 1.48695652 17.51304348] ; [ 7.51304348 88.48695652],0
n5,1,0.672438,0.178764,[14  5] ; [75 21],[14.70434783  4.29565217] ; [74.29565217 21.70434783],0
p11,1,0.672438,0.178764,[14  5] ; [75 21],[14.70434783  4.29565217] ; [74.29565217 21.70434783],0
d4,1,0.685305,0.164215,[16  3] ; [77 19],[15.36521739  3.63478261] ; [77.63478261 18.36521739],0
a3,1,0.705903,0.142403,[11  8] ; [60 36],[11.73043478  7.26956522] ; [59.26956522 36.73043478],0
d1,1,0.765464,0.088991,[11  8] ; [52 44],[10.40869565  8.59130435] ; [52.59130435 43.40869565],0
a4,1,0.800487,0.063866,[ 9 10] ; [42 53],[ 8.5 10.5] ; [42.5 52.5],0
b4,1,0.837558,0.042032,[11  8] ; [58 38],[11.4  7.6] ; [57.6 38.4],0
b1,1,0.881915,0.022065,[ 6 13] ; [32 64],[ 6.27826087 12.72173913] ; [31.72173913 64.27826087],0
a6,1,0.889241,0.019395,[12  7] ; [59 37],[11.73043478  7.26956522] ; [59.26956522 36.73043478],0
p2,1,0.892344,0.018317,[16  3] ; [82 14],[16.19130435  2.80869565] ; [81.80869565 14.19130435],0
d2,1,0.902386,0.015043,[ 9 10] ; [44 52],[ 8.75652174 10.24347826] ; [44.24347826 51.75652174],0
n1,1,0.935075,0.006636,[2 3] ; [13 18],[2.08333333 2.91666667] ; [12.91666667 18.08333333],0
d5,1,0.948622,0.004152,[14  4] ; [74 22],[13.89473684  4.10526316] ; [74.10526316 21.89473684],0
a5,1,0.956814,0.002932,[12  7] ; [60 36],[11.89565217  7.10434783] ; [60.10434783 35.89565217],0
s3,1,0.971262,0.001298,[11  8] ; [54 40],[10.92920354  8.07079646] ; [54.07079646 39.92920354],0
p12,1,0.992166,9.6e-05,[ 1 18] ; [ 5 91],[ 0.99130435 18.00869565] ; [ 5.00869565 90.99130435],0
