Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,27.856457,[ 2 14] ; [76 21],[11.04424779  4.95575221] ; [66.95575221 30.04424779],1
r3,1,0.004154,8.215278,[10  6] ; [86 10],[13.71428571  2.28571429] ; [82.28571429 13.71428571],0
v4,1,0.004427,8.099836,[11  5] ; [88  7],[14.27027027  1.72972973] ; [84.72972973 10.27027027],0
v2,1,0.009319,6.760561,[ 1 15] ; [37 56],[ 5.57798165 10.42201835] ; [32.42201835 60.57798165],0
u3,1,0.011247,6.42588,[3 8] ; [40 19],[6.75714286 4.24285714] ; [36.24285714 22.75714286],0
b1,1,0.014413,5.986818,[10  6] ; [30 67],[ 5.66371681 10.33628319] ; [34.33628319 62.66371681],0
r1,1,0.01737,5.658586,[ 5 11] ; [61 36],[9.34513274 6.65486726] ; [56.65486726 40.34513274],0
s6,1,0.027024,4.889278,[ 3 13] ; [46 49],[7.06306306 8.93693694] ; [41.93693694 53.06306306],0
p9,1,0.04462,4.032952,[7 9] ; [64 28],[10.51851852  5.48148148] ; [60.48148148 31.51851852],0
a8,1,0.045141,4.013356,[ 2 14] ; [ 2 89],[ 0.59813084 15.40186916] ; [ 3.40186916 87.59813084],0
d5,1,0.059851,3.541502,[ 6 10] ; [60 36],[9.42857143 6.57142857] ; [56.57142857 39.42857143],0
s3,1,0.080693,3.050898,[ 4 12] ; [47 50],[7.22123894 8.77876106] ; [43.77876106 53.22123894],0
s2,1,0.086077,2.94626,[ 3 13] ; [40 57],[6.08849558 9.91150442] ; [36.91150442 60.08849558],0
a7,1,0.119158,2.428348,[8 8] ; [67 29],[10.71428571  5.28571429] ; [64.28571429 31.71428571],0
d1,1,0.12957,2.29765,[ 2 14] ; [30 67],[ 4.53097345 11.46902655] ; [27.46902655 69.53097345],0
v3,1,0.139676,2.181528,[ 1 15] ; [20 70],[ 3.16981132 12.83018868] ; [17.83018868 72.16981132],0
a6,1,0.152901,2.04307,[ 5 11] ; [49 48],[7.6460177 8.3539823] ; [46.3539823 50.6460177],0
p11,1,0.172005,1.865377,[7 9] ; [60 37],[9.48672566 6.51327434] ; [57.51327434 39.48672566],0
n6,1,0.182531,1.776899,[7 9] ; [59 37],[9.42857143 6.57142857] ; [56.57142857 39.42857143],0
p3,1,0.31683,1.001988,[ 2 14] ; [23 74],[ 3.53982301 12.46017699] ; [21.46017699 75.53982301],0
a1,1,0.334297,0.932179,[ 1 15] ; [ 2 95],[ 0.42477876 15.57522124] ; [ 2.57522124 94.42477876],0
n3,1,0.355168,0.854906,[6 5] ; [21  9],[7.24390244 3.75609756] ; [19.75609756 10.24390244],0
u2,1,0.358988,0.841429,[5 6] ; [35 23],[6.37681159 4.62318841] ; [33.62318841 24.37681159],0
b2,1,0.376759,0.78125,[1 9] ; [ 9 31],[2. 8.] ; [ 8. 32.],0
b3,1,0.376759,0.78125,[1 9] ; [ 9 31],[2. 8.] ; [ 8. 32.],0
d2,1,0.399696,0.70924,[ 2 14] ; [21 76],[ 3.25663717 12.74336283] ; [19.74336283 77.25663717],0
p10,1,0.414101,0.666996,[8 8] ; [56 36],[9.48148148 6.51851852] ; [54.51851852 37.48148148],0
s7,1,0.47791,0.50363,[ 3 13] ; [25 67],[ 4.14814815 11.85185185] ; [23.85185185 68.14814815],0
p7,1,0.520969,0.411974,[ 6 10] ; [42 49],[7.17757009 8.82242991] ; [40.82242991 50.17757009],0
b5,1,0.556524,0.345759,[9 7] ; [62 35],[10.05309735  5.94690265] ; [60.94690265 36.05309735],0
n1,1,0.575106,0.314213,[2 9] ; [ 8 22],[2.68292683 8.31707317] ; [ 7.31707317 22.68292683],0
a3,1,0.576999,0.311111,[ 5 11] ; [37 59],[ 6. 10.] ; [36. 60.],0
s4,1,0.602528,0.2712,[ 3 13] ; [24 73],[ 3.82300885 12.17699115] ; [23.17699115 73.82300885],0
s8,1,0.602528,0.2712,[ 3 13] ; [24 73],[ 3.82300885 12.17699115] ; [23.17699115 73.82300885],0
p6,1,0.618714,0.247679,[ 3 13] ; [23 71],[ 3.78181818 12.21818182] ; [22.21818182 71.78181818],0
n2,1,0.664513,0.188088,[6 5] ; [18 11],[6.6 4.4] ; [17.4 11.6],0
d3,1,0.66676,0.185415,[8 8] ; [53 42],[8.79279279 7.20720721] ; [52.20720721 42.79279279],0
v1,1,0.741216,0.109061,[ 4 12] ; [27 66],[ 4.55045872 11.44954128] ; [26.44954128 66.55045872],0
n5,1,0.744499,0.106211,[ 6 10] ; [32 64],[ 5.42857143 10.57142857] ; [32.57142857 63.42857143],0
s5,1,0.747871,0.103329,[ 3 13] ; [21 73],[ 3.49090909 12.50909091] ; [20.50909091 73.49090909],0
b4,1,0.778015,0.079471,[10  6] ; [57 40],[9.48672566 6.51327434] ; [57.51327434 39.48672566],0
p8,1,0.785673,0.073948,[ 5 11] ; [33 62],[ 5.47747748 10.52252252] ; [32.52252252 62.47747748],0
p2,1,0.797817,0.065625,[11  5] ; [69 27],[11.42857143  4.57142857] ; [68.57142857 27.42857143],0
p1,1,0.863973,0.02935,[ 1 15] ; [ 5 91],[ 0.85714286 15.14285714] ; [ 5.14285714 90.85714286],0
a4,1,0.921512,0.009708,[ 2 14] ; [13 84],[ 2.12389381 13.87610619] ; [12.87610619 84.12389381],0
d4,1,0.93417,0.006823,[11  5] ; [65 31],[10.85714286  5.14285714] ; [65.14285714 30.85714286],0
p4,1,1.0,0.0,[ 5 11] ; [30 66],[ 5. 11.] ; [30. 66.],0
