Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,6.1e-05,16.07184,[25 30] ; [ 4 41],[15.95 39.05] ; [13.05 31.95],1
v1,1,0.000707,11.471143,[34 24] ; [11 33],[25.58823529 32.41176471] ; [19.41176471 24.58823529],1
a5,1,0.079116,3.082964,[46 13] ; [28 17],[41.98076923 17.01923077] ; [32.01923077 12.98076923],0
p4,1,0.079548,3.074104,[32 26] ; [17 28],[27.59223301 30.40776699] ; [21.40776699 23.59223301],0
a7,1,0.092882,2.823697,[51  8] ; [33 12],[47.65384615 11.34615385] ; [36.34615385  8.65384615],0
r1,1,0.095925,2.772012,[47 11] ; [30 15],[43.3592233 14.6407767] ; [33.6407767 11.3592233],0
a2,1,0.111852,2.527859,[17 42] ; [ 7 38],[13.61538462 45.38461538] ; [10.38461538 34.61538462],0
a6,1,0.120697,2.408252,[45 14] ; [28 17],[41.41346154 17.58653846] ; [31.58653846 13.41346154],0
a3,1,0.120697,2.408252,[45 14] ; [28 17],[41.41346154 17.58653846] ; [31.58653846 13.41346154],0
s3,1,0.149931,2.072949,[32 27] ; [18 27],[28.36538462 30.63461538] ; [21.63461538 23.36538462],0
p7,1,0.179034,1.805626,[31 26] ; [18 26],[27.65346535 29.34653465] ; [21.34653465 22.65346535],0
r3,1,0.233399,1.420029,[57  2] ; [41  4],[55.59615385  3.40384615] ; [42.40384615  2.59615385],0
p5,1,0.273576,1.198727,[ 4 54] ; [ 1 44],[ 2.81553398 55.18446602] ; [ 2.18446602 42.81553398],0
p8,1,0.27383,1.197459,[29 28] ; [18 27],[26.26470588 30.73529412] ; [20.73529412 24.26470588],0
p3,1,0.279621,1.16893,[25 32] ; [15 30],[22.35294118 34.64705882] ; [17.64705882 27.35294118],0
u1,1,0.291469,1.112823,[11 48] ; [ 5 40],[ 9.07692308 49.92307692] ; [ 6.92307692 38.07692308],0
s6,1,0.303529,1.058627,[38 20] ; [25 20],[35.47572816 22.52427184] ; [27.52427184 17.47572816],0
p2,1,0.3195,0.990994,[45 13] ; [31 14],[42.7961165 15.2038835] ; [33.2038835 11.7961165],0
b2,1,0.330703,0.946141,[13 18] ; [ 8 19],[11.22413793 19.77586207] ; [ 9.77586207 17.22413793],0
b3,1,0.330703,0.946141,[13 18] ; [ 8 19],[11.22413793 19.77586207] ; [ 9.77586207 17.22413793],0
b1,1,0.334272,0.932279,[17 42] ; [17 28],[19.28846154 39.71153846] ; [14.71153846 30.28846154],0
p11,1,0.384992,0.754702,[39 20] ; [26 19],[36.875 22.125] ; [28.125 16.875],0
b4,1,0.384992,0.754702,[39 20] ; [26 19],[36.875 22.125] ; [28.125 16.875],0
s7,1,0.396116,0.720085,[20 36] ; [11 29],[18.08333333 37.91666667] ; [12.91666667 27.08333333],0
d5,1,0.40653,0.688925,[58  1] ; [43  2],[57.29807692  1.70192308] ; [43.70192308  1.29807692],0
p9,1,0.41918,0.652613,[43 14] ; [30 14],[41.1980198 15.8019802] ; [31.8019802 12.1980198],0
r2,1,0.436337,0.605896,[55  4] ; [40  5],[53.89423077  5.10576923] ; [41.10576923  3.89423077],0
b5,1,0.436988,0.60418,[41 18] ; [28 17],[39.14423077 19.85576923] ; [29.85576923 15.14423077],0
r4,1,0.531667,0.391204,[47 12] ; [38  7],[48.22115385 10.77884615] ; [36.77884615  8.22115385],0
a4,1,0.556745,0.345372,[27 32] ; [18 27],[25.52884615 33.47115385] ; [19.47115385 25.52884615],0
s4,1,0.583843,0.300063,[13 46] ; [12 33],[14.18269231 44.81730769] ; [10.81730769 34.18269231],0
p6,1,0.597375,0.278973,[15 41] ; [10 35],[13.86138614 42.13861386] ; [11.13861386 33.86138614],0
u3,1,0.613195,0.255549,[11  3] ; [12  5],[10.38709677  3.61290323] ; [12.61290323  4.38709677],0
d2,1,0.636087,0.223897,[34 25] ; [28 17],[35.17307692 23.82692308] ; [26.82692308 18.17307692],0
d3,1,0.689203,0.15995,[55  4] ; [41  4],[54.46153846  4.53846154] ; [41.53846154  3.46153846],0
s1,1,0.724484,0.124237,[ 2 57] ; [ 1 44],[ 1.70192308 57.29807692] ; [ 1.29807692 43.70192308],0
v4,1,0.731746,0.117514,[54  5] ; [42  3],[54.46153846  4.53846154] ; [41.53846154  3.46153846],0
s8,1,0.759101,0.094041,[18 41] ; [15 30],[18.72115385 40.27884615] ; [14.27884615 30.72115385],0
n3,1,0.789034,0.071591,[11  9] ; [13  9],[11.42857143  8.57142857] ; [12.57142857  9.42857143],0
n2,1,0.789034,0.071591,[11  9] ; [13  9],[11.42857143  8.57142857] ; [12.57142857  9.42857143],0
a1,1,0.846177,0.037635,[ 1 58] ; [ 1 44],[ 1.13461538 57.86538462] ; [ 0.86538462 44.13461538],0
p10,1,0.850833,0.035365,[39 18] ; [30 15],[38.55882353 18.44117647] ; [30.44117647 14.55882353],0
n5,1,0.886099,0.020518,[15 44] ; [12 33],[15.31730769 43.68269231] ; [11.68269231 33.31730769],0
n1,1,0.92439,0.009007,[ 6 15] ; [ 6 16],[ 5.86046512 15.13953488] ; [ 6.13953488 15.86046512],0
n6,1,0.945515,0.00467,[37 21] ; [29 16],[37.16504854 20.83495146] ; [28.83495146 16.16504854],0
p1,1,0.963327,0.002114,[ 4 54] ; [ 3 42],[ 3.94174757 54.05825243] ; [ 3.05825243 41.94174757],0
s2,1,0.975221,0.000965,[27 32] ; [20 24],[26.9223301 32.0776699] ; [20.0776699 23.9223301],0
s5,1,0.97715,0.00082,[21 35] ; [17 28],[21.06930693 34.93069307] ; [16.93069307 28.06930693],0
u2,1,0.980588,0.000592,[9 5] ; [11  6],[9.03225806 4.96774194] ; [10.96774194  6.03225806],0
