Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000123,14.748753,[256  33] ; [88 32],[243.07090465  45.92909535] ; [100.92909535  19.07090465],1
v1,1,0.00025,13.415899,[179 103] ; [53 68],[162.34243176 119.65756824] ; [69.65756824 51.34243176],1
s2,1,0.000387,12.595872,[228  62] ; [76 47],[213.46246973  76.53753027] ; [90.53753027 32.46246973],1
s3,1,0.001236,10.435966,[230  59] ; [78 43],[217.10243902  71.89756098] ; [90.89756098 30.10243902],0
p9,1,0.002874,8.88604,[268  22] ; [99 21],[259.58536585  30.41463415] ; [107.41463415  12.58536585],0
p10,1,0.021965,5.248576,[254  34] ; [97 25],[246.55609756  41.44390244] ; [104.44390244  17.55609756],0
s5,1,0.031074,4.648869,[135 142] ; [44 75],[125.20959596 151.79040404] ; [53.79040404 65.20959596],0
u4,1,0.036228,4.386329,[ 15 276] ; [  1 122],[ 11.24637681 279.75362319] ; [  4.75362319 118.24637681],0
d1,1,0.041191,4.168139,[194  97] ; [69 54],[184.86231884 106.13768116] ; [78.13768116 44.86231884],0
n5,1,0.046279,3.971423,[243  47] ; [92 30],[235.80097087  54.19902913] ; [99.19902913 22.80097087],0
v3,1,0.047703,3.920433,[137 142] ; [46 74],[127.96240602 151.03759398] ; [55.03759398 64.96240602],0
n6,1,0.057092,3.619906,[261  28] ; [103  20],[255.33009709  33.66990291] ; [108.66990291  14.33009709],0
p12,1,0.062495,3.469896,[ 34 255] ; [  7 115],[ 28.8296837 260.1703163] ; [ 12.1703163 109.8296837],0
p5,1,0.073215,3.209425,[ 53 233] ; [ 14 109],[ 46.85085575 239.14914425] ; [ 20.14914425 102.85085575],0
v2,1,0.07876,3.090313,[175 106] ; [64 57],[167.06218905 113.93781095] ; [71.93781095 49.06218905],0
a5,1,0.086005,2.9476,[235  56] ; [90 33],[228.44202899  62.55797101] ; [96.55797101 26.44202899],0
a7,1,0.087372,2.922147,[198  93] ; [94 29],[205.24637681  85.75362319] ; [86.75362319 36.24637681],0
a3,1,0.103956,2.643781,[241  49] ; [93 29],[235.09708738  54.90291262] ; [98.90291262 23.09708738],0
b2,1,0.131052,2.279998,[ 93 116] ; [27 51],[ 87.38675958 121.61324042] ; [32.61324042 45.38675958],0
