Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,56.949479,[31 62] ; [182  53],[60.39329268 32.60670732] ; [152.60670732  82.39329268],1
a6,1,1e-06,23.89171,[42 51] ; [173  62],[60.96036585 32.03963415] ; [154.03963415  80.96036585],1
d4,1,0.000352,12.769834,[64 29] ; [202  33],[75.42073171 17.57926829] ; [190.57926829  44.42073171],1
d5,1,0.000606,11.757575,[61 32] ; [195  40],[72.58536585 20.41463415] ; [183.41463415  51.58536585],1
u1,1,0.001382,10.229082,[ 5 88] ; [ 46 189],[14.46036585 78.53963415] ; [ 36.53963415 198.46036585],0
a2,1,0.003755,8.398733,[ 9 84] ; [ 56 179],[18.42987805 74.57012195] ; [ 46.57012195 188.42987805],0
d1,1,0.005293,7.776372,[40 53] ; [141  94],[51.32012195 41.67987805] ; [129.67987805 105.32012195],0
b1,1,0.007622,7.120321,[43 50] ; [ 72 163],[32.60670732 60.39329268] ; [ 82.39329268 152.60670732],0
r4,1,0.013469,6.106427,[74 19] ; [211  24],[80.80792683 12.19207317] ; [204.19207317  30.80792683],0
p2,1,0.016267,5.773828,[55 38] ; [171  64],[64.07926829 28.92073171] ; [161.92073171  73.07926829],0
v2,1,0.022182,5.231417,[35 52] ; [123 102],[44.05769231 42.94230769] ; [113.94230769 111.05769231],0
r1,1,0.022883,5.177385,[61 32] ; [182  52],[69.11009174 23.88990826] ; [173.88990826  60.11009174],0
u3,1,0.085871,2.950123,[14 16] ; [53 29],[17.94642857 12.05357143] ; [49.05357143 32.94642857],0
p10,1,0.102632,2.664165,[58 34] ; [167  64],[64.08668731 27.91331269] ; [160.91331269  70.08668731],0
b3,1,0.117257,2.453582,[27 33] ; [40 81],[22.20994475 37.79005525] ; [44.79005525 76.20994475],0
b2,1,0.117257,2.453582,[27 33] ; [40 81],[22.20994475 37.79005525] ; [44.79005525 76.20994475],0
b5,1,0.117458,2.450894,[54 39] ; [158  77],[60.1097561 32.8902439] ; [151.8902439  83.1097561],0
