Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,1.6e-05,18.664897,[31 49] ; [44 14],[43.47826087 36.52173913] ; [31.52173913 26.47826087],1
v2,1,5e-05,16.455556,[29 52] ; [41 17],[40.79136691 40.20863309] ; [29.20863309 28.79136691],1
r4,1,0.003537,8.507537,[59 23] ; [55  5],[65.83098592 16.16901408] ; [48.16901408 11.83098592],0
n4,1,0.003537,8.507537,[59 23] ; [55  5],[65.83098592 16.16901408] ; [48.16901408 11.83098592],0
d5,1,0.004056,8.25859,[57 25] ; [53  6],[63.97163121 18.02836879] ; [46.02836879 12.97163121],0
n5,1,0.00553,7.697406,[60 22] ; [55  5],[66.4084507 15.5915493] ; [48.5915493 11.4084507],0
b3,1,0.012798,6.196808,[18 40] ; [22 17],[23.91752577 34.08247423] ; [16.08247423 22.91752577],0
b2,1,0.012798,6.196808,[18 40] ; [22 17],[23.91752577 34.08247423] ; [16.08247423 22.91752577],0
n6,1,0.013081,6.158168,[62 20] ; [55  5],[67.56338028 14.43661972] ; [49.43661972 10.56338028],0
s8,1,0.016195,5.781608,[38 44] ; [40 20],[45.04225352 36.95774648] ; [32.95774648 27.04225352],0
a3,1,0.017752,5.620445,[52 30] ; [49 11],[58.32394366 23.67605634] ; [42.67605634 17.32394366],0
b5,1,0.028913,4.772778,[41 41] ; [19 41],[34.64788732 47.35211268] ; [25.35211268 34.64788732],0
r1,1,0.032429,4.575666,[52 30] ; [48 12],[57.74647887 24.25352113] ; [42.25352113 17.74647887],0
p5,1,0.081125,3.042225,[12 69] ; [16 44],[16.08510638 64.91489362] ; [11.91489362 48.08510638],0
s2,1,0.085138,2.963976,[40 42] ; [38 22],[45.04225352 36.95774648] ; [32.95774648 27.04225352],0
u3,1,0.09525,2.783326,[17 13] ; [3 8],[14.63414634 15.36585366] ; [5.36585366 5.63414634],0
p8,1,0.095543,2.778416,[47 34] ; [43 17],[51.70212766 29.29787234] ; [38.29787234 21.70212766],0
s7,1,0.101743,2.678003,[43 35] ; [40 18],[47.60294118 30.39705882] ; [35.39705882 22.60294118],0
a1,1,0.109008,2.568546,[ 2 80] ; [ 5 55],[ 4.04225352 77.95774648] ; [ 2.95774648 57.04225352],0
p7,1,0.114653,2.488889,[56 24] ; [49 11],[60. 20.] ; [45. 15.],0
d4,1,0.124633,2.35811,[59 23] ; [49 10],[62.80851064 19.19148936] ; [45.19148936 13.80851064],0
v4,1,0.136047,2.222112,[71 10] ; [57  3],[73.53191489  7.46808511] ; [54.46808511  5.53191489],0
d3,1,0.142454,2.151246,[39 43] ; [36 24],[43.30985915 38.69014085] ; [31.69014085 28.30985915],0
b1,1,0.14669,2.106337,[47 35] ; [27 33],[42.73239437 39.26760563] ; [31.26760563 28.73239437],0
s5,1,0.151713,2.054942,[29 48] ; [29 29],[33.08148148 43.91851852] ; [24.91851852 33.08148148],0
d1,1,0.204331,1.611144,[39 43] ; [35 25],[42.73239437 39.26760563] ; [31.26760563 28.73239437],0
p10,1,0.213294,1.548924,[62 19] ; [51  9],[64.91489362 16.08510638] ; [48.08510638 11.91489362],0
u1,1,0.216076,1.530241,[ 2 80] ; [ 4 56],[ 3.46478873 78.53521127] ; [ 2.53521127 57.46478873],0
n2,1,0.216358,1.528365,[13  7] ; [11  2],[14.54545455  5.45454545] ; [9.45454545 3.54545455],0
s6,1,0.251372,1.315665,[55 25] ; [45 13],[57.97101449 22.02898551] ; [42.02898551 15.97101449],0
p3,1,0.266071,1.236891,[50 32] ; [42 18],[53.12676056 28.87323944] ; [38.87323944 21.12676056],0
a5,1,0.271089,1.21123,[53 29] ; [44 16],[56.01408451 25.98591549] ; [40.98591549 19.01408451],0
b4,1,0.289034,1.124114,[47 35] ; [29 31],[43.88732394 38.11267606] ; [32.11267606 27.88732394],0
a4,1,0.292286,1.109063,[41 40] ; [25 35],[37.91489362 43.08510638] ; [28.08510638 31.91489362],0
r3,1,0.29499,1.096708,[74  8] ; [57  3],[75.64788732  6.35211268] ; [55.35211268  4.64788732],0
s4,1,0.29709,1.087211,[18 64] ; [ 9 51],[15.5915493 66.4084507] ; [11.4084507 48.5915493],0
p2,1,0.300315,1.072797,[64 16] ; [52  8],[66.28571429 13.71428571] ; [49.71428571 10.28571429],0
a6,1,0.30679,1.044445,[26 56] ; [24 36],[28.87323944 53.12676056] ; [21.12676056 38.87323944],0
p1,1,0.367099,0.813462,[ 9 72] ; [ 4 56],[ 7.46808511 73.53191489] ; [ 5.53191489 54.46808511],0
n3,1,0.409328,0.680751,[12  7] ; [10  3],[13.0625  5.9375] ; [8.9375 4.0625],0
u4,1,0.413429,0.668919,[ 2 80] ; [ 3 57],[ 2.88732394 79.11267606] ; [ 2.11267606 57.88732394],0
a2,1,0.41586,0.661984,[ 7 75] ; [ 3 57],[ 5.77464789 76.22535211] ; [ 4.22535211 55.77464789],0
s3,1,0.433754,0.612749,[46 35] ; [38 22],[48.25531915 32.74468085] ; [35.74468085 24.25531915],0
