Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,3.9e-05,16.937729,[11 19] ; [41  9],[19.5 10.5] ; [32.5 17.5],1
s4,1,0.009637,6.700855,[10 20] ; [ 5 45],[ 5.625 24.375] ; [ 9.375 40.625],0
p10,1,0.012462,6.243926,[ 7 22] ; [26 23],[12.26923077 16.73076923] ; [20.73076923 28.26923077],0
d4,1,0.016203,5.780721,[25  5] ; [28 21],[20.12658228  9.87341772] ; [32.87341772 16.12658228],0
s7,1,0.019396,5.465446,[ 4 21] ; [20 26],[ 8.45070423 16.54929577] ; [15.54929577 30.45070423],0
p3,1,0.020337,5.382762,[15 15] ; [12 37],[10.25316456 19.74683544] ; [16.74683544 32.25316456],0
p9,1,0.02508,5.018342,[ 9 20] ; [27 20],[13.73684211 15.26315789] ; [22.26315789 24.73684211],0
r3,1,0.043944,4.0587,[24  6] ; [29 21],[19.875 10.125] ; [33.125 16.875],0
n6,1,0.044724,4.029023,[14 16] ; [34 15],[18.2278481 11.7721519] ; [29.7721519 19.2278481],0
n3,1,0.111741,2.529423,[8 3] ; [11 14],[5.80555556 5.19444444] ; [13.19444444 11.80555556],0
a5,1,0.118918,2.43152,[18 12] ; [21 29],[14.625 15.375] ; [24.375 25.625],0
p7,1,0.170082,1.882219,[16 14] ; [18 30],[13.07692308 16.92307692] ; [20.92307692 27.07692308],0
p2,1,0.170623,1.87746,[13 17] ; [29 20],[15.94936709 14.05063291] ; [26.05063291 22.94936709],0
p4,1,0.195323,1.677001,[15 14] ; [18 31],[12.26923077 16.73076923] ; [20.73076923 28.26923077],0
d5,1,0.198895,1.650469,[20 10] ; [26 24],[17.25 12.75] ; [28.75 21.25],0
d3,1,0.218159,1.516441,[15 15] ; [18 32],[12.375 17.625] ; [20.625 29.375],0
a8,1,0.243539,1.359992,[ 1 29] ; [ 5 42],[ 2.33766234 27.66233766] ; [ 3.66233766 43.33766234],0
a4,1,0.251306,1.316027,[13 17] ; [15 34],[10.63291139 19.36708861] ; [17.36708861 31.63291139],0
v1,1,0.266212,1.236163,[ 8 21] ; [20 30],[10.27848101 18.72151899] ; [17.72151899 32.27848101],0
b4,1,0.322539,0.978624,[19 11] ; [26 24],[16.875 13.125] ; [28.125 21.875],0
u2,1,0.33355,0.935065,[6 8] ; [ 6 16],[4.66666667 9.33333333] ; [ 7.33333333 14.66666667],0
s2,1,0.403831,0.696889,[13 17] ; [17 33],[11.25 18.75] ; [18.75 31.25],0
b2,1,0.416976,0.658822,[ 5 12] ; [12 17],[ 6.2826087 10.7173913] ; [10.7173913 18.2826087],0
b3,1,0.416976,0.658822,[ 5 12] ; [12 17],[ 6.2826087 10.7173913] ; [10.7173913 18.2826087],0
r1,1,0.418341,0.654971,[14 16] ; [28 22],[15.75 14.25] ; [26.25 23.75],0
a1,1,0.441418,0.592593,[ 2 28] ; [ 6 44],[ 3. 27.] ; [ 5. 45.],0
r2,1,0.467119,0.528783,[21  8] ; [39 10],[22.30769231  6.69230769] ; [37.69230769 11.30769231],0
u3,1,0.501436,0.451896,[6 8] ; [ 7 15],[5.05555556 8.94444444] ; [ 7.94444444 14.05555556],0
s5,1,0.59087,0.288988,[ 8 19] ; [12 38],[ 7.01298701 19.98701299] ; [12.98701299 37.01298701],0
n1,1,0.598823,0.276774,[4 8] ; [11 15],[4.73684211 7.26315789] ; [10.26315789 15.73684211],0
r4,1,0.600471,0.274286,[18 12] ; [27 23],[16.875 13.125] ; [28.125 21.875],0
b5,1,0.644167,0.213333,[14 16] ; [26 24],[15. 15.] ; [25. 25.],0
d2,1,0.659175,0.194528,[15 15] ; [22 27],[14.05063291 15.94936709] ; [22.94936709 26.05063291],0
p8,1,0.680947,0.169062,[ 8 21] ; [16 34],[ 8.81012658 20.18987342] ; [15.18987342 34.81012658],0
v2,1,0.683651,0.166045,[12 18] ; [17 31],[11.15384615 18.84615385] ; [17.84615385 30.15384615],0
s8,1,0.708005,0.140277,[ 7 22] ; [14 36],[ 7.70886076 21.29113924] ; [13.29113924 36.70886076],0
s6,1,0.72933,0.119728,[12 16] ; [23 26],[12.72727273 15.27272727] ; [22.27272727 26.72727273],0
s1,1,0.759235,0.093933,[ 3 27] ; [ 4 46],[ 2.625 27.375] ; [ 4.375 45.625],0
p1,1,0.826495,0.048048,[ 2 28] ; [ 4 46],[ 2.25 27.75] ; [ 3.75 46.25],0
v4,1,0.829023,0.046637,[22  8] ; [37 12],[22.40506329  7.59493671] ; [36.59493671 12.40506329],0
s3,1,0.836113,0.042794,[13 15] ; [22 28],[12.56410256 15.43589744] ; [22.43589744 27.56410256],0
p6,1,0.855672,0.033083,[ 6 23] ; [11 38],[ 6.32051282 22.67948718] ; [10.67948718 38.32051282],0
d1,1,0.858909,0.0316,[12 18] ; [19 31],[11.625 18.375] ; [19.375 30.625],0
a6,1,0.901896,0.015195,[10 20] ; [16 34],[ 9.75 20.25] ; [16.25 33.75],0
a3,1,0.943099,0.005094,[16 13] ; [28 22],[16.15189873 12.84810127] ; [27.84810127 22.15189873],0
b1,1,0.952116,0.003606,[19 11] ; [32 18],[19.125 10.875] ; [31.875 18.125],0
n2,1,0.970323,0.001384,[7 5] ; [15 11],[6.94736842 5.05263158] ; [15.05263158 10.94736842],0
v3,1,1.0,0.0,[ 8 17] ; [16 34],[ 8. 17.] ; [16. 34.],0
