Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.005954,7.56427,[35  7] ; [10 10],[30.48387097 11.51612903] ; [14.51612903  5.48387097],0
v2,1,0.00773,7.095026,[16 24] ; [14  4],[20.68965517 19.31034483] ; [9.31034483 8.68965517],0
b4,1,0.029748,4.72381,[17 25] ; [14  6],[21. 21.] ; [10. 10.],0
r4,1,0.033062,4.542588,[30 12] ; [19  1],[33.19354839  8.80645161] ; [15.80645161  4.19354839],0
r1,1,0.033062,4.542588,[30 12] ; [19  1],[33.19354839  8.80645161] ; [15.80645161  4.19354839],0
a5,1,0.036878,4.356057,[22 20] ; [16  4],[25.74193548 16.25806452] ; [12.25806452  7.74193548],0
a6,1,0.039185,4.252834,[32 10] ; [10 10],[28.4516129 13.5483871] ; [13.5483871  6.4516129],0
p1,1,0.057811,3.599093,[ 2 40] ; [ 4 16],[ 4.06451613 37.93548387] ; [ 1.93548387 18.06451613],0
p4,1,0.089654,2.880566,[22 20] ; [15  5],[25.06451613 16.93548387] ; [11.93548387  8.06451613],0
a4,1,0.125443,2.348011,[ 9 33] ; [ 8 12],[11.51612903 30.48387097] ; [ 5.48387097 14.51612903],0
p7,1,0.145023,2.123832,[32  7] ; [13  7],[29.74576271  9.25423729] ; [15.25423729  4.74576271],0
n4,1,0.15027,2.069505,[15 27] ; [11  9],[17.61290323 24.38709677] ; [ 8.38709677 11.61290323],0
n1,1,0.164264,1.934524,[6 3] ; [1 3],[4.84615385 4.15384615] ; [2.15384615 1.84615385],0
s1,1,0.191239,1.708044,[ 1 41] ; [ 2 18],[ 2.03225806 39.96774194] ; [ 0.96774194 19.03225806],0
p2,1,0.22797,1.45348,[35  7] ; [14  6],[33.19354839  8.80645161] ; [15.80645161  4.19354839],0
u2,1,0.351425,0.868304,[12  7] ; [8 2],[13.10344828  5.89655172] ; [6.89655172 3.10344828],0
s7,1,0.37024,0.80286,[16 24] ; [ 5 13],[14.48275862 25.51724138] ; [ 6.51724138 11.48275862],0
b3,1,0.376204,0.783069,[ 5 20] ; [4 8],[ 6.08108108 18.91891892] ; [2.91891892 9.08108108],0
b2,1,0.376204,0.783069,[ 5 20] ; [4 8],[ 6.08108108 18.91891892] ; [2.91891892 9.08108108],0
s5,1,0.425707,0.634507,[10 32] ; [ 3 17],[ 8.80645161 33.19354839] ; [ 4.19354839 15.80645161],0
p5,1,0.432565,0.615928,[ 2 40] ; [ 2 18],[ 2.70967742 39.29032258] ; [ 1.29032258 18.70967742],0
d5,1,0.461301,0.542736,[33  9] ; [14  6],[31.83870968 10.16129032] ; [15.16129032  4.83870968],0
b1,1,0.472135,0.516974,[23 19] ; [ 9 11],[21.67741935 20.32258065] ; [10.32258065  9.67741935],0
d1,1,0.479555,0.499874,[17 25] ; [10 10],[18.29032258 23.70967742] ; [ 8.70967742 11.29032258],0
b5,1,0.481639,0.49515,[29 13] ; [12  8],[27.77419355 14.22580645] ; [13.22580645  6.77419355],0
d2,1,0.505833,0.442676,[14 28] ; [ 5 15],[12.87096774 29.12903226] ; [ 6.12903226 13.87096774],0
n3,1,0.505985,0.442361,[5 4] ; [3 1],[5.53846154 3.46153846] ; [2.46153846 1.53846154],0
u3,1,0.506984,0.440286,[13  6] ; [5 4],[12.21428571  6.78571429] ; [5.78571429 3.21428571],0
n2,1,0.52179,0.410354,[8 1] ; [3 1],[7.61538462 1.38461538] ; [3.38461538 0.61538462],0
r3,1,0.540849,0.373968,[38  4] ; [19  1],[38.61290323  3.38709677] ; [18.38709677  1.61290323],0
p12,1,0.585329,0.297698,[ 1 41] ; [ 1 19],[ 1.35483871 40.64516129] ; [ 0.64516129 19.35483871],0
u1,1,0.585329,0.297698,[ 1 41] ; [ 1 19],[ 1.35483871 40.64516129] ; [ 0.64516129 19.35483871],0
s3,1,0.586883,0.295238,[22 20] ; [ 9 11],[21. 21.] ; [10. 10.],0
p3,1,0.586883,0.295238,[20 22] ; [11  9],[21. 21.] ; [10. 10.],0
