Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,30.338706,[16 53] ; [26  6],[28.69306931 40.30693069] ; [13.30693069 18.69306931],1
s7,1,0.0,29.075765,[ 7 59] ; [20 12],[18.18367347 47.81632653] ; [ 8.81632653 23.18367347],1
s6,1,1.7e-05,18.520413,[21 48] ; [25  8],[31.11764706 37.88235294] ; [14.88235294 18.11764706],1
s5,1,2e-05,18.142292,[ 4 65] ; [13 20],[11.5 57.5] ; [ 5.5 27.5],1
s4,1,0.000168,14.162905,[ 6 64] ; [13 20],[12.91262136 57.08737864] ; [ 6.08737864 26.91262136],1
s8,1,0.000306,13.032989,[ 9 60] ; [15 18],[16.23529412 52.76470588] ; [ 7.76470588 25.23529412],1
n6,1,0.001218,10.46298,[41 28] ; [30  3],[48.02941176 20.97058824] ; [22.97058824 10.02941176],0
p10,1,0.001557,10.010308,[32 35] ; [26  6],[39.25252525 27.74747475] ; [18.74747475 13.25252525],0
r4,1,0.004332,8.13933,[42 28] ; [29  4],[48.25242718 21.74757282] ; [22.74757282 10.25242718],0
r2,1,0.0106,6.531225,[53 16] ; [32  1],[57.5 11.5] ; [27.5  5.5],0
v2,1,0.015671,5.839409,[14 48] ; [15 17],[19.12765957 42.87234043] ; [ 9.87234043 22.12765957],0
u1,1,0.018463,5.551663,[ 1 69] ; [ 4 29],[ 3.39805825 66.60194175] ; [ 1.60194175 31.39805825],0
p11,1,0.020108,5.402526,[41 29] ; [27  6],[46.21359223 23.78640777] ; [21.78640777 11.21359223],0
s1,1,0.023443,5.135394,[ 2 66] ; [ 5 28],[ 4.71287129 63.28712871] ; [ 2.28712871 30.71287129],0
p9,1,0.029503,4.738017,[39 26] ; [27  6],[43.7755102 21.2244898] ; [22.2244898 10.7755102],0
r3,1,0.040456,4.198645,[47 21] ; [29  4],[51.16831683 16.83168317] ; [24.83168317  8.16831683],0
r1,1,0.044703,4.029816,[33 35] ; [23 10],[37.7029703 30.2970297] ; [18.2970297 14.7029703],0
b3,1,0.066798,3.36,[13 22] ; [ 3 18],[10. 25.] ; [ 6. 15.],0
