Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,3e-06,21.724572,[39 50] ; [ 18 103],[24.15714286 64.84285714] ; [32.84285714 88.15714286],1
r3,1,0.000111,14.944203,[87  4] ; [93 29],[76.90140845 14.09859155] ; [103.09859155  18.90140845],1
d1,1,0.002196,9.378264,[53 39] ; [45 78],[41.93488372 50.06511628] ; [56.06511628 66.93488372],0
v1,1,0.002405,9.211752,[45 45] ; [36 86],[34.38679245 55.61320755] ; [46.61320755 75.38679245],0
d4,1,0.002973,8.824037,[77 14] ; [82 41],[67.61214953 23.38785047] ; [91.38785047 31.61214953],0
d5,1,0.003734,8.409038,[75 17] ; [78 45],[65.46976744 26.53023256] ; [87.53023256 35.46976744],0
r1,1,0.004145,8.219264,[69 22] ; [70 53],[59.10747664 31.89252336] ; [79.89252336 43.10747664],0
d3,1,0.011018,6.462335,[63 29] ; [63 60],[53.91627907 38.08372093] ; [72.08372093 50.91627907],0
p4,1,0.012925,6.1794,[39 53] ; [32 90],[30.52336449 61.47663551] ; [40.47663551 81.52336449],0
a5,1,0.0159,5.813935,[65 27] ; [67 56],[56.48372093 35.51627907] ; [75.51627907 47.48372093],0
b1,1,0.045745,3.990956,[26 66] ; [51 72],[32.94883721 59.05116279] ; [44.05116279 78.94883721],0
p11,1,0.046729,3.955115,[68 24] ; [75 48],[61.19069767 30.80930233] ; [81.80930233 41.19069767],0
s6,1,0.054242,3.705225,[44 47] ; [43 79],[37.16901408 53.83098592] ; [49.83098592 72.16901408],0
a7,1,0.060527,3.522892,[70 21] ; [80 43],[63.78504673 27.21495327] ; [86.21495327 36.78504673],0
a8,1,0.063862,3.434134,[ 4 83] ; [ 14 102],[ 7.71428571 79.28571429] ; [ 10.28571429 105.71428571],0
p12,1,0.074921,3.171782,[ 7 85] ; [  3 120],[ 4.27906977 87.72093023] ; [  5.72093023 117.27906977],0
r4,1,0.080369,3.057432,[74 18] ; [86 37],[68.46511628 23.53488372] ; [91.53488372 31.46511628],0
p2,1,0.135659,2.226521,[63 29] ; [72 51],[57.76744186 34.23255814] ; [77.23255814 45.76744186],0
n2,1,0.152558,2.046483,[22  7] ; [25 17],[19.1971831  9.8028169] ; [27.8028169 14.1971831],0
n1,1,0.152834,2.043734,[ 6 23] ; [15 26],[ 8.7 20.3] ; [12.3 28.7],0
p6,1,0.153506,2.037058,[11 79] ; [  8 114],[ 8.06603774 81.93396226] ; [ 10.93396226 111.06603774],0
p10,1,0.155408,2.01835,[62 30] ; [70 51],[57.01408451 34.98591549] ; [74.98591549 46.01408451],0
a3,1,0.161352,1.961509,[56 36] ; [62 59],[50.96713615 41.03286385] ; [67.03286385 53.96713615],0
n6,1,0.168065,1.900117,[70 22] ; [83 40],[65.46976744 26.53023256] ; [87.53023256 35.46976744],0
n5,1,0.181769,1.783105,[51 40] ; [80 43],[55.70560748 35.29439252] ; [75.29439252 47.70560748],0
n3,1,0.201993,1.627907,[21  9] ; [22 18],[18.42857143 11.57142857] ; [24.57142857 15.42857143],0
p3,1,0.210052,1.57107,[26 65] ; [26 97],[22.11214953 68.88785047] ; [29.88785047 93.11214953],0
p9,1,0.261864,1.258876,[66 25] ; [79 42],[62.24056604 28.75943396] ; [82.75943396 38.24056604],0
v4,1,0.266383,1.235279,[80 12] ; [100  23],[77.02325581 14.97674419] ; [102.97674419  20.02325581],0
s2,1,0.276103,1.186172,[26 64] ; [27 94],[22.60663507 67.39336493] ; [30.39336493 90.60663507],0
r2,1,0.278215,1.175788,[83  9] ; [104  18],[80.39252336 11.60747664] ; [106.60747664  15.39252336],0
u2,1,0.282287,1.156045,[20 16] ; [27 34],[17.44329897 18.55670103] ; [29.55670103 31.44329897],0
p8,1,0.351324,0.868669,[23 69] ; [24 98],[20.20560748 71.79439252] ; [26.79439252 95.20560748],0
s3,1,0.37233,0.795873,[32 58] ; [36 85],[29.00473934 60.99526066] ; [38.99526066 82.00473934],0
u4,1,0.399948,0.708484,[ 2 90] ; [  1 122],[ 1.28372093 90.71627907] ; [  1.71627907 121.28372093],0
p5,1,0.402481,0.700902,[ 3 89] ; [  7 116],[ 4.27906977 87.72093023] ; [  5.72093023 117.27906977],0
s8,1,0.408391,0.683479,[14 78] ; [ 14 109],[11.98139535 80.01860465] ; [ 16.01860465 106.98139535],0
a2,1,0.417085,0.658514,[10 82] ; [ 18 105],[11.98139535 80.01860465] ; [ 16.01860465 106.98139535],0
s1,1,0.45616,0.555299,[ 2 88] ; [  5 118],[ 2.95774648 87.04225352] ; [  4.04225352 118.95774648],0
d2,1,0.483116,0.491821,[37 53] ; [44 77],[34.54976303 55.45023697] ; [46.45023697 74.54976303],0
b4,1,0.53022,0.39397,[56 36] ; [80 43],[58.19534884 33.80465116] ; [77.80465116 45.19534884],0
u1,1,0.583091,0.301265,[ 7 85] ; [ 12 111],[ 8.13023256 83.86976744] ; [ 10.86976744 112.13023256],0
p1,1,0.583091,0.301265,[ 7 85] ; [ 12 111],[ 8.13023256 83.86976744] ; [ 10.86976744 112.13023256],0
s5,1,0.661711,0.191452,[14 72] ; [22 96],[15.17647059 70.82352941] ; [20.82352941 97.17647059],0
b5,1,0.706312,0.141989,[53 39] ; [74 49],[54.34418605 37.65581395] ; [72.65581395 50.34418605],0
b2,1,0.769398,0.085944,[17 26] ; [25 43],[16.27027027 26.72972973] ; [25.72972973 42.27027027],0
b3,1,0.769398,0.085944,[17 26] ; [25 43],[16.27027027 26.72972973] ; [25.72972973 42.27027027],0
a6,1,0.793083,0.068806,[59 33] ; [81 42],[59.90697674 32.09302326] ; [80.09302326 42.90697674],0
a1,1,0.800388,0.06393,[ 6 86] ; [  7 116],[ 5.5627907 86.4372093] ; [  7.4372093 115.5627907],0
n4,1,0.891066,0.018757,[56 36] ; [76 47],[56.48372093 35.51627907] ; [75.51627907 47.48372093],0
s4,1,0.898623,0.016231,[14 77] ; [ 18 104],[13.6713615 77.3286385] ; [ 18.3286385 103.6713615],0
a4,1,0.972116,0.001222,[34 58] ; [45 76],[34.12206573 57.87793427] ; [44.87793427 76.12206573],0
