Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,0.014372,5.991873,[ 3 11] ; [10  5],[6.27586207 7.72413793] ; [6.72413793 8.27586207],0
v1,1,0.038807,4.269295,[ 1 13] ; [6 9],[ 3.37931034 10.62068966] ; [ 3.62068966 11.37931034],0
a3,1,0.048954,3.876923,[ 3 10] ; [9 6],[5.57142857 7.42857143] ; [6.42857143 8.57142857],0
b4,1,0.076823,3.130856,[11  3] ; [7 8],[8.68965517 5.31034483] ; [9.31034483 5.68965517],0
d3,1,0.076823,3.130856,[ 3 11] ; [8 7],[5.31034483 8.68965517] ; [5.68965517 9.31034483],0
a6,1,0.089019,2.892033,[ 4 10] ; [9 6],[6.27586207 7.72413793] ; [6.72413793 8.27586207],0
n5,1,0.095882,2.772736,[8 6] ; [ 4 11],[5.79310345 8.20689655] ; [6.20689655 8.79310345],0
d4,1,0.095882,2.772736,[6 8] ; [11  4],[8.20689655 5.79310345] ; [8.79310345 6.20689655],0
d1,1,0.121573,2.396939,[ 2 12] ; [6 9],[ 3.86206897 10.13793103] ; [ 4.13793103 10.86206897],0
a5,1,0.121573,2.396939,[ 2 12] ; [6 9],[ 3.86206897 10.13793103] ; [ 4.13793103 10.86206897],0
p11,1,0.153046,2.041629,[ 3 11] ; [7 8],[4.82758621 9.17241379] ; [5.17241379 9.82758621],0
n6,1,0.197631,1.659799,[8 6] ; [ 5 10],[6.27586207 7.72413793] ; [6.72413793 8.27586207],0
a4,1,0.23099,1.434756,[ 2 12] ; [ 5 10],[ 3.37931034 10.62068966] ; [ 3.62068966 11.37931034],0
s4,1,0.311405,1.024707,[ 4 10] ; [ 2 13],[ 2.89655172 11.10344828] ; [ 3.10344828 11.89655172],0
p10,1,0.315691,1.006714,[ 1 13] ; [ 3 12],[ 1.93103448 12.06896552] ; [ 2.06896552 12.93103448],0
p8,1,0.356981,0.848485,[ 2 12] ; [ 4 10],[ 3. 11.] ; [ 3. 11.],0
v2,1,0.359339,0.840201,[6 8] ; [ 4 11],[4.82758621 9.17241379] ; [5.17241379 9.82758621],0
r1,1,0.359339,0.840201,[6 8] ; [ 4 11],[4.82758621 9.17241379] ; [5.17241379 9.82758621],0
b3,1,0.368688,0.808081,[3 8] ; [1 8],[2.2 8.8] ; [1.8 7.2],0
b2,1,0.368688,0.808081,[3 8] ; [1 8],[2.2 8.8] ; [1.8 7.2],0
u2,1,0.402388,0.701178,[6 5] ; [2 4],[5.17647059 5.82352941] ; [2.82352941 3.17647059],0
a8,1,0.456973,0.553299,[ 2 11] ; [ 1 14],[ 1.39285714 11.60714286] ; [ 1.60714286 13.39285714],0
n3,1,0.480478,0.497778,[2 2] ; [7 3],[2.57142857 1.42857143] ; [6.42857143 3.57142857],0
r4,1,0.500802,0.453236,[ 2 12] ; [ 1 14],[ 1.44827586 12.55172414] ; [ 1.55172414 13.44827586],0
s3,1,0.5051,0.444205,[5 8] ; [ 4 11],[4.17857143 8.82142857] ; [ 4.82142857 10.17857143],0
r3,1,0.572645,0.318277,[6 8] ; [8 7],[6.75862069 7.24137931] ; [7.24137931 7.75862069],0
b5,1,0.572645,0.318277,[8 6] ; [7 8],[7.24137931 6.75862069] ; [7.75862069 7.24137931],0
d5,1,0.572645,0.318277,[8 6] ; [7 8],[7.24137931 6.75862069] ; [7.75862069 7.24137931],0
a2,1,0.58438,0.299206,[ 1 13] ; [ 2 13],[ 1.44827586 12.55172414] ; [ 1.55172414 13.44827586],0
s1,1,0.58438,0.299206,[ 1 13] ; [ 2 13],[ 1.44827586 12.55172414] ; [ 1.55172414 13.44827586],0
s5,1,0.58438,0.299206,[ 1 13] ; [ 2 13],[ 1.44827586 12.55172414] ; [ 1.55172414 13.44827586],0
p1,1,0.58438,0.299206,[ 1 13] ; [ 2 13],[ 1.44827586 12.55172414] ; [ 1.55172414 13.44827586],0
s6,1,0.59737,0.27898,[6 8] ; [ 5 10],[5.31034483 8.68965517] ; [5.68965517 9.31034483],0
p3,1,0.662521,0.190476,[ 4 10] ; [ 3 11],[ 3.5 10.5] ; [ 3.5 10.5],0
p6,1,0.686239,0.163187,[ 2 11] ; [ 3 11],[ 2.40740741 10.59259259] ; [ 2.59259259 11.40740741],0
d2,1,0.781793,0.07672,[ 4 10] ; [ 5 10],[4.34482759 9.65517241] ; [ 4.65517241 10.34482759],0
p4,1,0.781793,0.07672,[ 4 10] ; [ 5 10],[4.34482759 9.65517241] ; [ 4.65517241 10.34482759],0
u3,1,0.793258,0.068687,[3 8] ; [2 4],[3.23529412 7.76470588] ; [1.76470588 4.23529412],0
b1,1,0.812126,0.056494,[9 5] ; [9 6],[8.68965517 5.31034483] ; [9.31034483 5.68965517],0
p7,1,0.812126,0.056494,[5 9] ; [6 9],[5.31034483 8.68965517] ; [5.68965517 9.31034483],0
p2,1,0.836687,0.042491,[6 8] ; [7 8],[6.27586207 7.72413793] ; [6.72413793 8.27586207],0
n1,1,0.851596,0.035,[1 3] ; [3 7],[1.14285714 2.85714286] ; [2.85714286 7.14285714],0
v4,1,0.857541,0.032222,[7 7] ; [7 8],[6.75862069 7.24137931] ; [7.24137931 7.75862069],0
s7,1,0.866784,0.028139,[ 2 10] ; [ 2 12],[ 1.84615385 10.15384615] ; [ 2.15384615 11.84615385],0
s2,1,0.908697,0.013152,[ 4 10] ; [ 4 11],[ 3.86206897 10.13793103] ; [ 4.13793103 10.86206897],0
