Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,40.450214,[34 88] ; [166  99],[63.04909561 58.95090439] ; [136.95090439 128.04909561],1
r3,1,0.000355,12.756911,[111  12] ; [265   5],[117.67938931   5.32061069] ; [258.32061069  11.67938931],1
b1,1,0.000943,10.93616,[60 64] ; [ 84 186],[45.31979695 78.68020305] ; [ 98.68020305 171.31979695],1
s4,1,0.009051,6.812661,[29 94] ; [ 35 233],[ 20.13299233 102.86700767] ; [ 43.86700767 224.13299233],0
d1,1,0.019721,5.436444,[68 56] ; [181  89],[78.36548223 45.63451777] ; [170.63451777  99.36548223],0
p3,1,0.025019,5.022544,[63 60] ; [170  99],[73.10969388 49.89030612] ; [159.89030612 109.10969388],0
r4,1,0.028498,4.797704,[110  14] ; [256  14],[115.18781726   8.81218274] ; [250.81218274  19.18781726],0
p11,1,0.038875,4.26632,[99 25] ; [237  33],[105.74619289  18.25380711] ; [230.25380711  39.74619289],0
p7,1,0.041935,4.137832,[80 41] ; [200  63],[88.22916667 32.77083333] ; [191.77083333  71.22916667],0
u1,1,0.044303,4.044959,[ 18 106] ; [ 63 207],[25.49238579 98.50761421] ; [ 55.50761421 214.49238579],0
d4,1,0.061997,3.483133,[98 25] ; [234  35],[104.17346939  18.82653061] ; [227.82653061  41.17346939],0
a5,1,0.069783,3.288129,[89 35] ; [216  54],[95.98984772 28.01015228] ; [209.01015228  60.98984772],0
d3,1,0.078255,3.100771,[80 44] ; [197  72],[87.39949109 36.60050891] ; [189.60050891  79.39949109],0
p6,1,0.080343,3.057947,[48 74] ; [130 136],[55.96907216 66.03092784] ; [122.03092784 143.96907216],0
n6,1,0.094689,2.792796,[105  18] ; [243  24],[109.75384615  13.24615385] ; [238.24615385  28.75384615],0
a6,1,0.095916,2.772164,[75 49] ; [185  83],[82.24489796 41.75510204] ; [177.75510204  90.24489796],0
n5,1,0.10089,2.691422,[101  23] ; [235  33],[106.28571429  17.71428571] ; [229.71428571  38.28571429],0
d5,1,0.17509,1.838817,[99 24] ; [231  38],[103.54591837  19.45408163] ; [226.45408163  42.54591837],0
s7,1,0.198806,1.651121,[58 58] ; [148 111],[63.72266667 52.27733333] ; [142.27733333 116.72266667],0
p4,1,0.206755,1.594003,[82 42] ; [194  74],[87.30612245 36.69387755] ; [188.69387755  79.30612245],0
d2,1,0.212788,1.552355,[55 69] ; [137 131],[60.73469388 63.26530612] ; [131.26530612 136.73469388],0
v4,1,0.248724,1.330454,[117   6] ; [260   7],[118.9   4.1] ; [258.1   8.9],0
a2,1,0.254197,1.300087,[26 98] ; [ 71 199],[30.52791878 93.47208122] ; [ 66.47208122 203.52791878],0
n4,1,0.302286,1.064081,[98 26] ; [225  45],[101.65482234  22.34517766] ; [221.34517766  48.65482234],0
p12,1,0.326683,0.962002,[ 11 113] ; [ 33 237],[ 13.84771574 110.15228426] ; [ 30.15228426 239.84771574],0
a4,1,0.348097,0.880381,[55 69] ; [133 136],[59.31806616 64.68193384] ; [128.68193384 140.31806616],0
a3,1,0.368703,0.80803,[89 34] ; [206  63],[92.56377551 30.43622449] ; [202.43622449  66.56377551],0
p2,1,0.3757,0.784726,[107  16] ; [243  27],[109.54198473  13.45801527] ; [240.45801527  29.54198473],0
b4,1,0.381311,0.76647,[70 54] ; [165 105],[73.95939086 50.04060914] ; [161.04060914 108.95939086],0
u2,1,0.431698,0.618252,[22 13] ; [35 29],[20.15151515 14.84848485] ; [36.84848485 27.15151515],0
p9,1,0.443838,0.586339,[119   5] ; [262   7],[120.21374046   3.78625954] ; [260.78625954   8.21374046],0
a8,1,0.449664,0.5715,[ 14 100] ; [ 37 205],[16.33146067 97.66853933] ; [ 34.66853933 207.33146067],0
r1,1,0.46675,0.52966,[101  23] ; [227  42],[103.49109415  20.50890585] ; [224.50890585  44.49109415],0
s3,1,0.521885,0.410167,[71 51] ; [145 120],[68.09302326 53.90697674] ; [147.90697674 117.09302326],0
u3,1,0.545777,0.364936,[24 11] ; [40 24],[22.62626263 12.37373737] ; [41.37373737 22.62626263],0
s5,1,0.563157,0.334268,[52 66] ; [108 156],[49.42408377 68.57591623] ; [110.57591623 153.42408377],0
n1,1,0.566498,0.328578,[13 14] ; [16 23],[11.86363636 15.13636364] ; [17.13636364 21.86363636],0
