Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,9.4e-05,15.244153,[35 72] ; [20  7],[43.91791045 63.08208955] ; [11.08208955 15.91791045],1
p8,1,0.000113,14.901107,[23 84] ; [16 11],[31.14179104 75.85820896] ; [ 7.85820896 19.14179104],1
p2,1,0.001471,10.115195,[55 52] ; [23  4],[62.28358209 44.71641791] ; [15.71641791 11.28358209],0
p4,1,0.003944,8.309271,[35 72] ; [17 10],[41.52238806 65.47761194] ; [10.47761194 16.52238806],0
p3,1,0.004905,7.914176,[29 78] ; [15 12],[35.13432836 71.86567164] ; [ 8.86567164 18.13432836],0
s7,1,0.004964,7.892433,[28 71] ; [15 11],[34.056 64.944] ; [ 8.944 17.056],0
r3,1,0.005954,7.564051,[70 38] ; [24  2],[75.76119403 32.23880597] ; [18.23880597  7.76119403],0
u1,1,0.00617,7.5,[  8 100] ; [ 7 20],[12. 96.] ; [ 3. 24.],0
r4,1,0.009451,6.735584,[63 45] ; [23  4],[68.8 39.2] ; [17.2  9.8],0
v4,1,0.011911,6.324008,[80 28] ; [26  1],[84.8 23.2] ; [21.2  5.8],0
n6,1,0.019268,5.477064,[61 46] ; [22  5],[66.2761194 40.7238806] ; [16.7238806 10.2761194],0
s2,1,0.047953,3.911638,[34 74] ; [14 13],[38.4 69.6] ; [ 9.6 17.4],0
p10,1,0.072122,3.234048,[42 63] ; [16 11],[46.13636364 58.86363636] ; [11.86363636 15.13636364],0
b4,1,0.084978,2.967033,[60 48] ; [10 17],[56. 52.] ; [14. 13.],0
r1,1,0.097863,2.740035,[60 46] ; [20  7],[63.7593985 42.2406015] ; [16.2406015 10.7593985],0
d3,1,0.105059,2.627014,[58 49] ; [18  7],[61.60606061 45.39393939] ; [14.39393939 10.60606061],0
u2,1,0.106681,2.602708,[13 27] ; [7 5],[15.38461538 24.61538462] ; [4.61538462 7.38461538],0
a7,1,0.131141,2.278946,[66 42] ; [20  6],[69.31343284 38.68656716] ; [16.68656716  9.31343284],0
b2,1,0.1315,2.274712,[18 44] ; [7 7],[20.39473684 41.60526316] ; [4.60526316 9.39473684],0
b3,1,0.1315,2.274712,[18 44] ; [7 7],[20.39473684 41.60526316] ; [4.60526316 9.39473684],0
b5,1,0.132762,2.259905,[63 45] ; [20  7],[66.4 41.6] ; [16.6 10.4],0
p9,1,0.133286,2.253814,[52 51] ; [18  9],[55.46153846 47.53846154] ; [14.53846154 12.46153846],0
d1,1,0.139451,2.184001,[43 65] ; [15 12],[46.4 61.6] ; [11.6 15.4],0
s4,1,0.16194,1.956019,[19 89] ; [ 8 19],[21.6 86.4] ; [ 5.4 21.6],0
s8,1,0.18791,1.733927,[24 84] ; [ 9 17],[26.59701493 81.40298507] ; [ 6.40298507 19.59701493],0
b1,1,0.188941,1.725852,[67 41] ; [13 14],[64. 44.] ; [16. 11.],0
p5,1,0.23931,1.384657,[ 8 98] ; [ 4 23],[ 9.56390977 96.43609023] ; [ 2.43609023 24.56390977],0
a4,1,0.24064,1.376839,[38 68] ; [13 14],[40.64661654 65.35338346] ; [10.35338346 16.64661654],0
a1,1,0.243206,1.361917,[12 96] ; [ 1 26],[10.4 97.6] ; [ 2.6 24.4],0
s3,1,0.257642,1.281381,[46 60] ; [15 12],[48.61654135 57.38345865] ; [12.38345865 14.61654135],0
u4,1,0.285248,1.141917,[  1 107] ; [ 1 26],[  1.6 106.4] ; [ 0.4 26.6],0
d2,1,0.296963,1.087782,[47 59] ; [15 12],[49.41353383 56.58646617] ; [12.58646617 14.41353383],0
n5,1,0.372858,0.794118,[66 42] ; [19  8],[68. 40.] ; [17. 10.],0
v3,1,0.403386,0.698208,[23 81] ; [ 4 23],[21.4351145 82.5648855] ; [ 5.5648855 21.4351145],0
n1,1,0.422219,0.644131,[21 30] ; [5 4],[22.1 28.9] ; [3.9 5.1],0
s5,1,0.427816,0.628746,[24 82] ; [ 7 16],[25.47286822 80.52713178] ; [ 5.52713178 17.47286822],0
s6,1,0.442507,0.589773,[47 61] ; [13 12],[48.72180451 59.27819549] ; [11.27819549 13.72180451],0
d5,1,0.456739,0.553874,[70 37] ; [19  7],[71.60150376 35.39849624] ; [17.39849624  8.60150376],0
n3,1,0.481051,0.49648,[27 23] ; [6 3],[27.96610169 22.03389831] ; [5.03389831 3.96610169],0
p1,1,0.493563,0.46875,[11 97] ; [ 4 23],[12. 96.] ; [ 3. 24.],0
v1,1,0.497092,0.461139,[35 72] ; [ 7 20],[33.53731343 73.46268657] ; [ 8.46268657 18.53731343],0
d4,1,0.497092,0.461139,[72 35] ; [20  7],[73.46268657 33.53731343] ; [18.53731343  8.46268657],0
p12,1,0.559305,0.340909,[  2 106] ; [ 1 26],[  2.4 105.6] ; [ 0.6 26.4],0
a3,1,0.563859,0.333067,[67 38] ; [15 11],[65.72519084 39.27480916] ; [16.27480916  9.72519084],0
n2,1,0.643861,0.213728,[31 22] ; [6 3],[31.62903226 21.37096774] ; [5.37096774 3.62903226],0
u3,1,0.64638,0.210495,[17 23] ; [6 6],[17.69230769 22.30769231] ; [5.30769231 6.69230769],0
a8,1,0.660067,0.193443,[12 93] ; [ 2 22],[11.39534884 93.60465116] ; [ 2.60465116 21.39534884],0
a2,1,0.726677,0.122184,[17 91] ; [ 5 22],[17.6 90.4] ; [ 4.4 22.6],0
n4,1,0.764852,0.08947,[64 43] ; [17 10],[64.67910448 42.32089552] ; [16.32089552 10.67910448],0
s1,1,0.793336,0.068634,[10 96] ; [ 3 24],[10.36090226 95.63909774] ; [ 2.63909774 24.36090226],0
a6,1,0.831525,0.045261,[57 50] ; [15 12],[57.49253731 49.50746269] ; [14.50746269 12.49253731],0
a5,1,0.931094,0.007477,[59 49] ; [15 12],[59.2 48.8] ; [14.8 12.2],0
