Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.006952,7.285339,[18 49] ; [ 1 29],[13.12371134 53.87628866] ; [ 5.87628866 24.12371134],0
r2,1,0.018439,5.553925,[63  2] ; [25  5],[60.21052632  4.78947368] ; [27.78947368  2.21052632],0
a2,1,0.023041,5.165436,[18 49] ; [ 2 28],[13.81443299 53.18556701] ; [ 6.18556701 23.81443299],0
p8,1,0.024758,5.040701,[57  9] ; [20 10],[52.9375 13.0625] ; [24.0625  5.9375],0
d3,1,0.028012,4.827328,[50 16] ; [16 14],[45.375 20.625] ; [20.625  9.375],0
p10,1,0.040945,4.178281,[61  4] ; [24  6],[58.15789474  6.84210526] ; [26.84210526  3.15789474],0
v4,1,0.056093,3.649285,[63  2] ; [26  4],[60.89473684  4.10526316] ; [28.10526316  1.89473684],0
n2,1,0.090969,2.857143,[12  3] ; [2 3],[10.5  4.5] ; [3.5 1.5],0
p1,1,0.119191,2.427917,[24 43] ; [ 6 24],[20.72164948 46.27835052] ; [ 9.27835052 20.72164948],0
u2,1,0.122398,2.386364,[9 5] ; [2 5],[7.33333333 6.66666667] ; [3.66666667 3.33333333],0
p6,1,0.139098,2.18791,[44 21] ; [15 14],[40.79787234 24.20212766] ; [18.20212766 10.79787234],0
v2,1,0.145593,2.117822,[38 26] ; [13 17],[34.72340426 29.27659574] ; [16.27659574 13.72340426],0
u4,1,0.154289,2.029331,[ 2 64] ; [ 3 27],[ 3.4375 62.5625] ; [ 1.5625 28.4375],0
a6,1,0.161201,1.962921,[45 21] ; [16 14],[41.9375 24.0625] ; [19.0625 10.9375],0
b1,1,0.181994,1.781269,[26 41] ; [16 14],[29.01030928 37.98969072] ; [12.98969072 17.01030928],0
p12,1,0.259114,1.273485,[18 48] ; [ 5 25],[15.8125 50.1875] ; [ 7.1875 22.8125],0
b5,1,0.264945,1.242734,[35 32] ; [12 18],[32.46391753 34.53608247] ; [14.53608247 15.46391753],0
r3,1,0.306446,1.045933,[59  6] ; [29  1],[60.21052632  4.78947368] ; [27.78947368  2.21052632],0
a5,1,0.329834,0.949551,[53 14] ; [21  9],[51.11340206 15.88659794] ; [22.88659794  7.11340206],0
v1,1,0.344322,0.894272,[46 18] ; [18 11],[44.04301075 19.95698925] ; [19.95698925  9.04301075],0
d2,1,0.34557,0.889658,[35 31] ; [19 11],[37.125 28.875] ; [16.875 13.125],0
s7,1,0.405381,0.692308,[45 15] ; [20 10],[43.33333333 16.66666667] ; [21.66666667  8.33333333],0
s6,1,0.413047,0.670013,[54  7] ; [23  5],[52.7752809  8.2247191] ; [24.2247191  3.7752809],0
s5,1,0.417163,0.658293,[41 17] ; [18 11],[39.33333333 18.66666667] ; [19.66666667  9.33333333],0
n6,1,0.41804,0.655819,[63  2] ; [28  2],[62.26315789  2.73684211] ; [28.73684211  1.26315789],0
d4,1,0.426061,0.633535,[57  9] ; [24  6],[55.6875 10.3125] ; [25.3125  4.6875],0
n3,1,0.436275,0.606061,[9 6] ; [2 3],[8.25 6.75] ; [2.75 2.25],0
p4,1,0.477809,0.503861,[55 10] ; [27  3],[56.10526316  8.89473684] ; [25.89473684  4.10526316],0
p9,1,0.491388,0.473486,[62  4] ; [27  3],[61.1875  4.8125] ; [27.8125  2.1875],0
s2,1,0.540701,0.374242,[39 26] ; [16 14],[37.63157895 27.36842105] ; [17.36842105 12.63157895],0
s1,1,0.553013,0.351947,[ 7 60] ; [ 2 28],[ 6.21649485 60.78350515] ; [ 2.78350515 27.21649485],0
s8,1,0.589455,0.291196,[40 24] ; [17 13],[38.80851064 25.19148936] ; [18.19148936 11.80851064],0
a8,1,0.656013,0.198403,[10 47] ; [ 4 25],[ 9.27906977 47.72093023] ; [ 4.72093023 24.27906977],0
p2,1,0.674435,0.176458,[58  9] ; [26  3],[58.625  8.375] ; [25.375  3.625],0
p7,1,0.675389,0.175362,[51 13] ; [25  5],[51.74468085 12.25531915] ; [24.25531915  5.74468085],0
a4,1,0.686084,0.163358,[32 35] ; [13 17],[31.08247423 35.91752577] ; [13.91752577 16.08247423],0
r1,1,0.691692,0.15726,[55 11] ; [24  6],[54.3125 11.6875] ; [24.6875  5.3125],0
s3,1,0.695123,0.153595,[40 24] ; [20 10],[40.85106383 23.14893617] ; [19.14893617 10.85106383],0
v3,1,0.731762,0.1175,[36 28] ; [18 12],[36.76595745 27.23404255] ; [17.23404255 12.76595745],0
p3,1,0.764475,0.089766,[51 15] ; [24  6],[51.5625 14.4375] ; [23.4375  6.5625],0
a3,1,0.787589,0.0726,[53 14] ; [23  7],[52.49484536 14.50515464] ; [23.50515464  6.49484536],0
n5,1,0.793348,0.068626,[64  3] ; [29  1],[64.2371134  2.7628866] ; [28.7628866  1.2371134],0
d5,1,0.832455,0.044755,[54 12] ; [24  6],[53.625 12.375] ; [24.375  5.625],0
s4,1,0.910142,0.012737,[ 8 56] ; [ 4 26],[ 8.17021277 55.82978723] ; [ 3.82978723 26.17021277],0
n1,1,0.911557,0.012338,[8 6] ; [3 2],[8.10526316 5.89473684] ; [2.89473684 2.10526316],0
d1,1,0.936103,0.006427,[43 24] ; [19 11],[42.82474227 24.17525773] ; [19.17525773 10.82474227],0
r4,1,0.946558,0.004493,[60  7] ; [27  3],[60.09278351  6.90721649] ; [26.90721649  3.09278351],0
p11,1,0.97566,0.000931,[56 11] ; [25  5],[55.94845361 11.05154639] ; [25.05154639  4.94845361],0
b4,1,0.977891,0.000768,[40 27] ; [18 12],[40.06185567 26.93814433] ; [17.93814433 12.06185567],0
a1,1,0.989392,0.000177,[ 9 58] ; [ 4 26],[ 8.97938144 58.02061856] ; [ 4.02061856 25.97938144],0
b3,1,0.994295,5.1e-05,[23 25] ; [11 12],[22.98591549 25.01408451] ; [11.01408451 11.98591549],0
b2,1,0.994295,5.1e-05,[23 25] ; [11 12],[22.98591549 25.01408451] ; [11.01408451 11.98591549],0
u3,1,1.0,0.0,[8 6] ; [4 3],[8. 6.] ; [4. 3.],0
