Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,1e-06,24.470088,[  8 245] ; [16 67],[ 18.07142857 234.92857143] ; [ 5.92857143 77.07142857],1
s6,1,7e-06,20.275517,[118 135] ; [61 20],[135.58982036 117.41017964] ; [43.41017964 37.58982036],1
s2,1,0.000226,13.599955,[ 68 185] ; [40 42],[ 81.5641791 171.4358209] ; [26.4358209 55.5641791],1
d4,1,0.001232,10.442342,[199  55] ; [78  5],[208.77744807  45.22255193] ; [68.22255193 14.77744807],0
b5,1,0.004338,8.136592,[167  87] ; [40 43],[156.01780415  97.98219585] ; [50.98219585 32.01780415],0
p3,1,0.005158,7.823169,[ 96 157] ; [46 37],[106.92261905 146.07738095] ; [35.07738095 47.92261905],0
a5,1,0.005344,7.759138,[167  87] ; [68 15],[177.12166172  76.87833828] ; [57.87833828 25.12166172],0
v1,1,0.007658,7.111641,[119 127] ; [53 28],[129.39449541 116.60550459] ; [42.60550459 38.39449541],0
a7,1,0.010589,6.533099,[199  53] ; [54 29],[190.31641791  61.68358209] ; [62.68358209 20.31641791],0
s3,1,0.013252,6.135129,[ 90 162] ; [41 39],[ 99.43373494 152.56626506] ; [31.56626506 48.43373494],0
r4,1,0.01835,5.562451,[217  37] ; [79  4],[223.09792285  30.90207715] ; [72.90207715 10.09792285],0
s4,1,0.020224,5.392432,[ 28 225] ; [17 63],[ 34.18918919 218.81081081] ; [10.81081081 69.18918919],0
p6,1,0.026988,4.891604,[ 64 187] ; [31 50],[ 71.82228916 179.17771084] ; [23.17771084 57.82228916],0
p12,1,0.027024,4.889301,[ 11 243] ; [ 9 73],[ 15.11904762 238.88095238] ; [ 4.88095238 77.11904762],0
b2,1,0.03155,4.62278,[39 88] ; [21 22],[44.82352941 82.17647059] ; [15.17647059 27.82352941],0
b3,1,0.03155,4.62278,[39 88] ; [21 22],[44.82352941 82.17647059] ; [15.17647059 27.82352941],0
a1,1,0.037785,4.314676,[  6 248] ; [ 6 77],[  9.04451039 244.95548961] ; [ 2.95548961 80.04451039],0
d1,1,0.043292,4.083965,[133 121] ; [54 29],[140.94362018 113.05637982] ; [46.05637982 36.94362018],0
a4,1,0.053122,3.740079,[ 95 159] ; [41 42],[102.50445104 151.49554896] ; [33.49554896 49.50445104],0
s8,1,0.053219,3.737038,[ 48 206] ; [24 59],[ 54.26706231 199.73293769] ; [17.73293769 65.26706231],0
p7,1,0.063363,3.447085,[140 107] ; [56 26],[147.14893617  99.85106383] ; [48.85106383 33.14893617],0
n6,1,0.100896,2.691328,[206  47] ; [74  9],[210.83333333  42.16666667] ; [69.16666667 13.83333333],0
p8,1,0.120246,2.414114,[123 127] ; [49 34],[129.12912913 120.87087087] ; [42.87087087 40.12912913],0
v4,1,0.147054,2.10255,[237  17] ; [80  2],[239.63690476  14.36309524] ; [77.36309524  4.63690476],0
