Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.008063,7.019446,[1 6] ; [108  61],[4.33522727 2.66477273] ; [104.66477273  64.33522727],0
p12,1,0.065064,3.403358,[1 6] ; [  4 163],[0.20114943 6.79885057] ; [  4.79885057 162.20114943],0
p1,1,0.06731,3.347422,[2 5] ; [ 14 155],[0.63636364 6.36363636] ; [ 15.36363636 153.63636364],0
p2,1,0.102434,2.667232,[3 4] ; [121  48],[4.93181818 2.06818182] ; [119.06818182  49.93181818],0
b4,1,0.118125,2.442013,[6 1] ; [95 75],[3.99435028 3.00564972] ; [97.00564972 72.99435028],0
a5,1,0.128326,2.312644,[3 4] ; [119  51],[4.82485876 2.17514124] ; [117.17514124  52.82485876],0
s2,1,0.178833,1.807295,[2 5] ; [92 77],[3.73863636 3.26136364] ; [90.26136364 78.73863636],0
p7,1,0.210831,1.565709,[2 5] ; [88 79],[3.62068966 3.37931034] ; [86.37931034 80.62068966],0
p4,1,0.222533,1.48796,[2 5] ; [87 80],[3.58045977 3.41954023] ; [85.41954023 81.58045977],0
b1,1,0.229002,1.447047,[5 2] ; [82 88],[3.44067797 3.55932203] ; [83.55932203 86.44067797],0
p8,1,0.239413,1.384049,[4 3] ; [ 59 108],[2.53448276 4.46551724] ; [ 60.46551724 106.53448276],0
s3,1,0.255037,1.295499,[2 4] ; [96 73],[3.36 2.64] ; [94.64 74.36],0
v1,1,0.359942,0.838095,[2 5] ; [78 91],[3.18181818 3.81818182] ; [76.81818182 92.18181818],0
a3,1,0.382964,0.761164,[5 1] ; [112  57],[4.01142857 1.98857143] ; [112.98857143  56.01142857],0
d1,1,0.383073,0.760815,[5 2] ; [93 77],[3.87570621 3.12429379] ; [94.12429379 75.87570621],0
p3,1,0.408933,0.681902,[4 3] ; [70 99],[2.94318182 4.05681818] ; [71.05681818 97.94318182],0
s7,1,0.422961,0.642073,[2 4] ; [78 78],[2.96296296 3.03703704] ; [77.03703704 78.96296296],0
a2,1,0.453281,0.562435,[1 6] ; [ 46 124],[1.85875706 5.14124294] ; [ 45.14124294 124.85875706],0
d5,1,0.472433,0.516281,[5 2] ; [138  30],[5.72 1.28] ; [137.28  30.72],0
n6,1,0.480127,0.498575,[6 1] ; [124  44],[5.2 1.8] ; [124.8  43.2],0
a4,1,0.507722,0.43876,[2 4] ; [80 90],[2.79545455 3.20454545] ; [79.20454545 90.79545455],0
d3,1,0.553407,0.351249,[4 3] ; [114  54],[4.72 2.28] ; [113.28  54.72],0
b5,1,0.561728,0.336722,[4 3] ; [115  55],[4.70621469 2.29378531] ; [114.29378531  55.70621469],0
p5,1,0.581498,0.303819,[1 6] ; [ 14 154],[0.6 6.4] ; [ 14.4 153.6],0
d2,1,0.589201,0.291593,[3 4] ; [90 79],[3.69886364 3.30113636] ; [89.30113636 79.69886364],0
n5,1,0.589438,0.291223,[5 2] ; [103  65],[4.32 2.68] ; [103.68  64.32],0
d4,1,0.623239,0.241342,[5 2] ; [133  35],[5.52 1.48] ; [132.48  35.52],0
s4,1,0.676775,0.173779,[2 5] ; [ 37 132],[1.55113636 5.44886364] ; [ 37.44886364 131.55113636],0
s5,1,0.68879,0.160398,[3 4] ; [ 56 102],[2.5030303 4.4969697] ; [ 56.4969697 101.5030303],0
n4,1,0.698658,0.149872,[5 2] ; [108  60],[4.52 2.48] ; [108.48  59.52],0
v2,1,0.6995,0.148992,[3 4] ; [82 81],[3.5 3.5] ; [81.5 81.5],0
v3,1,0.705637,0.142674,[3 4] ; [ 57 102],[2.53012048 4.46987952] ; [ 57.46987952 101.53012048],0
u3,1,0.720351,0.128157,[1 1] ; [35 21],[1.24137931 0.75862069] ; [34.75862069 21.24137931],0
u1,1,0.735821,0.113834,[1 6] ; [ 33 137],[1.34463277 5.65536723] ; [ 32.65536723 137.34463277],0
p6,1,0.801431,0.06325,[2 5] ; [ 55 111],[2.30635838 4.69364162] ; [ 54.69364162 111.30635838],0
p9,1,0.827113,0.047701,[5 2] ; [110  53],[4.73529412 2.26470588] ; [110.26470588  52.73529412],0
a7,1,0.881052,0.022391,[5 2] ; [125  44],[5.17045455 1.82954545] ; [124.82954545  44.17045455],0
n3,1,0.897716,0.016524,[3 1] ; [42 12],[3.10344828 0.89655172] ; [41.89655172 12.10344828],0
s6,1,0.941009,0.005476,[5 2] ; [115  49],[4.9122807 2.0877193] ; [115.0877193  48.9122807],0
s8,1,0.950096,0.003917,[3 4] ; [70 98],[2.92 4.08] ; [70.08 97.92],0
p10,1,0.978004,0.00076,[4 3] ; [94 69],[4.03529412 2.96470588] ; [93.96470588 69.03529412],0
