Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,43.963263,[107   9] ; [14 20],[93.57333333 22.42666667] ; [27.42666667  6.57333333],1
n6,1,2.5e-05,17.76268,[106  10] ; [21 13],[98.21333333 17.78666667] ; [28.78666667  5.21333333],1
s4,1,0.000228,13.58398,[  9 106] ; [11 23],[15.43624161 99.56375839] ; [ 4.56375839 29.43624161],1
n2,1,0.005965,7.560753,[24  7] ; [3 7],[20.41463415 10.58536585] ; [6.58536585 3.41463415],0
p4,1,0.027105,4.884089,[55 60] ; [ 9 25],[49.39597315 65.60402685] ; [14.60402685 19.39597315],0
s8,1,0.03395,4.497215,[58 58] ; [10 24],[52.58666667 63.41333333] ; [15.41333333 18.58666667],0
p10,1,0.03949,4.239643,[91 24] ; [21 13],[86.44295302 28.55704698] ; [25.55704698  8.44295302],0
u1,1,0.047194,3.938456,[33 83] ; [ 4 30],[28.61333333 87.38666667] ; [ 8.38666667 25.61333333],0
n1,1,0.047726,3.919596,[13 16] ; [1 9],[10.41025641 18.58974359] ; [3.58974359 6.41025641],0
u2,1,0.048398,3.896104,[14 13] ; [8 1],[16.5 10.5] ; [5.5 3.5],0
a7,1,0.08382,2.989238,[77 38] ; [28  6],[81.04026846 33.95973154] ; [23.95973154 10.04026846],0
a5,1,0.084566,2.974882,[86 30] ; [20 14],[81.97333333 34.02666667] ; [24.02666667  9.97333333],0
p9,1,0.087223,2.924901,[90 25] ; [21 12],[86.25 28.75] ; [24.75  8.25],0
d3,1,0.087701,2.916073,[74 42] ; [27  7],[78.10666667 37.89333333] ; [22.89333333 11.10666667],0
s2,1,0.098293,2.733018,[62 52] ; [13 21],[57.77027027 56.22972973] ; [17.22972973 16.77027027],0
d4,1,0.109155,2.56642,[91 24] ; [31  3],[94.16107383 20.83892617] ; [27.83892617  6.16107383],0
s6,1,0.112561,2.517897,[81 34] ; [19 15],[77.18120805 37.81879195] ; [22.81879195 11.18120805],0
r1,1,0.118724,2.434077,[96 20] ; [24 10],[92.8 23.2] ; [27.2  6.8],0
p7,1,0.1234,2.373623,[53 59] ; [11 23],[49.09589041 62.90410959] ; [14.90410959 19.09589041],0
s7,1,0.139409,2.18447,[61 49] ; [13 19],[57.32394366 52.67605634] ; [16.67605634 15.32394366],0
a2,1,0.149552,2.076815,[35 81] ; [ 6 28],[31.70666667 84.29333333] ; [ 9.29333333 24.70666667],0
d5,1,0.173257,1.854535,[100  16] ; [26  8],[97.44 18.56] ; [28.56  5.44],0
a8,1,0.176954,1.823018,[15 84] ; [ 2 31],[12.75 86.25] ; [ 4.25 28.75],0
a4,1,0.181168,1.788016,[56 60] ; [12 22],[52.58666667 63.41333333] ; [15.41333333 18.58666667],0
p3,1,0.212549,1.553976,[51 64] ; [11 23],[47.85234899 67.14765101] ; [14.14765101 19.85234899],0
p12,1,0.216302,1.528739,[ 11 105] ; [ 1 33],[  9.28 106.72] ; [ 2.72 31.28],0
d2,1,0.264592,1.244568,[66 48] ; [16 18],[63.16216216 50.83783784] ; [18.83783784 15.16216216],0
r4,1,0.26706,1.231787,[101  15] ; [27  7],[98.98666667 17.01333333] ; [29.01333333  4.98666667],0
n3,1,0.279673,1.16868,[24  7] ; [6 4],[22.68292683  8.31707317] ; [7.31707317 2.68292683],0
p2,1,0.290133,1.119005,[82 33] ; [21 13],[79.4966443 35.5033557] ; [23.5033557 10.4966443],0
