Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,6e-06,20.571429,[1 9] ; [41  9],[7. 3.] ; [35. 15.],1
v4,1,3.5e-05,17.110512,[5 5] ; [48  2],[8.83333333 1.16666667] ; [44.16666667  5.83333333],1
r3,1,7.2e-05,15.752727,[6 4] ; [49  1],[9.16666667 0.83333333] ; [45.83333333  4.16666667],1
r2,1,0.002233,9.347709,[6 4] ; [47  3],[8.83333333 1.16666667] ; [44.16666667  5.83333333],0
p10,1,0.016567,5.741627,[3 7] ; [35 15],[6.33333333 3.66666667] ; [31.66666667 18.33333333],0
s1,1,0.022806,5.183231,[3 7] ; [ 3 46],[1.01694915 8.98305085] ; [ 4.98305085 44.01694915],0
s6,1,0.026247,4.939671,[4 6] ; [37 12],[6.94915254 3.05084746] ; [34.05084746 14.94915254],0
s7,1,0.032284,4.583333,[1 9] ; [21 24],[4. 6.] ; [18. 27.],0
p9,1,0.034863,4.451861,[4 6] ; [37 13],[6.83333333 3.16666667] ; [34.16666667 15.83333333],0
s3,1,0.037667,4.32,[2 8] ; [28 22],[5. 5.] ; [25. 25.],0
p11,1,0.050044,3.84,[4 6] ; [36 14],[6.66666667 3.33333333] ; [33.33333333 16.66666667],0
b4,1,0.062298,3.475113,[3 7] ; [31 19],[5.66666667 4.33333333] ; [28.33333333 21.66666667],0
n6,1,0.078062,3.10479,[5 4] ; [41  9],[7.01694915 1.98305085] ; [38.98305085 11.01694915],0
s8,1,0.081723,3.030303,[2 8] ; [25 25],[4.5 5.5] ; [22.5 27.5],0
n3,1,0.111219,2.536813,[3 3] ; [11  2],[4.42105263 1.57894737] ; [9.57894737 3.42105263],0
n2,1,0.111219,2.536813,[3 3] ; [11  2],[4.42105263 1.57894737] ; [9.57894737 3.42105263],0
p7,1,0.117241,2.453802,[7 3] ; [21 28],[4.74576271 5.25423729] ; [23.25423729 25.74576271],0
n4,1,0.157299,2.0,[4 6] ; [32 18],[6. 4.] ; [30. 20.],0
b2,1,0.178596,1.809265,[1 6] ; [14 20],[2.56097561 4.43902439] ; [12.43902439 21.56097561],0
b3,1,0.178596,1.809265,[1 6] ; [14 20],[2.56097561 4.43902439] ; [12.43902439 21.56097561],0
d5,1,0.230139,1.44,[6 4] ; [39 11],[7.5 2.5] ; [37.5 12.5],0
p3,1,0.243977,1.357466,[4 6] ; [30 20],[5.66666667 4.33333333] ; [28.33333333 21.66666667],0
b1,1,0.29627,1.090909,[6 4] ; [21 29],[4.5 5.5] ; [22.5 27.5],0
d3,1,0.29627,1.090909,[7 3] ; [26 24],[5.5 4.5] ; [27.5 22.5],0
v3,1,0.304686,1.053572,[2 8] ; [17 29],[3.39285714 6.60714286] ; [15.60714286 30.39285714],0
s5,1,0.304686,1.053572,[2 8] ; [17 29],[3.39285714 6.60714286] ; [15.60714286 30.39285714],0
p6,1,0.308292,1.03798,[2 8] ; [18 31],[3.38983051 6.61016949] ; [16.61016949 32.38983051],0
s2,1,0.321377,0.983333,[4 6] ; [28 21],[5.42372881 4.57627119] ; [26.57627119 22.42372881],0
p8,1,0.323654,0.974124,[5 4] ; [19 31],[3.66101695 5.33898305] ; [20.33898305 29.66101695],0
s4,1,0.372774,0.794395,[1 9] ; [11 38],[2.03389831 7.96610169] ; [ 9.96610169 39.03389831],0
u1,1,0.455639,0.556586,[1 9] ; [10 40],[1.83333333 8.16666667] ; [ 9.16666667 40.83333333],0
a3,1,0.552686,0.352526,[7 3] ; [30 20],[6.16666667 3.83333333] ; [30.83333333 19.16666667],0
v1,1,0.607308,0.264113,[4 6] ; [23 24],[4.73684211 5.26315789] ; [22.26315789 24.73684211],0
a2,1,0.627626,0.235294,[1 9] ; [ 8 42],[1.5 8.5] ; [ 7.5 42.5],0
a7,1,0.641186,0.217195,[5 5] ; [29 21],[5.66666667 4.33333333] ; [28.33333333 21.66666667],0
d1,1,0.727724,0.121212,[5 5] ; [28 22],[5.5 4.5] ; [27.5 22.5],0
n1,1,0.737316,0.1125,[3 3] ; [5 7],[2.66666667 3.33333333] ; [5.33333333 6.66666667],0
d4,1,0.794003,0.068182,[7 3] ; [37 13],[7.33333333 2.66666667] ; [36.66666667 13.33333333],0
n5,1,0.810627,0.057416,[6 4] ; [32 18],[6.33333333 3.66666667] ; [31.66666667 18.33333333],0
b5,1,0.815745,0.054299,[6 4] ; [28 22],[5.66666667 4.33333333] ; [28.33333333 21.66666667],0
a6,1,0.816961,0.053571,[5 5] ; [27 23],[5.33333333 4.66666667] ; [26.66666667 23.33333333],0
a1,1,0.834532,0.043636,[1 9] ; [ 4 46],[0.83333333 9.16666667] ; [ 4.16666667 45.83333333],0
v2,1,0.890329,0.019013,[5 4] ; [26 23],[4.81034483 4.18965517] ; [26.18965517 22.81034483],0
p5,1,0.890618,0.018913,[1 8] ; [ 6 41],[1.125 7.875] ; [ 5.875 41.125],0
a5,1,0.898051,0.016416,[7 3] ; [36 14],[7.16666667 2.83333333] ; [35.83333333 14.16666667],0
a4,1,0.908022,0.013348,[5 5] ; [24 26],[4.83333333 5.16666667] ; [24.16666667 25.83333333],0
d2,1,0.908022,0.013348,[5 5] ; [26 24],[5.16666667 4.83333333] ; [25.83333333 24.16666667],0
u3,1,0.954928,0.003194,[2 1] ; [13  7],[1.95652174 1.04347826] ; [13.04347826  6.95652174],0
