Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,56.133213,[110  30] ; [20 56],[84.25925926 55.74074074] ; [45.74074074 30.25925926],1
d5,1,0.0,25.986187,[116  24] ; [38 38],[99.81481481 40.18518519] ; [54.18518519 21.81481481],1
d4,1,5e-06,20.736389,[116  24] ; [41 35],[101.75925926  38.24074074] ; [55.24074074 20.75925926],1
a6,1,2.7e-05,17.583369,[109  31] ; [38 38],[95.27777778 44.72222222] ; [51.72222222 24.27777778],1
d1,1,3.5e-05,17.147391,[76 64] ; [19 57],[61.57407407 78.42592593] ; [33.42592593 42.57407407],1
v2,1,0.001265,10.392233,[66 70] ; [18 53],[55.1884058 80.8115942] ; [28.8115942 42.1884058],0
r4,1,0.001651,9.901853,[108  32] ; [43 33],[97.87037037 42.12962963] ; [53.12962963 22.87037037],0
r3,1,0.002358,9.247284,[122  17] ; [54 22],[113.78604651  25.21395349] ; [62.21395349 13.78604651],0
a2,1,0.002427,9.19503,[ 32 108] ; [ 5 71],[ 23.98148148 116.01851852] ; [13.01851852 62.98148148],0
r1,1,0.004023,8.273446,[101  39] ; [40 36],[91.38888889 48.61111111] ; [49.61111111 26.38888889],0
u1,1,0.006843,7.313598,[ 20 120] ; [ 2 74],[ 14.25925926 125.74074074] ; [ 7.74074074 68.25925926],0
u3,1,0.007463,7.158091,[28 23] ; [ 8 24],[22.12048193 28.87951807] ; [13.87951807 18.12048193],0
b2,1,0.013384,6.117647,[26 49] ; [26 19],[32.5 42.5] ; [19.5 25.5],0
b3,1,0.013384,6.117647,[26 49] ; [26 19],[32.5 42.5] ; [19.5 25.5],0
b1,1,0.016745,5.722935,[45 95] ; [37 39],[53.14814815 86.85185185] ; [28.85185185 47.14814815],0
a5,1,0.029572,4.73403,[93 47] ; [39 37],[85.55555556 54.44444444] ; [46.44444444 29.55555556],0
v4,1,0.031175,4.643294,[121  19] ; [56 19],[115.25581395  24.74418605] ; [61.74418605 13.25581395],0
v1,1,0.104565,2.634495,[52 86] ; [20 55],[46.64788732 91.35211268] ; [25.35211268 49.64788732],0
b5,1,0.104776,2.631296,[86 54] ; [38 38],[80.37037037 59.62962963] ; [43.62962963 32.37037037],0
p6,1,0.105638,2.618297,[ 17 122] ; [ 4 71],[ 13.64018692 125.35981308] ; [ 7.35981308 67.64018692],0
p2,1,0.123231,2.375768,[87 53] ; [39 37],[81.66666667 58.33333333] ; [44.33333333 31.66666667],0
r2,1,0.128335,2.312525,[122  17] ; [60 15],[118.21495327  20.78504673] ; [63.78504673 11.21495327],0
v3,1,0.147189,2.10114,[40 98] ; [14 57],[ 35.65550239 102.34449761] ; [18.34449761 52.65550239],0
