Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,54.19303,[95  1] ; [16 18],[81.96923077 14.03076923] ; [29.03076923  4.96923077],1
r1,1,0.0,33.844031,[84 12] ; [13 22],[71.08396947 24.91603053] ; [25.91603053  9.08396947],1
r2,1,0.0,33.269278,[94  2] ; [20 13],[84.8372093 11.1627907] ; [29.1627907  3.8372093],1
v4,1,1e-05,19.477035,[89  6] ; [22 13],[81.11538462 13.88461538] ; [29.88461538  5.11538462],1
p2,1,1.3e-05,19.016835,[68 28] ; [10 25],[57.16030534 38.83969466] ; [20.83969466 14.16030534],1
p11,1,0.001378,10.235475,[55 41] ; [ 9 26],[46.90076336 49.09923664] ; [17.09923664 17.90076336],0
s8,1,0.002186,9.386131,[30 64] ; [ 2 33],[23.31782946 70.68217054] ; [ 8.68217054 26.31782946],0
s6,1,0.002748,8.967533,[52 42] ; [ 9 26],[44.4496124 49.5503876] ; [16.5503876 18.4496124],0
n6,1,0.003629,8.46082,[69 27] ; [15 19],[62.03076923 33.96923077] ; [21.96923077 12.03076923],0
p7,1,0.006297,7.463204,[45 50] ; [ 7 27],[38.29457364 56.70542636] ; [13.70542636 20.29457364],0
n3,1,0.010568,6.536561,[18  9] ; [ 5 13],[13.8 13.2] ; [9.2 8.8],0
p4,1,0.017498,5.645702,[48 48] ; [ 9 25],[42.09230769 53.90769231] ; [14.90769231 19.09230769],0
a7,1,0.032329,4.580959,[70 26] ; [18 16],[64.98461538 31.01538462] ; [23.01538462 10.98461538],0
p3,1,0.039134,4.255044,[35 60] ; [ 6 28],[30.19379845 64.80620155] ; [10.80620155 23.19379845],0
s2,1,0.045763,3.990306,[36 57] ; [ 7 28],[31.2421875 61.7578125] ; [11.7578125 23.2421875],0
n2,1,0.058013,3.593298,[17  9] ; [ 7 12],[13.86666667 12.13333333] ; [10.13333333  8.86666667],0
u1,1,0.066426,3.369204,[18 78] ; [ 2 33],[14.65648855 81.34351145] ; [ 5.34351145 29.65648855],0
p8,1,0.074106,3.18965,[35 61] ; [ 7 28],[30.77862595 65.22137405] ; [11.22137405 23.77862595],0
n4,1,0.075995,3.148543,[68 28] ; [19 16],[63.75572519 32.24427481] ; [23.24427481 11.75572519],0
s3,1,0.086422,2.939798,[44 51] ; [10 24],[39.76744186 55.23255814] ; [14.23255814 19.76744186],0
n5,1,0.092688,2.82705,[57 39] ; [15 20],[52.76335878 43.23664122] ; [19.23664122 15.76335878],0
a6,1,0.156403,2.008667,[65 31] ; [19 16],[61.55725191 34.44274809] ; [22.44274809 12.55725191],0
p6,1,0.157216,2.000807,[18 75] ; [ 3 31],[15.37795276 77.62204724] ; [ 5.62204724 28.37795276],0
s7,1,0.182502,1.777133,[32 58] ; [ 7 24],[29.00826446 60.99173554] ; [ 9.99173554 21.00826446],0
b5,1,0.186032,1.748765,[59 37] ; [17 18],[55.69465649 40.30534351] ; [20.30534351 14.69465649],0
p10,1,0.20566,1.601718,[30 66] ; [ 7 28],[27.11450382 68.88549618] ; [ 9.88549618 25.11450382],0
v1,1,0.208785,1.579834,[36 60] ; [ 9 26],[32.97709924 63.02290076] ; [12.02290076 22.97709924],0
a1,1,0.212982,1.551037,[ 5 91] ; [ 4 31],[ 6.59541985 89.40458015] ; [ 2.40458015 32.59541985],0
a5,1,0.215764,1.532323,[66 30] ; [20 15],[63.02290076 32.97709924] ; [22.97709924 12.02290076],0
s1,1,0.219322,1.5088,[ 5 90] ; [ 4 31],[ 6.57692308 88.42307692] ; [ 2.42307692 32.57692308],0
v3,1,0.251062,1.317386,[31 62] ; [ 8 27],[28.3359375 64.6640625] ; [10.6640625 24.3359375],0
b2,1,0.347127,0.883932,[14 47] ; [ 7 14],[15.62195122 45.37804878] ; [ 5.37804878 15.62195122],0
b3,1,0.347127,0.883932,[14 47] ; [ 7 14],[15.62195122 45.37804878] ; [ 5.37804878 15.62195122],0
u2,1,0.372449,0.795478,[15 17] ; [8 5],[16.35555556 15.64444444] ; [6.64444444 6.35555556],0
b4,1,0.372628,0.794882,[63 33] ; [20 15],[60.82442748 35.17557252] ; [22.17557252 12.82442748],0
u3,1,0.417292,0.657929,[22 11] ; [7 6],[20.80434783 12.19565217] ; [8.19565217 4.80434783],0
a2,1,0.475662,0.508792,[22 74] ; [ 6 29],[20.51908397 75.48091603] ; [ 7.48091603 27.51908397],0
n1,1,0.494515,0.466687,[ 9 16] ; [ 5 14],[ 7.95454545 17.04545455] ; [ 6.04545455 12.95454545],0
s5,1,0.501494,0.451773,[21 72] ; [ 6 29],[19.6171875 73.3828125] ; [ 7.3828125 27.6171875],0
d1,1,0.510256,0.433542,[57 39] ; [23 12],[58.6259542 37.3740458] ; [21.3740458 13.6259542],0
v2,1,0.540531,0.374556,[40 54] ; [17 18],[41.53488372 52.46511628] ; [15.46511628 19.53488372],0
p1,1,0.653151,0.201951,[ 6 89] ; [ 3 32],[ 6.57692308 88.42307692] ; [ 2.42307692 32.57692308],0
a4,1,0.660426,0.193007,[41 55] ; [16 18],[42.09230769 53.90769231] ; [14.90769231 19.09230769],0
p5,1,0.72924,0.119811,[ 4 92] ; [ 1 34],[ 3.66412214 92.33587786] ; [ 1.33587786 33.66412214],0
a3,1,0.76901,0.086242,[63 33] ; [22 13],[62.29007634 33.70992366] ; [22.70992366 12.29007634],0
d3,1,0.76901,0.086242,[63 33] ; [22 13],[62.29007634 33.70992366] ; [22.70992366 12.29007634],0
d4,1,0.789496,0.07127,[80 16] ; [29  5],[80.49230769 15.50769231] ; [28.50769231  5.49230769],0
b1,1,0.863847,0.029405,[56 40] ; [21 14],[56.42748092 39.57251908] ; [20.57251908 14.42748092],0
s4,1,0.8902,0.019058,[15 78] ; [ 6 29],[15.2578125 77.7421875] ; [ 5.7421875 29.2578125],0
d2,1,0.939339,0.005791,[56 40] ; [19 14],[55.81395349 40.18604651] ; [19.18604651 13.81395349],0
