Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,9e-06,19.782514,[15  1] ; [12 30],[7.44827586 8.55172414] ; [19.55172414 22.44827586],1
p8,1,0.253578,1.303481,[ 3 13] ; [14 27],[ 4.77192982 11.22807018] ; [12.22807018 28.77192982],0
s6,1,0.27097,1.211828,[7 9] ; [12 30],[ 5.24137931 10.75862069] ; [13.75862069 28.24137931],0
p3,1,0.315603,1.00708,[6 9] ; [11 31],[ 4.47368421 10.52631579] ; [12.52631579 29.47368421],0
u2,1,0.315691,1.006714,[1 3] ; [13 12],[1.93103448 2.06896552] ; [12.06896552 12.93103448],0
s2,1,0.319244,0.992043,[ 5 11] ; [ 8 34],[ 3.5862069 12.4137931] ; [ 9.4137931 32.5862069],0
v4,1,0.333671,0.934597,[11  5] ; [23 19],[9.37931034 6.62068966] ; [24.62068966 17.37931034],0
p10,1,0.450762,0.568736,[8 8] ; [16 25],[6.73684211 9.26315789] ; [17.26315789 23.73684211],0
n4,1,0.453192,0.562656,[7 9] ; [23 19],[8.27586207 7.72413793] ; [21.72413793 20.27586207],0
b1,1,0.460658,0.544294,[9 7] ; [28 14],[10.20689655  5.79310345] ; [26.79310345 15.20689655],0
u1,1,0.470441,0.52094,[ 1 15] ; [ 1 41],[ 0.55172414 15.44827586] ; [ 1.44827586 40.55172414],0
s5,1,0.499228,0.456577,[ 3 13] ; [ 5 37],[ 2.20689655 13.79310345] ; [ 5.79310345 36.20689655],0
n2,1,0.55409,0.350041,[3 4] ; [9 7],[3.65217391 3.34782609] ; [8.34782609 7.65217391],0
n3,1,0.55409,0.350041,[3 4] ; [9 7],[3.65217391 3.34782609] ; [8.34782609 7.65217391],0
n5,1,0.572947,0.317776,[9 7] ; [27 15],[9.93103448 6.06896552] ; [26.06896552 15.93103448],0
p2,1,0.594816,0.282886,[10  6] ; [23 19],[9.10344828 6.89655172] ; [23.89655172 18.10344828],0
b2,1,0.598725,0.276923,[4 8] ; [ 6 18],[3.33333333 8.66666667] ; [ 6.66666667 17.33333333],0
b3,1,0.598725,0.276923,[4 8] ; [ 6 18],[3.33333333 8.66666667] ; [ 6.66666667 17.33333333],0
b5,1,0.624921,0.239011,[8 8] ; [24 18],[8.82758621 7.17241379] ; [23.17241379 18.82758621],0
p6,1,0.735775,0.113875,[ 2 13] ; [ 7 34],[ 2.41071429 12.58928571] ; [ 6.58928571 34.41071429],0
b4,1,0.745219,0.105593,[8 8] ; [23 19],[8.55172414 7.44827586] ; [22.44827586 19.55172414],0
r4,1,0.770657,0.084982,[ 4 12] ; [ 9 33],[ 3.5862069 12.4137931] ; [ 9.4137931 32.5862069],0
r1,1,0.785628,0.07398,[ 4 12] ; [12 30],[ 4.4137931 11.5862069] ; [11.5862069 30.4137931],0
u3,1,0.818707,0.052536,[1 3] ; [ 5 20],[0.82758621 3.17241379] ; [ 5.17241379 19.82758621],0
p9,1,0.888509,0.019653,[8 7] ; [21 20],[7.76785714 7.23214286] ; [21.23214286 19.76785714],0
s1,1,0.904533,0.014385,[ 1 15] ; [ 3 39],[ 1.10344828 14.89655172] ; [ 2.89655172 39.10344828],0
p12,1,0.904533,0.014385,[ 1 15] ; [ 3 39],[ 1.10344828 14.89655172] ; [ 2.89655172 39.10344828],0
r3,1,0.915401,0.011284,[10  6] ; [25 16],[9.8245614 6.1754386] ; [25.1754386 15.8245614],0
s7,1,1.0,0.0,[ 2 11] ; [ 6 33],[ 2. 11.] ; [ 6. 33.],0
