Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,1.2e-05,19.136348,[ 8 23] ; [39 13],[17.55421687 13.44578313] ; [29.44578313 22.55421687],1
a4,1,0.000921,10.980142,[ 5 26] ; [27 24],[12.09756098 18.90243902] ; [19.90243902 31.09756098],1
n5,1,0.002636,9.044009,[25  6] ; [24 27],[18.52439024 12.47560976] ; [30.47560976 20.52439024],0
d3,1,0.005208,7.805874,[ 4 27] ; [22 30],[ 9.71084337 21.28915663] ; [16.28915663 35.71084337],0
d2,1,0.007859,7.06529,[ 8 23] ; [28 22],[13.77777778 17.22222222] ; [22.22222222 27.77777778],0
a3,1,0.018026,5.593587,[12 19] ; [34 18],[17.18072289 13.81927711] ; [28.81927711 23.18072289],0
s5,1,0.02338,5.14008,[ 3 26] ; [16 32],[ 7.15584416 21.84415584] ; [11.84415584 36.15584416],0
a6,1,0.038065,4.302096,[16 15] ; [15 37],[11.57831325 19.42168675] ; [19.42168675 32.57831325],0
a5,1,0.043822,4.063417,[12 19] ; [32 20],[16.43373494 14.56626506] ; [27.56626506 24.43373494],0
a8,1,0.044647,4.031934,[ 4 27] ; [ 1 50],[ 1.8902439 29.1097561] ; [ 3.1097561 47.8902439],0
v2,1,0.058012,3.593333,[ 6 21] ; [22 28],[ 9.81818182 17.18181818] ; [18.18181818 31.81818182],0
s3,1,0.093944,2.805452,[ 9 21] ; [25 26],[12.59259259 17.40740741] ; [21.40740741 29.59259259],0
p5,1,0.121127,2.402683,[ 3 28] ; [ 1 49],[ 1.5308642 29.4691358] ; [ 2.4691358 47.5308642],0
v1,1,0.156672,2.006062,[ 8 22] ; [22 30],[10.97560976 19.02439024] ; [19.02439024 32.97560976],0
n4,1,0.158039,1.992894,[21 10] ; [27 25],[17.92771084 13.07228916] ; [30.07228916 21.92771084],0
u2,1,0.194319,1.684564,[ 6 13] ; [9 8],[ 7.91666667 11.08333333] ; [7.08333333 9.91666667],0
b1,1,0.19808,1.656476,[20 11] ; [26 26],[17.18072289 13.81927711] ; [28.81927711 23.18072289],0
s2,1,0.203217,1.619106,[ 9 21] ; [23 29],[11.70731707 18.29268293] ; [20.29268293 31.70731707],0
s1,1,0.222376,1.488971,[ 5 25] ; [ 4 47],[ 3.33333333 26.66666667] ; [ 5.66666667 45.33333333],0
b2,1,0.22595,1.466174,[ 7 14] ; [17 17],[ 9.16363636 11.83636364] ; [14.83636364 19.16363636],0
b3,1,0.22595,1.466174,[ 7 14] ; [17 17],[ 9.16363636 11.83636364] ; [14.83636364 19.16363636],0
p12,1,0.29087,1.115589,[ 3 28] ; [ 2 49],[ 1.8902439 29.1097561] ; [ 3.1097561 47.8902439],0
v3,1,0.313367,1.016433,[ 6 23] ; [15 33],[ 7.90909091 21.09090909] ; [13.09090909 34.90909091],0
r2,1,0.320846,0.985494,[24  7] ; [43  7],[25.64197531  5.35802469] ; [41.35802469  8.64197531],0
n3,1,0.413645,0.668299,[9 4] ; [11  9],[7.87878788 5.12121212] ; [12.12121212  7.87878788],0
b4,1,0.44395,0.586052,[14 17] ; [28 24],[15.68674699 15.31325301] ; [26.31325301 25.68674699],0
p1,1,0.447483,0.577018,[ 2 29] ; [ 6 46],[ 2.98795181 28.01204819] ; [ 5.01204819 46.98795181],0
s4,1,0.448024,0.575647,[ 5 26] ; [12 40],[ 6.34939759 24.65060241] ; [10.65060241 41.34939759],0
r1,1,0.476702,0.506398,[16 15] ; [31 21],[17.55421687 13.44578313] ; [29.44578313 22.55421687],0
r3,1,0.546042,0.364456,[22  9] ; [40 12],[23.15662651  7.84337349] ; [38.84337349 13.15662651],0
r4,1,0.578073,0.30936,[19 12] ; [35 17],[20.1686747 10.8313253] ; [33.8313253 18.1686747],0
b5,1,0.589875,0.29054,[15 16] ; [22 30],[13.81927711 17.18072289] ; [23.18072289 28.81927711],0
p4,1,0.641589,0.21667,[ 9 22] ; [17 33],[ 9.95061728 21.04938272] ; [16.04938272 33.95061728],0
p9,1,0.657394,0.196704,[13 16] ; [25 25],[13.94936709 15.05063291] ; [24.05063291 25.94936709],0
p11,1,0.708395,0.139885,[18 13] ; [28 24],[17.18072289 13.81927711] ; [28.81927711 23.18072289],0
p6,1,0.742101,0.108289,[ 5 25] ; [10 41],[ 5.55555556 24.44444444] ; [ 9.44444444 41.55555556],0
s7,1,0.758918,0.094189,[ 9 21] ; [16 32],[ 9.61538462 20.38461538] ; [15.38461538 32.61538462],0
s8,1,0.778611,0.079034,[10 21] ; [18 33],[10.58536585 20.41463415] ; [17.41463415 33.58536585],0
n1,1,0.781745,0.076754,[8 6] ; [11 10],[7.6 6.4] ; [11.4  9.6],0
s6,1,0.803492,0.061917,[14 17] ; [24 26],[14.54320988 16.45679012] ; [23.45679012 26.54320988],0
a1,1,0.83278,0.044579,[ 2 29] ; [ 4 48],[ 2.24096386 28.75903614] ; [ 3.75903614 48.24096386],0
p3,1,0.835478,0.043131,[ 9 22] ; [14 38],[ 8.59036145 22.40963855] ; [14.40963855 37.59036145],0
v4,1,0.835478,0.043131,[22  9] ; [38 14],[22.40963855  8.59036145] ; [37.59036145 14.40963855],0
n6,1,0.843196,0.039128,[19 12] ; [33 19],[19.42168675 11.57831325] ; [32.57831325 19.42168675],0
p8,1,0.844256,0.038594,[ 6 25] ; [11 41],[ 6.34939759 24.65060241] ; [10.65060241 41.34939759],0
u3,1,0.872824,0.025623,[10  9] ; [9 9],[9.75675676 9.24324324] ; [9.24324324 8.75675676],0
p7,1,0.880577,0.022571,[ 9 22] ; [15 34],[ 9.3 21.7] ; [14.7 34.3],0
a2,1,0.88355,0.021454,[ 1 30] ; [ 2 50],[ 1.12048193 29.87951807] ; [ 1.87951807 50.12048193],0
n2,1,0.899895,0.015824,[11  4] ; [15  6],[10.83333333  4.16666667] ; [15.16666667  5.83333333],0
p10,1,0.986275,0.000296,[13 17] ; [22 29],[12.96296296 17.03703704] ; [22.03703704 28.96296296],0
