Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,2.9e-05,17.510218,[1 2] ; [81  4],[2.79545455 0.20454545] ; [79.20454545  5.79545455],1
p2,1,0.003342,8.610766,[2 2] ; [79  6],[3.64044944 0.35955056] ; [77.35955056  7.64044944],0
p11,1,0.038513,4.282229,[2 2] ; [75 11],[3.42222222 0.57777778] ; [73.57777778 12.42222222],0
v1,1,0.045879,3.986038,[1 3] ; [59 23],[2.79069767 1.20930233] ; [57.20930233 24.79069767],0
s8,1,0.121163,2.402216,[1 3] ; [54 31],[2.47191011 1.52808989] ; [52.52808989 32.47191011],0
s1,1,0.13265,2.261213,[1 3] ; [ 5 81],[0.26666667 3.73333333] ; [ 5.73333333 80.26666667],0
v4,1,0.139777,2.18041,[3 1] ; [79  5],[3.72727273 0.27272727] ; [78.27272727  5.72727273],0
r3,1,0.139777,2.18041,[3 1] ; [79  5],[3.72727273 0.27272727] ; [78.27272727  5.72727273],0
a5,1,0.147523,2.097678,[2 2] ; [69 17],[3.15555556 0.84444444] ; [67.84444444 18.15555556],0
v2,1,0.168858,1.893049,[1 3] ; [49 33],[2.3255814 1.6744186] ; [47.6744186 34.3255814],0
p1,1,0.251534,1.314761,[2 2] ; [21 65],[1.02222222 2.97777778] ; [21.97777778 64.02222222],0
b5,1,0.285195,1.142166,[3 1] ; [41 45],[1.95555556 2.04444444] ; [42.04444444 43.95555556],0
p6,1,0.365445,0.819094,[1 2] ; [50 34],[1.75862069 1.24137931] ; [49.24137931 34.75862069],0
s7,1,0.388075,0.744966,[2 2] ; [57 24],[2.77647059 1.22352941] ; [56.22352941 24.77647059],0
n2,1,0.389424,0.740741,[1 1] ; [14  4],[1.5 0.5] ; [13.5  4.5],0
d5,1,0.424778,0.637059,[3 1] ; [76 10],[3.51111111 0.48888889] ; [75.48888889 10.51111111],0
r4,1,0.482562,0.493068,[3 1] ; [75 11],[3.46666667 0.53333333] ; [74.53333333 11.46666667],0
d2,1,0.502901,0.44881,[3 1] ; [50 36],[2.35555556 1.64444444] ; [50.64444444 35.35555556],0
b4,1,0.502901,0.44881,[3 1] ; [50 36],[2.35555556 1.64444444] ; [50.64444444 35.35555556],0
a1,1,0.538991,0.377413,[1 3] ; [12 74],[0.57777778 3.42222222] ; [12.42222222 73.57777778],0
p7,1,0.539757,0.37599,[2 1] ; [68 16],[2.4137931 0.5862069] ; [67.5862069 16.4137931],0
s5,1,0.54354,0.369019,[2 2] ; [50 27],[2.56790123 1.43209877] ; [49.43209877 27.56790123],0
a8,1,0.556452,0.345885,[1 3] ; [11 66],[0.59259259 3.40740741] ; [11.40740741 65.59259259],0
s3,1,0.632832,0.228239,[2 2] ; [52 32],[2.45454545 1.54545455] ; [51.54545455 32.45454545],0
a6,1,0.65187,0.203551,[3 1] ; [55 31],[2.57777778 1.42222222] ; [55.42222222 30.57777778],0
s6,1,0.702303,0.146087,[3 1] ; [66 14],[3.28571429 0.71428571] ; [65.71428571 14.28571429],0
s2,1,0.741498,0.108815,[2 2] ; [49 35],[2.31818182 1.68181818] ; [48.68181818 35.31818182],0
v3,1,0.772873,0.083301,[2 2] ; [47 35],[2.27906977 1.72093023] ; [46.72093023 35.27906977],0
p8,1,0.798146,0.065407,[3 1] ; [69 17],[3.2 0.8] ; [68.8 17.2],0
r1,1,0.807774,0.059194,[3 1] ; [68 17],[3.19101124 0.80898876] ; [67.80898876 17.19101124],0
b1,1,0.819065,0.052326,[2 2] ; [38 48],[1.77777778 2.22222222] ; [38.22222222 47.77777778],0
p3,1,0.891266,0.018688,[3 1] ; [67 19],[3.11111111 0.88888889] ; [66.88888889 19.11111111],0
d1,1,0.89903,0.0161,[3 1] ; [62 24],[2.88888889 1.11111111] ; [62.11111111 23.88888889],0
b2,1,0.926345,0.008546,[2 2] ; [30 33],[1.91044776 2.08955224] ; [30.08955224 32.91044776],0
b3,1,0.926345,0.008546,[2 2] ; [30 33],[1.91044776 2.08955224] ; [30.08955224 32.91044776],0
u1,1,0.935742,0.0065,[1 3] ; [20 66],[0.93333333 3.06666667] ; [20.06666667 65.93333333],0
a4,1,0.963727,0.002068,[2 2] ; [42 44],[1.95555556 2.04444444] ; [42.04444444 43.95555556],0
n3,1,1.0,0.0,[1 1] ; [9 9],[1. 1.] ; [9. 9.],0
