Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,43.514132,[22  6] ; [15 86],[ 8.03100775 19.96899225] ; [28.96899225 72.03100775],1
s8,1,0.012375,6.256386,[13 15] ; [23 79],[ 7.75384615 20.24615385] ; [28.24615385 73.75384615],0
a1,1,0.032884,4.551821,[ 3 25] ; [  2 100],[ 1.07692308 26.92307692] ; [ 3.92307692 98.07692308],0
s7,1,0.041041,4.174305,[13 14] ; [26 69],[ 8.63114754 18.36885246] ; [30.36885246 64.63114754],0
s4,1,0.043723,4.06722,[ 5 23] ; [ 6 96],[ 2.36923077 25.63076923] ; [ 8.63076923 93.36923077],0
b3,1,0.060289,3.529412,[10  6] ; [25 43],[6.66666667 9.33333333] ; [28.33333333 39.66666667],0
b2,1,0.060289,3.529412,[10  6] ; [25 43],[6.66666667 9.33333333] ; [28.33333333 39.66666667],0
p12,1,0.082487,3.015214,[ 3 25] ; [ 3 99],[ 1.29230769 26.70769231] ; [ 4.70769231 97.29230769],0
u3,1,0.100395,2.699261,[7 2] ; [16 18],[4.81395349 4.18604651] ; [18.18604651 15.81395349],0
n1,1,0.123778,2.368852,[3 2] ; [ 4 13],[1.59090909 3.40909091] ; [ 5.40909091 11.59090909],0
p8,1,0.129227,2.30176,[14 14] ; [67 35],[17.44615385 10.55384615] ; [63.55384615 38.44615385],0
d3,1,0.139144,2.187405,[22  6] ; [65 37],[18.73846154  9.26153846] ; [68.26153846 33.73846154],0
s5,1,0.146928,2.103854,[ 7 19] ; [15 86],[ 4.50393701 21.49606299] ; [17.49606299 83.50393701],0
d5,1,0.158159,1.991736,[19  9] ; [82 20],[21.75384615  6.24615385] ; [79.24615385 22.75384615],0
s1,1,0.159576,1.978236,[ 2 26] ; [  2 100],[ 0.86153846 27.13846154] ; [ 3.13846154 98.86153846],0
u2,1,0.17279,1.858568,[6 3] ; [14 20],[4.18604651 4.81395349] ; [15.81395349 18.18604651],0
v3,1,0.203737,1.615385,[14 12] ; [40 60],[11.14285714 14.85714286] ; [42.85714286 57.14285714],0
d4,1,0.212592,1.553688,[24  4] ; [76 26],[21.53846154  6.46153846] ; [78.46153846 23.53846154],0
b4,1,0.245916,1.346357,[18 10] ; [53 49],[15.29230769 12.70769231] ; [55.70769231 46.29230769],0
r4,1,0.249263,1.327431,[22  6] ; [89 13],[23.90769231  4.09230769] ; [87.09230769 14.90769231],0
v4,1,0.256945,1.285143,[25  3] ; [97  5],[26.27692308  1.72307692] ; [95.72307692  6.27692308],0
p5,1,0.260028,1.268609,[ 1 26] ; [11 91],[ 2.51162791 24.48837209] ; [ 9.48837209 92.51162791],0
p1,1,0.293059,1.105517,[ 2 26] ; [15 87],[ 3.66153846 24.33846154] ; [13.33846154 88.66153846],0
d2,1,0.319394,0.991426,[ 9 19] ; [43 58],[11.28682171 16.71317829] ; [40.71317829 60.28682171],0
a6,1,0.336963,0.921952,[18 10] ; [75 27],[20.03076923  7.96923077] ; [72.96923077 29.03076923],0
p7,1,0.353588,0.860537,[19  9] ; [78 24],[20.89230769  7.10769231] ; [76.10769231 25.89230769],0
r3,1,0.393438,0.728291,[24  4] ; [93  9],[25.2  2.8] ; [91.8 10.2],0
a2,1,0.453526,0.561825,[ 4 24] ; [21 81],[ 5.38461538 22.61538462] ; [19.61538462 82.38461538],0
p9,1,0.45523,0.557598,[21  7] ; [83 19],[22.4  5.6] ; [81.6 20.4],0
p4,1,0.456327,0.554889,[18 10] ; [73 29],[19.6  8.4] ; [71.4 30.6],0
n2,1,0.467267,0.528431,[3 2] ; [13  4],[3.63636364 1.36363636] ; [12.36363636  4.63636364],0
n4,1,0.520256,0.413385,[24  4] ; [82 20],[22.83076923  5.16923077] ; [83.16923077 18.83076923],0
p10,1,0.533261,0.388173,[21  7] ; [82 20],[22.18461538  5.81538462] ; [80.81538462 21.18461538],0
n5,1,0.552415,0.353008,[19  9] ; [75 27],[20.24615385  7.75384615] ; [73.75384615 28.24615385],0
u1,1,0.583557,0.300519,[ 5 23] ; [14 88],[ 4.09230769 23.90769231] ; [14.90769231 87.09230769],0
r1,1,0.6618,0.191344,[20  8] ; [77 25],[20.89230769  7.10769231] ; [76.10769231 25.89230769],0
v1,1,0.722708,0.125913,[16 11] ; [56 45],[15.1875 11.8125] ; [56.8125 44.1875],0
r2,1,0.777138,0.080118,[26  2] ; [93  9],[25.63076923  2.36923077] ; [93.36923077  8.63076923],0
